name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
ABBEY DELRAY,,,,,,,2105 SW 11TH COURT,,DELRAY BEACH,,,,,Palm Beach,33445,FL,,(561) 454-1300,,,,,,,,,,,,,,,,,Nursing Home,,,,2105 SW 11TH COURT,,,DELRAY BEACH,Palm Beach,,FL,,33445,,26.4439539,-80.09608829999999,
ABBEY DELRAY SOUTH,,,,,,,1717 HOMEWOOD BLVD,,DELRAY BEACH,,,,,Palm Beach,33445,FL,,(561) 272-9600,,,www.lifespacecommunities.com,,,,,,,,,,,,,,Nursing Home,,,,1717 HOMEWOOD BLVD,,,DELRAY BEACH,Palm Beach,,FL,,33445,,26.437097,-80.099734,
ABBEY REHABILITATION AND NURSING CENTER,,,,,,,7101 DR MARTIN LUTHER KING JR ST N,,SAINT PETERSBURG,,,,,Pinellas,33702,FL,,(727) 527-7231,,,Abbeyhealthand rehab.com,,,,,,,,,,,,,,Nursing Home,,,,7101 DR MARTIN LUTHER KING JR ST N,,,SAINT PETERSBURG,Pinellas,,FL,,33702,,27.8364761,-82.64649229999999,Fossil Park
ABBIEJEAN RUSSELL CARE CENTER LLC,,,,,,,700 S 29TH STREET,,FORT PIERCE,,,,,St. Lucie,34947,FL,,(772) 465-7560,,,,,,,,,,,,,,,,,Nursing Home,,,,700 S 29TH STREET,,,FORT PIERCE,St. Lucie,,FL,,34947,,27.441275,-80.35329200000001,
ADVANCED CARE CENTER,,,,,,,401 FAIRWOOD AVE,,CLEARWATER,,,,,Pinellas,33759,FL,,(727) 797-6480,,,http://www.advanced-cc.com/,,,,,,,,,,,,,,Nursing Home,,,,401 FAIRWOOD AVE,,,CLEARWATER,Pinellas,,FL,,33759,,27.9699738,-82.7221848,
ADVENTIST CARE CENTERS-COURTLAND  INC,,,,,,,730 COURTLAND STREET,,ORLANDO,,,,,Orange,32804,FL,,(407) 975-3800,,,www.acccourtland.com,,,,,,,,,,,,,,Nursing Home,,,,730 COURTLAND STREET,,,ORLANDO,Orange,,FL,,32804,,28.6033961,-81.3907258,
"ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME",,,,,,,8401 W CYPRESS DR,,PEMBROKE PINES,,,,,Broward,33025,FL,,(954) 985-4824,,,www.floridavets.org,,,,,,,,,,,,,,Nursing Home,,,,8401 W CYPRESS DR,,,PEMBROKE PINES,Broward,,FL,,33025,,26.0042598,-80.2540083,
ALHAMBRA HEALTH AND REHABILITATION CENTER,,,,,,,7501 38TH AVE N,,SAINT PETERSBURG,,,,,Pinellas,33710,FL,,(727) 345-9307,,,www.greystonehealth.com,,,,,,,,,,,,,,Nursing Home,,,,7501 38TH AVE N,,,SAINT PETERSBURG,Pinellas,,FL,,33710,,27.80684,-82.742456,Jungle Terrace
ALLIANCE HEALTH AND REHABILITATION CENTER,,,,,,,130 W ARMSTRONG AVENUE,,DELAND,,,,,Volusia,32720,FL,,(386) 734-6401,,,www.alliancecommunity.org,,,,,,,,,,,,,,Nursing Home,,,,130 W ARMSTRONG AVENUE,,,DELAND,Volusia,,FL,,32720,,29.017776,-81.3038459,Kitchens
ALPINE HEALTH AND REHABILITATION CENTER,,,,,,,3456 21ST AVE S,,SAINT PETERSBURG,,,,,Pinellas,33711,FL,,(727) 327-1988,,,www.alpinehealthandrehab.com,,,,,,,,,,,,,,Nursing Home,,,,3456 21ST AVE S,,,SAINT PETERSBURG,Pinellas,,FL,,33711,,27.7492165,-82.6808294,Childs Park
