row_id,Facility Name,Address1,Address2,City,Zip,State,Phone,Fax,Mailing Address1,Mailing Address2,Mailing City,Mailing Zip,Mailing State,Licensed Beds,Country,facility_type
USA-GA-78-GA-All-output-1,BUTLER-BOWDEN PCH,694 LEIGHTON WAY,,STONE MOUNTAIN,30088,GA,7704986381,,694 LEIGHTON WAY,,STONE MOUNTAIN,30088,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-2,"HELPING HAND, A",439 WATSON BAY,,STONE MOUNTAIN,30087,GA,7704656858,,439 WATSON BAY,,STONE MOUNTAIN,30087,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-3,WILLIS HOUSE,1895 LAWRENCEVILLE-SUWANEE ROAD,,LAWRENCEVILLE,30043,GA,7709622564,,882 HIGH HOPE ROAD,,LAWRENCEVILLE,30043,GA,6,US,Nursing Home
USA-GA-78-GA-All-output-4,BUTLER AVENUE,3104 BUTLER AVENUE,,THUNDERBOLT,31404,GA,9123039359,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,5,US,Nursing Home
USA-GA-78-GA-All-output-5,FIRST PATHS,667 N HAIRSTON STREET,,STONE MOUNTAIN,30088,GA,4042946641,,2730 MNT INDUSTRIAL BLVD,SUITE 101,TUCKER,30084,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-6,SCOFIELD,5535 SCOFIELD DRIVE,,COLLEGE PARK,30349,GA,4047675157,,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-7,WALTON WOODS CLA,1980 WALTON WOODS CIRCLE,,TUCKER,30084,GA,6785341705,,2296 HENDERSON MILL ROAD,SUITE 203,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-8,KING,903 KING ROAD,,STONE MOUNTAIN,30088,GA,7704130235,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-9,HOLLY HAVEN,3119 HOLLY HAVEN DRIVE,,AUGUSTA,30907,GA,7062108736,,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-10,BRIGHTON COURT,7203 BRIGHTON COURT,,LITHONIA,30058,GA,6785260926,,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-11,NOONDAY,846 NOONDAY DRIVE,,MARIETTA,30066,GA,7709282933,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-12,THAXTON,3980 THAXTON ROAD,,ATLANTA,30331,GA,4043498501,,2296 HENDERSON MILL ROAD,SUITE 203,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-13,SWIFT CREEK CLA,6444 SWIFT CREEK ROAD,,LITHONIA,30058,GA,7704827525,,2296 HENDERSON MILL ROAD,SUITE 203,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-14,PENNYBROOK,422 PENNYBROOK DRIVE,,STONE MOUNTAIN,30087,GA,7704653675,,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-15,PARK ROAD,31 PARK ROAD,,MABLETON,30126,GA,7707329007,,1945 CLIFF VALLEY WAY,SUITE 220,ATLANTA,30329,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-16,ST HELENA,3016 ST HELENA DRIVE,,TUCKER,30084,GA,7704920412,,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-17,BELMONT,205 BELMONT TRAIL,,COVINGTON,30016,GA,7703854645,,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-18,WOOD VALLEY,3710 WOOD VALLEY DRIVE,,SMYRNA,30080,GA,7704363622,,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-19,ASHLY FOREST,3094 ASHLY FOREST DRIVE,,SNELLVILLE,30078,GA,7707363331,6784378270,3300 NE EXPRESSWAY BLDG. 9,,ATLANTA,30341,GA,4,US,Nursing Home
