name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country
ARBOR TERRACE AT CRABAPPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,12200 CRABAPPLE ROAD,,,ALPHARETTA,,,GA,,30004,US
ARBOR TERRACE OF ATHENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,170 MARILYN FARMER WAY,,,ATHENS,,,GA,,30606,US
AUTUMN LEAVES OF SUGARLOAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1475 SATELLITE BLVD,,,SUWANEE,,,GA,,30024,US
BICKFORD OF MARIETTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,840 LECROY DRIVE,,,MARIETTA,,,GA,,30068,US
BRANDON WILDE ALC / WINDSOR HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4275 OWENS ROAD,,,EVANS,,,GA,,30809,US
BRIGHTON GARDENS OF BUCKHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,3088 LENOX ROAD,,,ATLANTA,,,GA,,30324,US
BRIGHTON GARDENS OF DUNWOODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1240 ASHFORD CENTER PARKWAY,,,DUNWOODY,,,GA,,30338,US
COBBLESTONE AT PARK SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,600 SPRINGHOUSE CIRCLE,,,STONE MOUNTAIN,,,GA,,30087,US
"COTTAGES ON WESLEYAN AL, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1633 WESLEYAN DR,,,MACON,,,GA,,31210,US
DELMAR GARDENS OF GWINNETT PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,3100 CLUB DRIVE,,,LAWRENCEVILLE,,,GA,,30044,US
FELLOWSHIP HOME AT BROOKSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,470 FELLOWSHIP HOME LANE,,,VALDOSTA,,,GA,,31602,US
"GABLES AT COBB VILLAGE, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,12 COBB VILLAGE DRIVE,,,ROYSTON,,,GA,,30662,US
"GARDENS AT CALVARY ALC, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,7595 MOON ROAD,,,COLUMBUS,,,GA,,31909,US
GRACEMONT ASSISTED LIVING & MEMORY CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4940 JOT-EM-DOWN ROAD,,,CUMMING,,,GA,,30041,US
GRACEMONT ASSISTED LIVING & MEMORY CARE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4960 JOT-EM-DOWN RD,,,CUMMING,,,GA,,30041,US
GRACEMONT ASSISTED LIVING & MEMORY CARE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4960 JOT EM DOWN ROAD,,,CUMMING,,,GA,,30041,US
GRACEMONT ASSISTED LIVING AND MEMORY CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4940 JOT EM DOWN ROAD,,,CUMMING,,,GA,,30041,US
GREAT OAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,920 HWY 138 NW,,,MONROE,,,GA,,30655,US
GREENWOOD PLACE RETIREMENT COMMUNITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,949 W ELM STREET,,,WRIGHTSVILLE,,,GA,,31096,US
HALLMARK AT BUCKHEAD ASSISTED LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,650 PHIPPS BLVD,,,ATLANTA,,,GA,,30326,US
"HARBOR AT RENAISSANCE MARQUIS, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,3126 CEDARTOWN HWY SW,,,ROME,,,GA,,30161,US
HIDDEN LAKE ASSISTED LIVING & MEMORY CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,3100 HIDDEN VALLEY DRIVE,,,CANTON,,,GA,,30114,US
HOPE ASSISTED LIVING & MEMORY CARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1200 WINDER HIGHWAY,,,DACULA,,,GA,,30019,US
HOPE CENTER MEMORY CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,355 BRANDYWINE BLVD,,,FAYETTEVILLE,,,GA,,30214,US
MAGNOLIA MANOR OF ST SIMONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,300 HERITAGE DRIVE,,,ST SIMONS,,,GA,,31522,US
"MANN HOUSE, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,5413 NORTHLAND DRIVE,,,ATLANTA,,,GA,,30342,US
"OAKS - CARROLLTON ASSISTED LIVING, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,921 OLD NEWNAN ROAD,,,CARROLLTON,,,GA,,30116,US
"OAKS - SCENIC VIEW ASSISTED LIVING, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,209 PEACH ORCHARD ROAD,,,BALDWIN,,,GA,,30511,US
OAKS AL AT MARSHES OF SKIDAWAY ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,95 SKIDAWAY ISLAND PARK ROAD,,,SAVANNAH,,,GA,,31411,US
OAKS AT HAMPTON ASSISTED LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,5610 HAMPTON PARK DRIVE,,,CUMMING,,,GA,,30041,US
PEREGRINE'S LANDING AT PEACHTREE CREEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4375 BEECH HAVEN TRAIL SE,,,SMYRNA,,,GA,,30080,US
RENAISSANCE ON PEACHTREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,3755 PEACHTREE RD NE,,,ATLANTA,,,GA,,30319,US
SOMERBY OF ALPHARETTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,100 SOMERBY DRIVE,,,ALPHARETTA,,,GA,,30009,US
SOUTHERN CARE ASSISTED LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1934 WHIDDON MILL ROAD,,,TIFTON,,,GA,,31794,US
ST MARYS HIGHLAND HILLS VILLAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1660 JENNINGS ROAD,,,BOGART,,,GA,,30622,US
STERLING ESTATES SENIOR LIVING COMMUNITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4220 LOWER ROSWELL ROAD,,,MARIETTA,,,GA,,30067,US
SUMMERSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,3711 BENJAMIN E MAYS DRIVE SW,,,ATLANTA,,,GA,,30331,US
SUNRISE AT HUNTCLIFF SUMMIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,8480 ROSWELL ROAD,,,ATLANTA,,,GA,,30350,US
SUNRISE AT WEBB GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1375 WEBB GIN HOUSE ROAD,,,LAWRENCEVILLE,,,GA,,30045,US
SUNRISE OF DECATUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,920 CLAIRMONT AVENUE,,,DECATUR,,,GA,,30030,US
SUNRISE OF EAST COBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1551 JOHNSON FERRY ROAD NE,,,MARIETTA,,,GA,,30062,US
SUNRISE OF IVEY RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,2950 OLD ALABAMA ROAD,,,ALPHARETTA,,,GA,,30022,US
SUNRISE OF JOHNS CREEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,11405 MEDLOCK BRIDGE ROAD,,,JOHNS CREEK,,,GA,,30097,US
THOMAS KELLY SENIOR LIVING COMMUNITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4083 BUSINESS HWY 27,,,BUCHANAN,,,GA,,30113,US
WOODLAND RIDGE SENIOR LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4005 SOUTH COBB DRIVE,,,SMYRNA,,,GA,,30080,US
A.G. RHODES HOME WESLEY WOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,"1819 CLIFTON ROAD, N.E.",,,ATLANTA,,,GA,,30329,US
"A.G. RHODES HOME, INC - COBB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,900 WYLIE ROAD,,,MARIETTA,,,GA,,30067,US
"A.G. RHODES HOME, INC, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,"350 BOULVARD, S.E.",,,ATLANTA,,,GA,,30312,US
