row_id,Facility Name,Address,City,Zip Code,Beds,Type
USA-GA-79-GA-All-output-1,ARBOR TERRACE AT CRABAPPLE,12200 CRABAPPLE ROAD,ALPHARETTA,30004,125,Assisted Living Community
USA-GA-79-GA-All-output-2,ARBOR TERRACE OF ATHENS,170 MARILYN FARMER WAY,ATHENS,30606,75,Assisted Living Community
USA-GA-79-GA-All-output-3,AUTUMN LEAVES OF SUGARLOAF,1475 SATELLITE BLVD,SUWANEE,30024,32,Assisted Living Community
USA-GA-79-GA-All-output-4,BICKFORD OF MARIETTA,840 LECROY DRIVE,MARIETTA,30068,62,Assisted Living Community
USA-GA-79-GA-All-output-5,BRANDON WILDE ALC / WINDSOR HOUSE,4275 OWENS ROAD,EVANS,30809,25,Assisted Living Community
USA-GA-79-GA-All-output-6,BRIGHTON GARDENS OF BUCKHEAD,3088 LENOX ROAD,ATLANTA,30324,115,Assisted Living Community
USA-GA-79-GA-All-output-7,BRIGHTON GARDENS OF DUNWOODY,1240 ASHFORD CENTER PARKWAY,DUNWOODY,30338,115,Assisted Living Community
USA-GA-79-GA-All-output-8,COBBLESTONE AT PARK SPRINGS,600 SPRINGHOUSE CIRCLE,STONE MOUNTAIN,30087,43,Assisted Living Community
USA-GA-79-GA-All-output-9,"COTTAGES ON WESLEYAN AL, THE",1633 WESLEYAN DR,MACON,31210,39,Assisted Living Community
USA-GA-79-GA-All-output-10,DELMAR GARDENS OF GWINNETT PENDING,3100 CLUB DRIVE,LAWRENCEVILLE,30044,100,Assisted Living Community
USA-GA-79-GA-All-output-11,FELLOWSHIP HOME AT BROOKSIDE,470 FELLOWSHIP HOME LANE,VALDOSTA,31602,142,Assisted Living Community
USA-GA-79-GA-All-output-12,"GABLES AT COBB VILLAGE, THE",12 COBB VILLAGE DRIVE,ROYSTON,30662,48,Assisted Living Community
USA-GA-79-GA-All-output-13,"GARDENS AT CALVARY ALC, THE",7595 MOON ROAD,COLUMBUS,31909,100,Assisted Living Community
USA-GA-79-GA-All-output-14,GRACEMONT ASSISTED LIVING & MEMORY CARE,4940 JOT-EM-DOWN ROAD,CUMMING,30041,86,Assisted Living Community
USA-GA-79-GA-All-output-15,GRACEMONT ASSISTED LIVING & MEMORY CARE 2,4960 JOT-EM-DOWN RD,CUMMING,30041,94,Assisted Living Community
USA-GA-79-GA-All-output-16,GRACEMONT ASSISTED LIVING & MEMORY CARE 2,4960 JOT EM DOWN ROAD,CUMMING,30041,94,Assisted Living Community
USA-GA-79-GA-All-output-17,GRACEMONT ASSISTED LIVING AND MEMORY CARE,4940 JOT EM DOWN ROAD,CUMMING,30041,86,Assisted Living Community
USA-GA-79-GA-All-output-18,GREAT OAKS,920 HWY 138 NW,MONROE,30655,194,Assisted Living Community
USA-GA-79-GA-All-output-19,GREENWOOD PLACE RETIREMENT COMMUNITY,949 W ELM STREET,WRIGHTSVILLE,31096,49,Assisted Living Community
USA-GA-79-GA-All-output-20,HALLMARK AT BUCKHEAD ASSISTED LIVING,650 PHIPPS BLVD,ATLANTA,30326,40,Assisted Living Community
USA-GA-79-GA-All-output-21,"HARBOR AT RENAISSANCE MARQUIS, THE",3126 CEDARTOWN HWY SW,ROME,30161,25,Assisted Living Community
USA-GA-79-GA-All-output-22,HIDDEN LAKE ASSISTED LIVING & MEMORY CARE,3100 HIDDEN VALLEY DRIVE,CANTON,30114,98,Assisted Living Community
USA-GA-79-GA-All-output-23,HOPE ASSISTED LIVING & MEMORY CARE CENTER,1200 WINDER HIGHWAY,DACULA,30019,64,Assisted Living Community
USA-GA-79-GA-All-output-24,HOPE CENTER MEMORY CARE,355 BRANDYWINE BLVD,FAYETTEVILLE,30214,64,Assisted Living Community
USA-GA-79-GA-All-output-25,MAGNOLIA MANOR OF ST SIMONS,300 HERITAGE DRIVE,ST SIMONS,31522,30,Assisted Living Community
USA-GA-79-GA-All-output-26,"MANN HOUSE, THE",5413 NORTHLAND DRIVE,ATLANTA,30342,40,Assisted Living Community
USA-GA-79-GA-All-output-27,"OAKS - CARROLLTON ASSISTED LIVING, THE",921 OLD NEWNAN ROAD,CARROLLTON,30116,42,Assisted Living Community
USA-GA-79-GA-All-output-28,"OAKS - SCENIC VIEW ASSISTED LIVING, THE",209 PEACH ORCHARD ROAD,BALDWIN,30511,38,Assisted Living Community
USA-GA-79-GA-All-output-29,OAKS AL AT MARSHES OF SKIDAWAY ISLAND,95 SKIDAWAY ISLAND PARK ROAD,SAVANNAH,31411,31,Assisted Living Community
USA-GA-79-GA-All-output-30,OAKS AT HAMPTON ASSISTED LIVING,5610 HAMPTON PARK DRIVE,CUMMING,30041,86,Assisted Living Community
