name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
15 Craigside,,,"Schulberg, Suzanne",,,,,,,,,,,,,,,523-7000,,,,,,,,,,,,,,,,AL,,,,,Craigside Place,,,,Honolulu,,,,96817,USA,21.32301709999999,-157.8486545,Nuuanu - Punchbowl
Alii Community Care dba Roselani Place,,,"Hansen, Steve (Mr.)",,,,,,,,,,,,,,,871-7720,,,,,,,,,,,,,,,,AL,,,,,South Papa Avenue,,,,Kahului,,,,96732,USA,20.8790937,-156.4843418,
Arcadia Retirement Residence,,,"Thorp, Karen (Mrs.) NHA",,,,,,,,,,,,,,,941-0941,,,,,,,,,,,,,,,,AL,,,,,Punahou Street,,,,Honolulu,,,,96822,USA,21.2994729,-157.834872,
Hawaii Kai Retirement Comm Phase I and II,,,"Chung, Meli (Ms.)",,,,,,,,,,,,,,,395-9599,,,,,,,,,,,,,,,,AL,,,,,Kawaihae Street,,,,Hawaii Kai,,,,96825,USA,21.2907526,-157.7180234,Hawaii Kai
Hi'olani Assisted Living Center at Kahala Nui,,,"Duquette, Jay (Mr.)",,,,,,,,,,,,,,,218-7000,,,,,,,,,,,,,,,,AL,,,,,Malia Street,,,,Kahala,,,,96821,USA,19.6672443,-155.0915674,
Ilima at Leihano,,,"Tsuda, Mark (Mr.)",,,,,,,,,,,,,,,674-8022,,,,,,,,,,,,,,,,AL,,,,,Leihano Street,,,,Kapolei,,,,96707,USA,21.3316715,-158.0751764,
Kalakaua Gardens,,,"Nawahine, Steve (Mr.)",,,,,,,,,,,,,,,518-2273,,,,,,,,,,,,,,,,AL,,,,,Kalakaua Avenue,,,,Honolulu,,,,96826,USA,21.2784288,-157.8281668,
Oceanside Hawaii Assisted Living,,,"Chen, Albert (Mr.)",,,,,,,,,,,,,,,293-1100,,,,,,,,,,,,,,,,AL,,,,,Kamehameha Highway,,,,Hauula,,,,96717,USA,21.5571258,-157.8764756,
One Kalakaua Senior Living,,,"Robinson, Dee (Ms.)",,,,,,,,,,,,,,,983-4400,,,,,,,,,,,,,,,,AL,,,,,Kalakaua Avenue,,,,Makiki,,,,96826,USA,21.2784288,-157.8281668,
Pohai Nani Good Samaritan,,,"Camero, Patricia (Ms.)",,,,,,,,,,,,,,,247-6211,,,,,,,,,,,,,,,,AL,,,,,Namoku Street,,,,Kaneohe,,,,96744,USA,21.4008968,-157.7849824,
Regency at Hualalai,,,"Yoshimoto, Darin (Mr.)",,,,,,,,,,,,,,,329-7878,,,,,,,,,,,,,,,,AL,,,,,Hualalai Road,,,,Kailua-Kona,,,,96740,USA,19.6272433,-155.96808,
"Regency at Puakea, L.L.C.",,,"Ho, Bronson (Mr.)",,,,,,,,,,,,,,,246-4449,,,,,,,,,,,,,,,,AL,,,,,Kaneka Street,,,,Lihue,,,,96766,USA,21.9652614,-159.38852,
The Plaza at Mililani,,,"Higa, Liane (Ms.)",,,,,,,,,,,,,,,626-8807,,,,,,,,,,,,,,,,AL,,,,,Ukuwai Street,,,,Mililani,,,,96789,USA,21.471165,-158.0061838,Mililani Mauka - Launani Valley
The Plaza at Moanalua,,,"Miyazaki, Shannon (Ms.)",,,,,,,,,,,,,,,833-8880,,,,,,,,,,,,,,,,AL,,,,,Moanalualani Place,,,,Honolulu,,,,96819,USA,21.3662862,-157.8999737,Moanalua
The Plaza at Pearl City,,,"Green, Jennifer (Ms.)",,,,,,,,,,,,,,,455-8808,,,,,,,,,,,,,,,,AL,,,,,Kuala Street,,,,Pearl City,,,,96701,USA,21.3999617,-157.9736683,
The Plaza at Punchbowl,,,"Yokoyama, Ashley (Ms.)",,,,,,,,,,,,,,,792-8800,,,,,,,,,,,,,,,,AL,,,,,Lunalilo Street,,,,Honolulu,,,,96822,USA,21.30451679999999,-157.8446368,
The Plazat at Waikiki,,,"Medeiros, Tricia (Ms.)",,,,,,,,,,,,,,,955-0800,,,,,,,,,,,,,,,,AL,,,,,Kalakaua Avenue,,,,Honolulu,,,,96815,USA,21.2784288,-157.8281668,
