row_id,name,contact,number_of_beds,license_number,license_expiration,Establish date,phone,House,street_address,county,postal_code,Island,country,type
USA-HI-80-AssistedLiving-80-AssistedLiving-1,15 Craigside,"Schulberg, Suzanne",212,#16-ALF,6/30/2018,7/25/2013,523-7000,15,Craigside Place,Honolulu,96817,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-2,Alii Community Care dba Roselani Place,"Hansen, Steve (Mr.)",144,#6-ALF,10/31/2017,11/9/2002,871-7720,88,South Papa Avenue,Kahului,96732,Maui,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-3,Arcadia Retirement Residence,"Thorp, Karen (Mrs.) NHA",250,#1-ALF,8/31/2019,1/2/2001,941-0941,1434,Punahou Street,Honolulu,96822,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-4,Hawaii Kai Retirement Comm Phase I and II,"Chung, Meli (Ms.)",113,#12-ALF,4/30/2018,5/24/2001,395-9599,428446,Kawaihae Street,Hawaii Kai,96825,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-5,Hi'olani Assisted Living Center at Kahala Nui,"Duquette, Jay (Mr.)",67,#10-ALF,5/31/2019,8/31/2011,218-7000,4389,Malia Street,Kahala,96821,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-6,Ilima at Leihano,"Tsuda, Mark (Mr.)",104,#20-ALF,8/31/2018,9/7/2016,674-8022,739,Leihano Street,Kapolei,96707,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-7,Kalakaua Gardens,"Nawahine, Steve (Mr.)",179,#21-ALF,9/30/2018,10/24/2016,518-2273,1723,Kalakaua Avenue,Honolulu,96826,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-8,Oceanside Hawaii Assisted Living,"Chen, Albert (Mr.)",153,#17-ALF,3/31/2019,4/17/2014,293-1100,53-594,Kamehameha Highway,Hauula,96717,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-9,One Kalakaua Senior Living,"Robinson, Dee (Ms.)",220,#4-ALF,4/30/2019,8/8/2002,983-4400,1314,Kalakaua Avenue,Makiki,96826,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-10,Pohai Nani Good Samaritan,"Camero, Patricia (Ms.)",153,#7-ALF,5/31/2019,6/5/2003,247-6211,45-090,Namoku Street,Kaneohe,96744,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-11,Regency at Hualalai,"Yoshimoto, Darin (Mr.)",220,#3-ALF,10/31/2018,11/9/2001,329-7878,75-181,Hualalai Road,Kailua-Kona,96740,Hawaii,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-12,"Regency at Puakea, L.L.C.","Ho, Bronson (Mr.)",100,#9-ALF,7/31/2019,5/3/2004,246-4449,2130,Kaneka Street,Lihue,96766,Kauai,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-13,The Plaza at Mililani,"Higa, Liane (Ms.)",128,#14-ALF,4/30/2019,1/28/2010,626-8807,95-1050,Ukuwai Street,Mililani,96789,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-14,The Plaza at Moanalua,"Miyazaki, Shannon (Ms.)",165,#15-ALF,10/31/2018,11/2/2012,833-8880,1280,Moanalualani Place,Honolulu,96819,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-15,The Plaza at Pearl City,"Green, Jennifer (Ms.)",158,#18-ALF,12/31/2018,12/16/2014,455-8808,1048,Kuala Street,Pearl City,96701,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-16,The Plaza at Punchbowl,"Yokoyama, Ashley (Ms.)",147,#8-ALF,12/31/2017,5/5/2004,792-8800,918,Lunalilo Street,Honolulu,96822,Oahu,USA,AL
USA-HI-80-AssistedLiving-80-AssistedLiving-17,The Plazat at Waikiki,"Medeiros, Tricia (Ms.)",170,#19-ALF,9/30/2018,10/14/2015,955-0800,1812,Kalakaua Avenue,Honolulu,96815,Oahu,USA,AL
