name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
ALTERNATIVE LIVING-FREDERICK,,,,,,,,,,,,,,,,,,Fayette (33),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,205 N Frederick Ave,,,Oelwein,,,IA,,50662,US,42.6816365,-91.9129002,
"ANCHOR HOMES, INC. - JAMES' JOURNEY",,,,,,,,,,,,,,,,,,Page (73),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,215 N 19th St,,,Clarinda,,,IA,,51632,US,40.739958,-95.0420225,
"ANCHOR HOMES, INC. - MICKEY'S MANSION",,,,,,,,,,,,,,,,,,Page (73),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,501 N 15th St,,,Clarinda,,,IA,,51632,US,40.7423592,-95.0360828,
ARCH I,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,402 S 4th St,,,Clinton,,,IA,,52732,US,41.8420978,-90.1935779,
ARCH II,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,734 5th Ave S,PO BOX 0278,,Clinton,,,IA,,52732,US,41.8412891,-90.2035391,
ARCH IV,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,78 32nd Ave N,,,Clinton,,,IA,,52732,US,41.8826,-90.17456899999999,
BEACON COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2417 Beacon Hill Dr,,,Dubuque,,,IA,,52003,US,42.47820449999999,-90.7008043,
BIRCH HOUSE,,,,,,,,,,,,,,,,,,Johnson (52),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,745 Pepper Dr,,,Iowa City,,,IA,,52240,US,41.6355647,-91.52528319999999,Twain
BUNKER COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2085 Bunker Hill Rd,,,Dubuque,,,IA,,52001,US,42.5059186,-90.7010299,
COMMUNITY NEURO REHAB - ASHWORTH,,,,,,,,,,,,,,,,,,Polk (77),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,5008 Ashworth Rd,,,West Des Moines,,,IA,,50266,US,41.584198,-93.771468,
COMMUNITY NEURO REHAB-ONEIDA POINT,,,,,,,,,,,,,,,,,,Polk (77),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,3000 SW 37th St,,,Des Moines,,,IA,,50321,US,41.55735990000001,-93.66786189999999,Southwestern Hills
COMMUNITY NEUROREHAB - GLEN OAKS,,,,,,,,,,,,,,,,,,Johnson (52),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2033 Glen Oaks Ridge,,,Coralville,,,IA,,52241,US,41.71022679999999,-91.5923388,Wickham
CONCORD COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2052 Concord Ct,,,Dubuque,,,IA,,52003,US,42.4890576,-90.6936429,
FALEY REFLECTIONS HOUSE,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2439 Wilbricht Ln,,,Dubuque,,,IA,,52001,US,42.5046911,-90.7023016,
FLORA ADULT GROUP HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2535 Wilbricht Ln,,,Dubuque,,,IA,,52001,US,42.504813,-90.705016,
KENNEDY COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,12488 John F Kennedy Rd,,,Dubuque,,,IA,,52002,US,42.536036,-90.730877,
KEYWAY COMMUNITY LIVING HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2129 Key Way Dr,,,Dubuque,,,IA,,52002,US,42.50868800000001,-90.725487,
MARYWOOD GROUP HOME,,,,,,,,,,,,,,,,,,Dubuque (31),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2671 Marywood Dr,,,Dubuque,,,IA,,52001,US,42.51801500000001,-90.7176999,
NEURORESTORATIVE - ANKENY,,,,,,,,,,,,,,,,,,Polk (77),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,4102 NW 2nd Ct,,,Ankeny,,,IA,,50023,US,41.73250580000001,-93.65406759999999,
NEURORESTORATIVE - CAVALIER,,,,,,,,,,,,,,,,,,Woodbury (97),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2021 Cavalier Way,,,Sioux City,,,IA,,51109,US,42.5142957,-96.4857651,
NEURORESTORATIVE - CEDAR RAPIDS,,,,,,,,,,,,,,,,,,Linn (57),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,6006 Beverly Rd SW,,,Cedar Rapids,,,IA,,52404,US,41.93920200000001,-91.749127,
NEURORESTORATIVE - DEWITT,,,,,,,,,,,,,,,,,,Clinton (23),,,,,,,,,,,,,,,,,3-5 Bed RCF/ID/MI/DD,,,,2803 262nd St,,,DeWitt,,,IA,,52742,US,41.7986015,-90.5480454,
