row_id,Facility Name,Facility Type,Address1,Address2,City,Zip,State,Country,Phone,Latitude,Longitude
USA-IA-87-IA-All-output-1,ALTERNATIVE LIVING-FREDERICK,3-5 Bed RCF/ID/MI/DD,205 N Frederick Ave,,Oelwein,50662,IA,US,Fayette (33),42.6816365,-91.9129002
USA-IA-87-IA-All-output-2,"ANCHOR HOMES, INC. - JAMES' JOURNEY",3-5 Bed RCF/ID/MI/DD,215 N 19th St,,Clarinda,51632,IA,US,Page (73),40.739958,-95.0420225
USA-IA-87-IA-All-output-3,"ANCHOR HOMES, INC. - MICKEY'S MANSION",3-5 Bed RCF/ID/MI/DD,501 N 15th St,,Clarinda,51632,IA,US,Page (73),40.7423592,-95.0360828
USA-IA-87-IA-All-output-4,ARCH I,3-5 Bed RCF/ID/MI/DD,402 S 4th St,,Clinton,52732,IA,US,Clinton (23),41.8420978,-90.1935779
USA-IA-87-IA-All-output-5,ARCH II,3-5 Bed RCF/ID/MI/DD,734 5th Ave S,PO BOX 0278,Clinton,52732,IA,US,Clinton (23),41.8412891,-90.2035391
USA-IA-87-IA-All-output-6,ARCH IV,3-5 Bed RCF/ID/MI/DD,78 32nd Ave N,,Clinton,52732,IA,US,Clinton (23),41.8826,-90.174569
USA-IA-87-IA-All-output-7,BEACON COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,2417 Beacon Hill Dr,,Dubuque,52003,IA,US,Dubuque (31),42.4782045,-90.7008043
USA-IA-87-IA-All-output-8,BIRCH HOUSE,3-5 Bed RCF/ID/MI/DD,745 Pepper Dr,,Iowa City,52240,IA,US,Johnson (52),41.6355647,-91.5252832
USA-IA-87-IA-All-output-9,BUNKER COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,2085 Bunker Hill Rd,,Dubuque,52001,IA,US,Dubuque (31),42.5059186,-90.7010299
USA-IA-87-IA-All-output-10,COMMUNITY NEURO REHAB - ASHWORTH,3-5 Bed RCF/ID/MI/DD,5008 Ashworth Rd,,West Des Moines,50266,IA,US,Polk (77),41.584198,-93.771468
USA-IA-87-IA-All-output-11,COMMUNITY NEURO REHAB-ONEIDA POINT,3-5 Bed RCF/ID/MI/DD,3000 SW 37th St,,Des Moines,50321,IA,US,Polk (77),41.5573599,-93.6678619
USA-IA-87-IA-All-output-12,COMMUNITY NEUROREHAB - GLEN OAKS,3-5 Bed RCF/ID/MI/DD,2033 Glen Oaks Ridge,,Coralville,52241,IA,US,Johnson (52),41.7102268,-91.5923388
USA-IA-87-IA-All-output-13,CONCORD COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,2052 Concord Ct,,Dubuque,52003,IA,US,Dubuque (31),42.4890576,-90.6936429
USA-IA-87-IA-All-output-14,FALEY REFLECTIONS HOUSE,3-5 Bed RCF/ID/MI/DD,2439 Wilbricht Ln,,Dubuque,52001,IA,US,Dubuque (31),42.5046911,-90.7023016
USA-IA-87-IA-All-output-15,FLORA ADULT GROUP HOME,3-5 Bed RCF/ID/MI/DD,2535 Wilbricht Ln,,Dubuque,52001,IA,US,Dubuque (31),42.504813,-90.705016
USA-IA-87-IA-All-output-16,KENNEDY COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,12488 John F Kennedy Rd,,Dubuque,52002,IA,US,Dubuque (31),42.536036,-90.730877
USA-IA-87-IA-All-output-17,KEYWAY COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,2129 Key Way Dr,,Dubuque,52002,IA,US,Dubuque (31),42.508688,-90.725487
USA-IA-87-IA-All-output-18,MARYWOOD GROUP HOME,3-5 Bed RCF/ID/MI/DD,2671 Marywood Dr,,Dubuque,52001,IA,US,Dubuque (31),42.518015,-90.7176999
USA-IA-87-IA-All-output-19,NEURORESTORATIVE - ANKENY,3-5 Bed RCF/ID/MI/DD,4102 NW 2nd Ct,,Ankeny,50023,IA,US,Polk (77),41.7325058,-93.6540676
USA-IA-87-IA-All-output-20,NEURORESTORATIVE - CAVALIER,3-5 Bed RCF/ID/MI/DD,2021 Cavalier Way,,Sioux City,51109,IA,US,Woodbury (97),42.5142957,-96.4857651
USA-IA-87-IA-All-output-21,NEURORESTORATIVE - CEDAR RAPIDS,3-5 Bed RCF/ID/MI/DD,6006 Beverly Rd SW,,Cedar Rapids,52404,IA,US,Linn (57),41.939202,-91.749127
USA-IA-87-IA-All-output-22,NEURORESTORATIVE - DEWITT,3-5 Bed RCF/ID/MI/DD,2803 262nd St,,DeWitt,52742,IA,US,Clinton (23),41.7986015,-90.5480454
USA-IA-87-IA-All-output-23,NEURORESTORATIVE - FLORENCE,3-5 Bed RCF/ID/MI/DD,1126 Florence Ave,,Sioux City,51109,IA,US,Woodbury (97),42.5139497,-96.4823164
USA-IA-87-IA-All-output-24,NEURORESTORATIVE - IOWA CITY,3-5 Bed RCF/ID/MI/DD,4569 Jenn Ln NE,,Iowa City,52240,IA,US,Johnson (52),41.710622,-91.486829
USA-IA-87-IA-All-output-25,NEW VENTURE GROUP HOME,3-5 Bed RCF/ID/MI/DD,401 S Washington St,,Corydon,50060,IA,US,Wayne (93),40.754928,-93.318026
USA-IA-87-IA-All-output-26,SPIRES COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,969 Spires Dr,,Dubuque,52001,IA,US,Dubuque (31),42.513112,-90.687943
USA-IA-87-IA-All-output-27,VIZALEEA HOUSE,3-5 Bed RCF/ID/MI/DD,1785 Vizaleea Dr,,Dubuque,52002,IA,US,Dubuque (31),42.5023512,-90.7300058
USA-IA-87-IA-All-output-28,3801 Grand,ALP/D,3801 Grand Ave,,Des Moines,50312,IA,US,Polk (77),41.5852402,-93.6684961
USA-IA-87-IA-All-output-29,Arbor Place,ALP/D,1140 K Ave NW,,Cedar Rapids,52405,IA,US,Linn (57),41.984344,-91.688878
USA-IA-87-IA-All-output-30,Arlington Place of Oelwein,ALP/D,1101 3rd St SW,,Oelwein,50662,IA,US,Fayette (33),42.6751983,-91.9310002
USA-IA-87-IA-All-output-31,Arlington Place of Pocahontas,ALP/D,101 NE 5th St,,Pocahontas,50574,IA,US,Pocahontas (76),42.7340989,-94.6611491
USA-IA-87-IA-All-output-32,Arlington Place of Red Oak,ALP/D,800 Ratliff Rd,,Red Oak,51566,IA,US,Montgomery (69),41.0312914,-95.2222784
USA-IA-87-IA-All-output-33,Bickford Cottage Burlington,ALP/D,3301 Sterling Dr,,Burlington,52601,IA,US,Des Moines (29),40.7988746,-91.1433791
USA-IA-87-IA-All-output-34,Bickford Cottage Clinton,ALP/D,1150 13th Ave N,,Clinton,52732,IA,US,Clinton (23),41.8594971,-90.2120474
