Facility Name,Facility Type,Address1,Address2,City,Zip,State,Country,Phone,Latitude,Longitude
ALTERNATIVE LIVING-FREDERICK,3-5 Bed RCF/ID/MI/DD,205 N Frederick Ave,,Oelwein,50662,IA, USA,Fayette (33),42.6816365,-91.9129002
"ANCHOR HOMES, INC. - JAMES' JOURNEY",3-5 Bed RCF/ID/MI/DD,215 N 19th St,,Clarinda,51632,IA, USA,Page (73),40.739958,-95.0420225
"ANCHOR HOMES, INC. - MICKEY'S MANSION",3-5 Bed RCF/ID/MI/DD,501 N 15th St,,Clarinda,51632,IA, USA,Page (73),40.7423592,-95.0360828
ARCH I,3-5 Bed RCF/ID/MI/DD,402 S 4th St,,Clinton,52732,IA, USA,Clinton (23),41.8420978,-90.1935779
ARCH II,3-5 Bed RCF/ID/MI/DD,734 5th Ave S, PO BOX 0278,Clinton,52732,IA, USA,Clinton (23),41.8412891,-90.2035391
ARCH IV,3-5 Bed RCF/ID/MI/DD,78 32nd Ave N,,Clinton,52732,IA, USA,Clinton (23),41.8826,-90.17456899999999
BEACON COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,2417 Beacon Hill Dr,,Dubuque,52003,IA, USA,Dubuque (31),42.47820449999999,-90.7008043
BIRCH HOUSE,3-5 Bed RCF/ID/MI/DD,745 Pepper Dr,,Iowa City,52240,IA, USA,Johnson (52),41.6355647,-91.52528319999999
BUNKER COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,2085 Bunker Hill Rd,,Dubuque,52001,IA, USA,Dubuque (31),42.5059186,-90.7010299
COMMUNITY NEURO REHAB - ASHWORTH,3-5 Bed RCF/ID/MI/DD,5008 Ashworth Rd,,West Des Moines,50266,IA, USA,Polk (77),41.584198,-93.771468
COMMUNITY NEURO REHAB-ONEIDA POINT,3-5 Bed RCF/ID/MI/DD,3000 SW 37th St,,Des Moines,50321,IA, USA,Polk (77),41.55735990000001,-93.66786189999999
COMMUNITY NEUROREHAB - GLEN OAKS,3-5 Bed RCF/ID/MI/DD,2033 Glen Oaks Ridge,,Coralville,52241,IA, USA,Johnson (52),41.71022679999999,-91.5923388
CONCORD COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,2052 Concord Ct,,Dubuque,52003,IA, USA,Dubuque (31),42.4890576,-90.6936429
FALEY REFLECTIONS HOUSE,3-5 Bed RCF/ID/MI/DD,2439 Wilbricht Ln,,Dubuque,52001,IA, USA,Dubuque (31),42.5046911,-90.7023016
FLORA ADULT GROUP HOME,3-5 Bed RCF/ID/MI/DD,2535 Wilbricht Ln,,Dubuque,52001,IA, USA,Dubuque (31),42.504813,-90.705016
KENNEDY COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,12488 John F Kennedy Rd,,Dubuque,52002,IA, USA,Dubuque (31),42.536036,-90.730877
KEYWAY COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,2129 Key Way Dr,,Dubuque,52002,IA, USA,Dubuque (31),42.50868800000001,-90.725487
MARYWOOD GROUP HOME,3-5 Bed RCF/ID/MI/DD,2671 Marywood Dr,,Dubuque,52001,IA, USA,Dubuque (31),42.51801500000001,-90.7176999
NEURORESTORATIVE - ANKENY,3-5 Bed RCF/ID/MI/DD,4102 NW 2nd Ct,,Ankeny,50023,IA, USA,Polk (77),41.73250580000001,-93.65406759999999
NEURORESTORATIVE - CAVALIER,3-5 Bed RCF/ID/MI/DD,2021 Cavalier Way,,Sioux City,51109,IA, USA,Woodbury (97),42.5142957,-96.4857651
NEURORESTORATIVE - CEDAR RAPIDS,3-5 Bed RCF/ID/MI/DD,6006 Beverly Rd SW,,Cedar Rapids,52404,IA, USA,Linn (57),41.93920200000001,-91.749127
NEURORESTORATIVE - DEWITT,3-5 Bed RCF/ID/MI/DD,2803 262nd St,,DeWitt,52742,IA, USA,Clinton (23),41.7986015,-90.5480454
NEURORESTORATIVE - FLORENCE,3-5 Bed RCF/ID/MI/DD,1126 Florence Ave,,Sioux City,51109,IA, USA,Woodbury (97),42.5139497,-96.4823164
NEURORESTORATIVE - IOWA CITY,3-5 Bed RCF/ID/MI/DD,4569 Jenn Ln NE,,Iowa City,52240,IA, USA,Johnson (52),41.710622,-91.486829
NEW VENTURE GROUP HOME,3-5 Bed RCF/ID/MI/DD,401 S Washington St,,Corydon,50060,IA, USA,Wayne (93),40.754928,-93.31802599999999
SPIRES COMMUNITY LIVING HOME,3-5 Bed RCF/ID/MI/DD,969 Spires Dr,,Dubuque,52001,IA, USA,Dubuque (31),42.51311199999999,-90.68794299999999
VIZALEEA HOUSE,3-5 Bed RCF/ID/MI/DD,1785 Vizaleea Dr,,Dubuque,52002,IA, USA,Dubuque (31),42.5023512,-90.7300058
3801 Grand,ALP/D,3801 Grand Ave,,Des Moines,50312,IA, USA,Polk (77),41.5852402,-93.6684961
Arbor Place,ALP/D,1140 K Ave NW,,Cedar Rapids,52405,IA, USA,Linn (57),41.98434400000001,-91.688878
Arlington Place of Oelwein,ALP/D,1101 3rd St SW,,Oelwein,50662,IA, USA,Fayette (33),42.6751983,-91.9310002
Arlington Place of Pocahontas,ALP/D,101 NE 5th St,,Pocahontas,50574,IA, USA,Pocahontas (76),42.7340989,-94.66114909999999
Arlington Place of Red Oak,ALP/D,800 Ratliff Rd,,Red Oak,51566,IA, USA,Montgomery (69),41.0312914,-95.2222784
Bickford Cottage Burlington,ALP/D,3301 Sterling Dr,,Burlington,52601,IA, USA,Des Moines (29),40.7988746,-91.14337909999999
Bickford Cottage Clinton,ALP/D,1150 13th Ave N,,Clinton,52732,IA, USA,Clinton (23),41.8594971,-90.2120474
Bickford Cottage Davenport,ALP/D,4040 E 55th St,,Davenport,52807,IA, USA,Scott (82),41.5782697,-90.51522109999999
Bickford Cottage Fort Dodge,ALP/D,1536 20th Ave N,,Fort Dodge,50501,IA, USA,Webster (94),42.52700550000001,-94.1763706
Bickford Cottage II Sioux City,ALP/D,4022 Indian Hills Dr,,Sioux City,51108,IA, USA,Woodbury (97),42.5401301,-96.3739604
Bickford Cottage Iowa City,ALP/D,3500 Lower West Branch Rd,,Iowa City,52245,IA, USA,Johnson (52),41.665228,-91.48221129999999
Bickford Cottage Marion,ALP/D,1100 Linden Dr,,Marion,52302,IA, USA,Linn (57),42.0375474,-91.5764803
Bickford Cottage Marshalltown,ALP/D,101 Newcastle Rd,,Marshalltown,50158,IA, USA,Marshall (64),42.0199915,-92.9111448
Bickford Cottage Muscatine,ALP/D,2807 Cedar St,,Muscatine,52761,IA, USA,Muscatine (70),41.4369075,-91.07699389999999
Bickford Cottage Urbandale,ALP/D,5915 Sutton Pl,,Urbandale,50322,IA, USA,Polk (77),41.64905469999999,-93.70148160000001
Bickford Cottage WDM,ALP/D,5050 Hawthorne Dr,,West Des Moines,50265,IA, USA,Polk (77),41.5631855,-93.7724897
Bridges at Ankeny,ALP/D,3510 NW Abilene Rd,,Ankeny,50023,IA, USA,Polk (77),41.7562806,-93.628545
Calvin Community AL Services,ALP/D,4210 Hickman Rd,,Des Moines,50310,IA, USA,Polk (77),41.61450609999999,-93.6753852
Cedars of Madrid Homes,ALP/D,600 N Kennedy Ave,,Madrid,50156,IA, USA,Boone (08),41.88429439999999,-93.8163254
Claremont's Ramsey Village,ALP/D,1611 27th St,,Des Moines,50310,IA, USA,Polk (77),41.60889309999999,-93.65272499999999
Clover Ridge Place,ALP/D,205 Ehlers Ln,,Maquoketa,52060,IA, USA,Jackson (49),42.0702436,-90.6861531
Cottage Grove Place,ALP/D,2115 1st Ave SE,,Cedar Rapids,52402,IA, USA,Linn (57),41.9958922,-91.6363803
Country Manor Memory Care,ALP/D,900 W 46th St,,Davenport,52806,IA, USA,Scott (82),41.5673523,-90.58597979999999
"Country Meadow Place, LLC",ALP/D,17396 Kingbird Ave,,Mason City,50401,IA, USA,Cerro Gordo (17),43.145659,-93.2881419
CountryHouse Residence,ALP/D,1831 E Kanesville Blvd,,Council Bluffs,51503,IA, USA,Pottawattamie (78),41.26979,-95.83497679999999
Courtyard Estates at Cedar Pointe,ALP/D,6132 NE 12th Ave,,Pleasant Hill,50327,IA, USA,Polk (77),41.60213389999999,-93.4903002
Courtyard Estates at Hawthorne Crossing,ALP/D,601 Hawthorne Crossing Dr SE,,Bondurant,50035,IA, USA,Polk (77),41.69710000000001,-93.4465939
Donald Lundak Assisted Living Center,ALP/D,21668 80th St,,Cresco,52136,IA, USA,Howard (45),43.39946349999999,-92.14593529999999
Edencrest at Green Meadows,ALP/D,6750 Corporate Dr,,Johnston,50131,IA, USA,Polk (77),41.6649293,-93.7077683
Edencrest at Riverwoods Assisted Living,ALP/D,2210 E Park Ave,,Des Moines,50320,IA, USA,Polk (77),41.5557174,-93.5757965
Edencrest at Siena Hills,ALP/D,455 SW Ankeny Rd,,Ankeny,50023,IA, USA,Polk (77),41.7016674,-93.60417960000001
Edgewater Assisted Living,ALP/D,9250 Edgeline Dr,,West Des Moines,50266,IA, USA,Dallas (25),41.5561064,-93.83202659999999
Emery Place,ALP/D,901 S Mentzer Rd,,Robins,52328,IA, USA,Linn (57),42.0598432,-91.6582227
