row_id,Facility Name,Facility Type,Address1,Address2,City,Zip,State,Country,County,Phone
USA-IA-88-IA-All-output-1,Grundy Care Center,Nursing Facility,102 East J Avenue,,Grundy Center,50638,IA,US,Grundy,(319) 824-5436
USA-IA-88-IA-All-output-2,Countryside Nursing and Rehabilitation Center,Nursing Facility,6120 Morningside Avenue,,Sioux City,51106,IA,US,Woodbury,(712) 276-3000
USA-IA-88-IA-All-output-3,Mercy Living Center South,Nursing Facility,638 South Bluff Boulevard,,Clinton,52732,IA,US,Clinton,(563) 244-5555
USA-IA-88-IA-All-output-4,Good Samaritan Society - LeMars,Nursing Facility,1140 Lincoln Street NE,,LeMars,51031,IA,US,Plymouth,(712) 546-4101
USA-IA-88-IA-All-output-5,Brooklyn Community Estates,Nursing Facility,406 North Street,,Brooklyn,52211,IA,US,Poweshiek,(641) 522-9263
USA-IA-88-IA-All-output-6,Crest Haven Care Centre,Nursing Facility,1000 East Howard Street,,Creston,50801,IA,US,Union,(641) 782-5012
USA-IA-88-IA-All-output-7,Regency Park Nursing and Rehabilitation Center of Carroll,Nursing Facility,500 East Valley Drive, P.O. Box 821,Carroll,51401,IA,US,Carroll,(712) 792-9281
USA-IA-88-IA-All-output-8,Living Center East,Nursing Facility,1220 5th Avenue SE,,Cedar Rapids,52403,IA,US,Linn,(319) 366-8701
USA-IA-88-IA-All-output-9,Centerville Specialty Care,Nursing Facility,1208 East Cross Street,,Centerville,52544,IA,US,Appanoose,(641) 856-8651
USA-IA-88-IA-All-output-10,Chautauqua Guest Home #3,Nursing Facility,302 9th Street,,Charles City,50616,IA,US,Floyd,(641) 228-5351
USA-IA-88-IA-All-output-11,Chautauqua Guest Home #2,Nursing Facility,602 11th Street,,Charles City,50616,IA,US,Floyd,(641) 228-2353
USA-IA-88-IA-All-output-12,Colonial Manor of Amana,Nursing Facility,3207 220th Trail,,Amana,52203,IA,US,Iowa,(319) 622-3131
USA-IA-88-IA-All-output-13,Colonial Manor of Columbus Community,Nursing Facility,814 Springer Avenue,,Columbus Junction,52738-0266,IA,US,Louisa,(319) 728-2276
USA-IA-88-IA-All-output-14,Correctionville Specialty Care,Nursing Facility,1115 E Hwy 20,PO Box H,Correctionville,51016,IA,US,Woodbury,(712) 372-4466
USA-IA-88-IA-All-output-15,Kingsley Specialty Care,Nursing Facility,305 West 3rd Street,PO Box 407,Kingsley,51028,IA,US,Plymouth,(712) 378-2400
USA-IA-88-IA-All-output-16,"Zearing Health Care, LLC",Nursing Facility,404 East Garfield,,Zearing,50278,IA,US,Story,(641) 487-7631
USA-IA-88-IA-All-output-17,Genesis Senior Living Center,Nursing Facility,5608 SW 9th,,Des Moines,50315,IA,US,Polk,(515) 285-3070
USA-IA-88-IA-All-output-18,"Community Care Center, Inc.",Nursing Facility,325 SW 7th Street,,Stuart,50250,IA,US,Adair,(515) 523-2815
USA-IA-88-IA-All-output-19,Corydon Specialty Care,Nursing Facility,745 East South Street,,Corydon,50060,IA,US,Wayne,(641) 872-1590
USA-IA-88-IA-All-output-20,Country View Manor Inc.,Nursing Facility,100 Cedar Lane,,Sibley,51249,IA,US,Osceola,(712) 754-2568
USA-IA-88-IA-All-output-21,Panora Specialty Care,Nursing Facility,805 East Main,PO Box 69,Panora,50216,IA,US,Guthrie,(641) 755-2700
USA-IA-88-IA-All-output-22,Union Park Health Services,Nursing Facility,2401 East Eighth Street,,Des Moines,50316,IA,US,Polk,(515) 262-9303
USA-IA-88-IA-All-output-23,Dunlap Specialty Care,Nursing Facility,1403 Harrison Road,,Dunlap,51529,IA,US,Harrison,(712) 643-2121
USA-IA-88-IA-All-output-24,Edgewood Convalescent Home,Nursing Facility,P.O. Box 39,513 Bell St.,Edgewood,52052,IA,US,Delaware,(563) 928-6461
USA-IA-88-IA-All-output-25,Fellowship Village,Nursing Facility,300 East Jefferson,,Inwood,51240,IA,US,Lyon,(712) 753-4663
USA-IA-88-IA-All-output-26,Elkader Care Center,Nursing Facility,116 Reimer Street SW, Box 519,Elkader,52043,IA,US,Clayton,(563) 245-1620
USA-IA-88-IA-All-output-27,English Valley Nursing Care Center,Nursing Facility,150 West Washington, P.O. Box 430,North English,52316,IA,US,Iowa,(319) 664-3256
USA-IA-88-IA-All-output-28,Evans Memorial Home,Nursing Facility,1010 North Elm Street,,Cresco,52136,IA,US,Howard,(563) 547-2364
USA-IA-88-IA-All-output-29,Exira Care Center,Nursing Facility,411 South Carthage,,Exira,50076,IA,US,Audubon,(712) 268-5393
USA-IA-88-IA-All-output-30,Faith Lutheran Home,Nursing Facility,914 Davidson Dr.,,Osage,50461,IA,US,Mitchell,(641) 732-5511
USA-IA-88-IA-All-output-31,Fonda Specialty Care,Nursing Facility,607 Queen Street,,Fonda,50540,IA,US,Pocahontas,(712) 288-4441
USA-IA-88-IA-All-output-32,Fort Madison Health Center,Nursing Facility,1702 41st Street,,Fort Madison,52627,IA,US,Lee,(319) 372-8021
USA-IA-88-IA-All-output-33,Fountain West Health Center,Nursing Facility,1501 Office Park Road,,West Des Moines,50265,IA,US,Polk,(515) 223-1223
USA-IA-88-IA-All-output-34,Friendship Home Association,Nursing Facility,714 North Division Street,,Audubon,50025,IA,US,Audubon,(712) 563-2651
USA-IA-88-IA-All-output-35,Glen Haven Home,Nursing Facility,302 6th Street,,Glenwood,51534,IA,US,Mills,(712) 527-3101
USA-IA-88-IA-All-output-36,Good Samaritan Society - Algona,Nursing Facility,412 West Kennedy Street,,Algona,50511,IA,US,Kossuth,(515) 295-2414
USA-IA-88-IA-All-output-37,Good Samaritan Society - Estherville,Nursing Facility,1646 5th Avenue, North,Estherville,51334,IA,US,Emmet,(712) 362-3522
USA-IA-88-IA-All-output-38,Good Samaritan Society - Fontanelle,Nursing Facility,326 Summerset Street, P.O. Box 38,Fontanelle,50846,IA,US,Adair,(641) 745-4191
USA-IA-88-IA-All-output-39,Good Samaritan Society - Forest City,Nursing Facility,606 S 7th Street,,Forest City,50436,IA,US,Winnebago,(641) 585-2232
USA-IA-88-IA-All-output-40,Good Samaritan Society - George,Nursing Facility,324 1st Avenue ,PO Box 608,George,51237,IA,US,Lyon,(712) 475-3391
USA-IA-88-IA-All-output-41,Good Samaritan Society - Holstein,Nursing Facility,505 W 2nd Street,,Holstein,51025,IA,US,Ida,(712) 368-4304
USA-IA-88-IA-All-output-42,Good Samaritan Society - Indianola,Nursing Facility,708 South Jefferson Way ,P.O. Box 319,Indianola,50125,IA,US,Warren,(515) 961-2596
USA-IA-88-IA-All-output-43,Good Samaritan Society - Manson,Nursing Facility,1402 Main Street,,Manson,50563,IA,US,Calhoun,(712) 469-3908
USA-IA-88-IA-All-output-44,Good Samaritan Society - Newell ,Nursing Facility,415 W Hwy 7,PO Box 395,Newell,50568,IA,US,Buena Vista,(712) 272-3327
USA-IA-88-IA-All-output-45,Good Samaritan Society - Ottumwa,Nursing Facility,2035 Chester Avenue,,Ottumwa,52501,IA,US,Wapello,(641) 682-8041
USA-IA-88-IA-All-output-46,Good Samaritan Society - Postville,Nursing Facility,400 Hardin Drive ,,Postville,52162,IA,US,Allamakee,(563) 864-7425
USA-IA-88-IA-All-output-47,Good Samaritan Society - Red Oak,Nursing Facility,201 Alix Avenue,,Red Oak,51566,IA,US,Montgomery,(712) 623-3170
USA-IA-88-IA-All-output-48,Good Samaritan Society - Saint Ansgar,Nursing Facility,701 East 4th Street,,Saint Ansgar,50472,IA,US,Mitchell,(641) 713-4912
USA-IA-88-IA-All-output-49,Keosauqua Health Care Center,Nursing Facility,819 Country Lane Rd,,Keosauqua,52565,IA,US,Van Buren,(319) 293-3761
USA-IA-88-IA-All-output-50,Good Samaritan Society - Villisca,Nursing Facility,202 Central Ave.,,Villisca,50864-1097,IA,US,Montgomery,(712) 826-9592
USA-IA-88-IA-All-output-51,Good Samaritan Society - Waukon,Nursing Facility,21 East  Main Street,,Waukon,52172,IA,US,Allamakee,(563) 568-3447
USA-IA-88-IA-All-output-52,Good Samaritan Society - West Union,Nursing Facility,201 Hall Street,,West Union,52175,IA,US,Fayette,(563) 422-3814
USA-IA-88-IA-All-output-53,Good Shepherd Health Center,Nursing Facility,P.O. Box 1707,302 2nd Street,Mason City,50402-1707,IA,US,Cerro Gordo,(641) 424-1740
USA-IA-88-IA-All-output-54,Grandview Heights,Nursing Facility,910 East Olive Street,,Marshalltown,50158,IA,US,Marshall,(641) 752-4581
USA-IA-88-IA-All-output-55,Great River Care Center ,Nursing Facility,1400 West Main Street,,McGregor,52157,IA,US,Clayton,(563) 873-3527
USA-IA-88-IA-All-output-56,"Accura Healthcare of Knoxville, LLC ",Nursing Facility,606 North 7th Street,,Knoxville,50138,IA,US,Marion,(641) 842-2187
USA-IA-88-IA-All-output-57,Happy Siesta Nursing Home,Nursing Facility,423 Roosevelt Street,,Remsen,51050,IA,US,Plymouth,(712) 786-1118
USA-IA-88-IA-All-output-58,New Hampton Nursing & Rehab Center,Nursing Facility,703 4th Ave,,New Hampton,50659,IA,US,Chickasaw,(641) 394-4153
USA-IA-88-IA-All-output-59,Henry County Hlth Cntr/Park Place,Nursing Facility,401 South Van Buren,,Mt. Pleasant,52641,IA,US,Henry,(319) 385-6192
USA-IA-88-IA-All-output-60,Hawkeye Care Center Bancroft,Nursing Facility,546 East Ramsey,,Bancroft,50517,IA,US,Kossuth,(515) 885-2463
USA-IA-88-IA-All-output-61,Hawkeye Care Center of Dubuque,Nursing Facility,4885 Asbury Road,,Dubuque,52002,IA,US,Dubuque,(563) 583-6447
USA-IA-88-IA-All-output-62,Hawkeye Care Center Spirit Lake,Nursing Facility,1912 Zenith Ave,,Spirit Lake,51360,IA,US,Dickinson,(712) 336-3300
USA-IA-88-IA-All-output-63,Holy Spirit Retirement Home,Nursing Facility,1701 West 25th Street,,Sioux City,51103,IA,US,Woodbury,(712) 252-2726
USA-IA-88-IA-All-output-64,Regency Park Nursing and Rehab Center - Jefferson,Nursing Facility,100 Ram Drive,,Jefferson,50129,IA,US,Greene,(515) 386-4107
USA-IA-88-IA-All-output-65,Lexington Square,Nursing Facility,500 Messinger Road,,Keokuk,52632,IA,US,Lee,(319) 524-5321
USA-IA-88-IA-All-output-66,Keystone Nursing Care Center,Nursing Facility,250 Fifth Street,,Keystone,52249-9521,IA,US,Benton,(319) 442-3234
USA-IA-88-IA-All-output-67,Pearl Valley Rehabilitation and Nursing at Lake Park LLC,Nursing Facility,1304 S Market St.,,Lake Park,51347-0425,IA,US,Dickinson,(712) 832-3691
USA-IA-88-IA-All-output-68,Lamoni Specialty Care,Nursing Facility,215 South Oak St.   Box 69,,Lamoni,50140,IA,US,Decatur,(641) 784-3388
USA-IA-88-IA-All-output-69,Little Flower Haven,Nursing Facility,736 Hwy 37, P.O. Box 288,Earling,51530,IA,US,Shelby,(712) 747-3301
USA-IA-88-IA-All-output-70,Pioneer Park,Nursing Facility,501 E Pioneer Road,,Lone Tree,52755,IA,US,Johnson,(319) 629-4255
USA-IA-88-IA-All-output-71,"Longview Home, Inc.",Nursing Facility,1010 Longview Road,,Missouri Valley,51555,IA,US,Harrison,(712) 642-2264
USA-IA-88-IA-All-output-72,Lyon Specialty Care,Nursing Facility,1010 South Union Street,,Rock Rapids,51246,IA,US,Lyon,(712) 472-3748
USA-IA-88-IA-All-output-73,Manilla Manor,Nursing Facility,146 North 5th Street, P.O. Box 490,Manilla,51454-0490,IA,US,Crawford,(712) 654-6812
USA-IA-88-IA-All-output-74,Manly Specialty Care,Nursing Facility,601 East South Street,,Manly,50456,IA,US,Worth,(641) 454-2223
USA-IA-88-IA-All-output-75,Manning Regional Healthcare Center,Nursing Facility,1550 6th Street,,Manning,51455,IA,US,Carroll,(712) 655-2072
USA-IA-88-IA-All-output-76,Maple Crest Manor,Nursing Facility,100 Bolger Drive,,Fayette,52142-9762,IA,US,Fayette,(563) 425-3336
USA-IA-88-IA-All-output-77,Maple Heights,Nursing Facility,2 Sunrise Avenue,,Mapleton,51034,IA,US,Monona,(712) 881-1680
USA-IA-88-IA-All-output-78,Arbor Court,Nursing Facility,701 E Mapleleaf Drive,,Mt. Pleasant,52641,IA,US,Henry,(319) 385-1400
USA-IA-88-IA-All-output-79,Keota Health Care Center,Nursing Facility,204 North Keokuk Washington Road,,Keota,52248-9495,IA,US,Keokuk,(641) 636-3400
USA-IA-88-IA-All-output-80,Marian Home,Nursing Facility,2400 6th Avenue N,,Fort Dodge,50501,IA,US,Webster,(515) 576-1138
USA-IA-88-IA-All-output-81,Mechanicsville Specialty Care,Nursing Facility,PO Box 430,104 E. 4th Street,Mechanicsville,52306,IA,US,Cedar,(563) 432-7235
USA-IA-88-IA-All-output-82,Prairie Ridge Care & Rehabilitation,Nursing Facility,608 Prairie Street,,Mediapolis,52637-0815,IA,US,Des Moines,(319) 394-3991
USA-IA-88-IA-All-output-83,Hawkeye Care Center Milford,Nursing Facility,1600 13th Street,,Milford,51351,IA,US,Dickinson,(712) 338-4742
USA-IA-88-IA-All-output-84,Mill Valley Care Center,Nursing Facility,1201 Park Street,,Bellevue,52031,IA,US,Jackson,(563) 872-5521
USA-IA-88-IA-All-output-85,"Pearl Valley Rehabilitation and Nursing at Sutherland, LLC",Nursing Facility,506 E.4th St., PO Box 475,Sutherland,51058-0475,IA,US,O'Brien,(712) 446-3857
USA-IA-88-IA-All-output-86,Mount Ayr Health Care Center,Nursing Facility,1504 East South Street,,Mt. Ayr,50854,IA,US,Ringgold,(641) 464-3204
USA-IA-88-IA-All-output-87,Nelson Manor,Nursing Facility,1500 1st Avenue East,,Newton,50208,IA,US,Jasper,(641) 792-1443
USA-IA-88-IA-All-output-88,Linn Haven Rehab & Healthcare ,Nursing Facility,530 So Linn Ave.,,New Hampton,50659,IA,US,Chickasaw,(641) 394-3151
USA-IA-88-IA-All-output-89,The New Homestead Care Center - SNF,Nursing Facility,2306 State Street,,Guthrie Center,50115,IA,US,Guthrie,(515) 224-4442
USA-IA-88-IA-All-output-90,New London Specialty Care,Nursing Facility,100 Care Center Circle Street,,New London,52645,IA,US,Henry,(319) 367-5753
USA-IA-88-IA-All-output-91,Northern Mahaska Specialty Care,Nursing Facility,2401 Crestview Drive,,Oskaloosa,52577,IA,US,Mahaska,(641) 673-3000
USA-IA-88-IA-All-output-92,Northbrook Manor Care Center,Nursing Facility,6420 Council Street NE,,Cedar Rapids,52402,IA,US,Linn,(319) 393-1447
USA-IA-88-IA-All-output-93,Norwalk Nursing and Rehabilitation Center,Nursing Facility,921 Sunset Drive,,Norwalk,50211,IA,US,Warren,(515) 981-0604
USA-IA-88-IA-All-output-94,Oakland Manor,Nursing Facility,737 N. Highway,,Oakland,51560,IA,US,Pottawattamie,(712) 482-6403
USA-IA-88-IA-All-output-95,Oakview Inc.,Nursing Facility,511 East Center Street,,Conrad,50621-0785,IA,US,Grundy,(641) 366-2212
USA-IA-88-IA-All-output-96,Elmwood Care Center,Nursing Facility,222 North 15th Street,,Onawa,51040,IA,US,Monona,(712) 423-2510
USA-IA-88-IA-All-output-97,Southern Hills Specialty Care,Nursing Facility,444 N West View Drive,,Osceola,50213,IA,US,Clarke,(641) 342-6061
USA-IA-88-IA-All-output-98,Ossian Senior Hospice,Nursing Facility,114 Fisher Avenue, P.O. Box 98,Ossian,52161,IA,US,Winneshiek,(563) 532-9440
USA-IA-88-IA-All-output-99,Parkview Care Center,Nursing Facility,2237 Business Highway 34 ,,Fairfield,52556,IA,US,Jefferson,(641) 472-5022
USA-IA-88-IA-All-output-100,Parkview Manor,Nursing Facility,516 13th Street,,Wellman,52356,IA,US,Washington,(319) 646-2911
USA-IA-88-IA-All-output-101,Parkview Manor Care Center & Elms Assisted Living,Nursing Facility,1009 Third Street,,Reinbeck,50643,IA,US,Grundy,(319) 345-6811
USA-IA-88-IA-All-output-102,"Accura Healthcare of Pleasantville, LLC",Nursing Facility,909 North State Street,,Pleasantville,50225,IA,US,Marion,(515) 848-5718
USA-IA-88-IA-All-output-103,Pleasant View Home,Nursing Facility,410 Spruce Street,,Albert City,50510,IA,US,Buena Vista,(712) 843-2237
USA-IA-88-IA-All-output-104,Pleasant View Care Center,Nursing Facility,200 Shannon Drive,,Whiting,51063,IA,US,Monona,(712) 458-2417
USA-IA-88-IA-All-output-105,Plymouth Manor Care Center,Nursing Facility,954 7th Avenue SE,,Le Mars,51031,IA,US,Plymouth,(712) 546-7831
USA-IA-88-IA-All-output-106,Polk City Nursing and Rehabilitation,Nursing Facility,1002 W Washington,,Polk City,50226,IA,US,Polk,(515) 984-6511
USA-IA-88-IA-All-output-107,"Accura Healthcare of Pomeroy, LLC",Nursing Facility,303 East 7th Street  Box 10,,Pomeroy,50575,IA,US,Calhoun,(712) 468-2241
USA-IA-88-IA-All-output-108,Prairie View Home Inn,Nursing Facility,610 N Eastern Street,,Sanborn,51248,IA,US,O'Brien,(712) 930-3228
USA-IA-88-IA-All-output-109,"Pearl Valley Rehabilitation and Nursing at Primghar, LLC",Nursing Facility,735 N Rerick Avenue,,Primghar,51245,IA,US,O'Brien,(712) 957-3655
USA-IA-88-IA-All-output-110,Rock Rapids Health Centre,Nursing Facility,703 S Union Street,,Rock Rapids,51246,IA,US,Lyon,(712) 472-2585
USA-IA-88-IA-All-output-111,Rose Haven Nursing Home,Nursing Facility,1500 Franklyn Ave.,,Marengo,52301,IA,US,Iowa,(319) 642-5533
USA-IA-88-IA-All-output-112,"Rose Vista Home, Inc.",Nursing Facility,1109 Normal Street, P.O. Box 6,Woodbine,51579,IA,US,Harrison,(712) 647-2010
USA-IA-88-IA-All-output-113,Pearl Valley Rehabilitation and Nursing at Estherville LLC ,Nursing Facility,2001 First Avenue North,,Estherville,51334-0514,IA,US,Emmett,(712) 362-3594
USA-IA-88-IA-All-output-114,Scenic Living Communities,Nursing Facility,1409 Fremont Street,,Iowa Falls,50126,IA,US,Hardin,(641) 648-4671
USA-IA-88-IA-All-output-115,Montezuma Specialty Care,Nursing Facility,316 Meadow Lane Drive,,Montezuma,50171,IA,US,Poweshiek,(641) 623-5497
USA-IA-88-IA-All-output-116,Monticello Nursing & Rehab Center,Nursing Facility,500 Pinehaven Drive,,Monticello,52310,IA,US,Jones,(319) 465-5415
USA-IA-88-IA-All-output-117,Shady Oaks Care Center,Nursing Facility,1409 W Main Street,,Lake City,51449,IA,US,Calhoun,(712) 464-3106
USA-IA-88-IA-All-output-118,Shady Rest Care Center,Nursing Facility,701 Johnson Str. NW, P.O. Box 130,Cascade,52033,IA,US,Dubuque,(563) 852-3277
USA-IA-88-IA-All-output-119,Shell Rock Senior Living,Nursing Facility,920 North Cherry Street,,Shell Rock,50670,IA,US,Butler,(319) 885-4341
USA-IA-88-IA-All-output-120,Sibley Specialty Care,Nursing Facility,700 9th Avenue North,,Sibley,51249,IA,US,Osceola,(712) 754-3629
USA-IA-88-IA-All-output-121,The Ambassador Sidney,Nursing Facility,115 Main,,Sidney,51601,IA,US,Fremont,(712) 374-2693
USA-IA-88-IA-All-output-122,Sigourney Health Care,Nursing Facility,900 S Stone Street,,Sigourney,52591,IA,US,Keokuk,(641) 622-2971
USA-IA-88-IA-All-output-123,Hawkeye Care Center Sioux Rapids,Nursing Facility,702 Blake Street, P.O. Box 478,Sioux Rapids,50585,IA,US,Buena Vista,(712) 283-2302
USA-IA-88-IA-All-output-124,Solon Nursing Care Center,Nursing Facility,523 E 5th Street,,Solon,52333,IA,US,Johnson,(319) 624-3492
USA-IA-88-IA-All-output-125,"Accura Healthcare of Stanton, LLC",Nursing Facility,P.O. Box 430,213 Halland,Stanton,51573,IA,US,Montgomery,(712) 829-2727
USA-IA-88-IA-All-output-126,State Center Specialty Care,Nursing Facility,702 3rd St NW,,State Center,50247,IA,US,Marshall,(641) 483-2812
USA-IA-88-IA-All-output-127,Stratford Specialty Care,Nursing Facility,1200 Hwy 175 East, P.O. Box 260,Stratford,50249,IA,US,Hamilton,
USA-IA-88-IA-All-output-128,Sunny Hill Care Center,Nursing Facility,1708 Harding Street,,Tama,52339-1028,IA,US,Tama,(641) 484-4061
USA-IA-88-IA-All-output-129,Sunny Knoll Care Centre,Nursing Facility,135 Warner Street,,Rockwell City,50579,IA,US,Calhoun,(712) 297-8918
USA-IA-88-IA-All-output-130,Sunny View Care Center,Nursing Facility,410 NW Ash Dr.,,Ankeny,50021,IA,US,Polk,(515) 635-0936
USA-IA-88-IA-All-output-131,Sunrise Hill Care Center,Nursing Facility,909 6th Street,,Traer,50675,IA,US,Tama,(319) 478-2730
USA-IA-88-IA-All-output-132,Sunrise Terrace Nursing & Rehabilitation Center,Nursing Facility,706 West Central Ave.,PO Box 30,Winfield,52659,IA,US,Henry,(319) 257-3303
USA-IA-88-IA-All-output-133,Thomas Rest Haven,Nursing Facility,217 Main Street,,Coon Rapids,50058,IA,US,Carroll,(712) 999-2253
USA-IA-88-IA-All-output-134,Thornton Manor Care Center,Nursing Facility,1329 Main, P.O. Box 700,Lansing,52151,IA,US,Allamakee,(563) 538-4236
USA-IA-88-IA-All-output-135,Timely Mission Nursing Home,Nursing Facility,109 Mission Drive,,Buffalo Center,50424,IA,US,Winnebago,(641) 562-2844
USA-IA-88-IA-All-output-136,Titonka Care Center,Nursing Facility,312 1st Avenue NW,PO Box349,Titonka,50480,IA,US,Kossuth,(515) 928-2600
USA-IA-88-IA-All-output-137,"Twilight Acres, Inc.",Nursing Facility,600 West 6th Street,,Wall Lake,51466,IA,US,Sac,(712) 664-2488
USA-IA-88-IA-All-output-138,Wapello Specialty Care,Nursing Facility,601 HIghway 61 S, P.O. Box 208,Wapello,52653,IA,US,Louisa,(319) 523-2001
