row_id,license_num,initial_license,Expires,name,street_address,city,postal_code,county,#AZ,#Reg,#FL ,Total,adult_day_care_facility,alzheimer_facility,,facility_type
USA-IL-64-AssistedLiving-64-AssistedLiving-1,5104747,2016-12-20T00:00:00,2017-12-20T00:00:00,Adams Pointe Assisted Living,213 North 48th Street,Quincy,62305,Adams,,28,,28,Yes,No,2172286484,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-2,5100562,2017-01-29T00:00:00,2018-01-29T00:00:00,Addolorata Villa,553 McHenry Rd,Wheeling,60090,Cook,22,39,,61,No,Yes,8472155854,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-3,5104192,2016-05-08T00:00:00,2017-05-08T00:00:00,Admiral at the Lake,933 W. Foster Ave,Chicago,60640,Cook,17,39,,56,No,Yes,7734331800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-4,5104622,2017-01-14T00:00:00,2019-01-14T00:00:00,AL at Franciscan Village,11400 Theresa Drive,Lemont,60439,Cook,,34,,34,No,No,6302433500,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-5,5104101,2016-08-31T00:00:00,2017-08-31T00:00:00,Amber Glen Alzheimer's SCC,1704 East Amber Lane,Urbana,61802,Champaign,38,,,38,No,Yes,2173840100,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-6,5105066,2017-05-01T00:00:00,2018-05-01T00:00:00,Amber Ridge Assisted Living,900 43rd Avenue,Moline,61265,Rock Island,,46,,46,No,No,3097978181,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-7,5105090,2017-05-01T00:00:00,2018-05-01T00:00:00,Amber Ridge Memory Care,221 11th Avenue,Moline,61265,Rock Island,41,,,41,No,Yes,3097577744,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-8,5105041,2016-12-05T00:00:00,2017-12-05T00:00:00,American House  Cedarlake,14800 South Van Dyke Road,Plainfield,60544,Will,,41,,41,No,No,8152543564,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-9,5103590,2016-10-20T00:00:00,2017-10-20T00:00:00,Anam Care Inc.,8104 Sayer Rd,Rockford,61108,Winnebago,20,,,20,Yes,Yes,8153325566,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-10,5201287,2016-08-07T00:00:00,2017-08-07T00:00:00,Anam Glen,7978 Newburg Road,Rockford,61108,Winnebago,13,,,13,Yes,Yes,8153321919,Assisted Living
