row_id,Facility Name,Address1,Address2,City,Zip,State,Phone,Email,Website,Country,facility_type
USA-IN-83-IN-AssistedLiving-output-1,Allisonville Meadows Assisted Living,10410 Allisonville Rd,,Fishers,46038,IN,317-436-6400,info@americansrcommunities,ASCSeniorCare.Com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-2,Atria Newburgh, 5311 Rosebud Lane,,Newburgh,47630,IN,812-479-5585,,http://www.atriaseniorliving.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-3,Bethany Village Assisted Living,3530 Shelby Street,,Indianapolis,46227-3299,IN,317-784-3066,info@americanSRcommunities.com,ASCSeniorCare.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-4,Brentwood at Hobart,1420 St. Mary's Circle,,Hobart,46342,IN,219-945-1968,,http://www.hobartalc.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-5,Brentwood at La Porte,2002 Andrew Ave La,,Porte,46350,IN,(219) 325-1599,administrator@laportealc.com,Laportealc.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-6,Brookdale Bloomington,3802 S. Sare Rd,,Bloomington,47401,IN,812-330-0885,myoder@brookdale.com,www.brookdale.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-7,Brookdale Carmel,301 Executive Dr,,Carmel,46032,IN,317-580-0389,jpegues@brookdale.com,www.brookdale.com/carmel,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-8,Brookdale Castleton,8480 Craig St.,,Indianapolis,46250,IN,317-842-6564,tcollins@brookdale.com,Brookdale.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-9,Brookdale Evansville,6521 Greendale Drive,,Evansville,47711,IN,812-867-7900,djolly@brookdale.com,Brookdale.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-10,Brookdale Fall Creek,5011 Kessler Blvd., East Drive,Indianapolis,46220,IN,317-251-1300,angela.martinez@brookdale.com,www.brookdale.com/communities/brookdale-place-at-fall-creek,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-11,Brookdale Fort Wayne,4730 E. State Blvd.,,Fort Wayne,46815,IN,260-484-0308,,http://www.brookdale.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-12,Brookdale Granger,430 E. Cleveland Rd,,Granger,46530,IN,574-243-9020,,http://www.brookdale.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-13,Brookdale Kokomo,3025 W Sycamore St,,Kokomo,46901,IN,(765) 456-1490,shkokomo@brookdale.com,https://www.brookdale.com/communities/sterling-house-of-kokomo,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-14,Brookdale Marion,   2452 W. Kem Rd.,,Marion,46952,IN,765-384-4500,,http://www.brookdale.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-15,Brookdale Merrillville,8253 Virginia Street,,Merrillville,46410,IN,219-736-9383,sales01300@brookdale.com,www.brookdale.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-16,Brookdale Michigan City Memory Care,1300 E. Coolspring Avenue,,Michigan City,46360,IN,219-872-1935,,http://www.brookdale.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-17,Brookdale Portage, 3444 Swanson Rd. ,,Portage,46368,IN,219-763-4867,,http://www.brookdale.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-18,Brookdale South Bend,17441 State Road,23,South Bend,46635,IN,(574) 273-2233,Jkimbrell@brookdale.com,Brookdale.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-19,Brookdale Valparaiso Memory Care,2501 Valparaiso St.,,Valparaiso,46383,IN,219-548-2770,,http://www.brookdale.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-20,Brookdale Valparaiso,2601 Valparaiso St.,,Valparaiso,46383,IN,219-548-2230,,http://www.brookdale.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-21,Brookdale Willow Lake,2725 Lake Circle Drive,,Indianapolis,46268,IN,317-334-9400,Cbeeson1@brookdale.com,https://www.brookdale.com/communities/brookdale-place-at-willow-lake/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-22,Brownsburg Meadows Assisted Living,7133 Meadow Trail,,Brownsburg,46112,IN,317-852-1977,,,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-23,Cameron Woods,701 W. Harcourt Road,,Angola,46703,IN,800-942-9583,,http://www.cameronwoods.net/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-24,Country Charm Village,7212 US Highway 31,,South Indianapolis,46227,IN,317-889-9822,jcaudill@capitalseniorliving.net,http://www.capitalsenior.com/countrycharmvillage/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-25,Country Charm,3177 Meridian Parke Dr,,Greenwood,46142,IN,317-882-5455,dthomspon@capitalseniorliving.net,,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-26,Crestwood Village East Assisted Living,1123 N Edmondson Ave,,Indianapolis,46219,IN,317-356-4173,leasingcwe@justus.net,http://www.crestwood-living.com/east.html,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-27,Crestwood Village South Assisted Living,8809 Madison Avenue,,Indianapolis,46227,IN,317-888-7973,leasingcws@justus.net,http://www.crestwood-living.com/south.html,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-28,Crestwood Village West Assisted Living,230 Welcome Way Boulevard,,Indianapolis,46214,IN,317-356-4173,leasingcwe@justus.net,http://www.crestwood-living.com/west.html,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-29,Forest Creek Commons,6510  U.S. 31 S,,Indianapolis,46227,IN,317-783-4663,jschwartz@5ssl.com,www.forestcreekcommons.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-30,Harbour Assisted Living,3110 East Coliseum Boulevard,,Fort Wayne,46805,IN,(260) 471-3110,sberghoff@seniorlifestyle.com,http://www.seniorlifestyle.com/property/harbour-assisted-living-of-fort-wayne/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-31,Heritage Point Mishawaka,1215 Trinity Place,,Mishawaka,46545,IN,574-247-7400,amee.bertke@jeacorp.com,jeaseniorliving.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-32,Lincolnshire Place,11911 Diebold Road,,Fort Wayne,46845,IN,260-471-1620,abuckland@lincolnshiremcr.com,www.lincolnshireplace.us,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-33,Magnolia Springs SouthPointe,4926 Sir Barton Way,,Indianapolis,46237,IN,317-886-2731,,http://southpointe.magnolia-springs.net/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-34,Meadow Brook Senior Living,11011 Village Square Lane,,Fishers,46038,IN,317-842-4215,edomingo@spectrumretirement.com,www.meadowbrookseniorliving.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-35,MorningSide of College Park,8810 Colby Blvd.,,Indianapolis,46268,IN,317-872-4567,,http://morningsideofcollegepark.com/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-36,North Woods Village Memory Care,1409 E. Day Road,,Mishawaka,46545,IN,(574) 247-1866,cmueller@nwvmemory.com,www.northwoodsmemorycare.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-37,Park Square Manor,6990 E County Road 100 North,,Avon,46123,IN,317-272-7300,lhorn@5ssl.com,www. parksquareseniorliving.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-38,Primrose Retirement Community – Kokomo,329 W. Rainbow Drive,,Kokomo,46902,IN,765-455-1700,kokomo@primroseretirement.com,http://www.primroseretirement.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-39,Primrose Retirement Community – Anderson,1118 W. Cross Street,,Anderson,46011,IN,(765) 643-5000,cstevens@primroseretirement.com,primroseretirement.com/anderson-indiana-senior-care-communities/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-40,Primrose Retirement Community – Mishawaka,820 Fulmer Road,,Mishawaka,46545,IN,574-259-3211,jhoese@primroseretirement.com,www.primroseretirement.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-41,Residences at Deer Creek,401 East U.S.,30,Schererville,46375,IN,219-864-0700,mhuffman@residencesatdeercreek.com,www.residencesatdeercreek.com,US,Assisted Living
