row_id,Facility Name,Address1,Address2,City,Zip,State,Administrator,Phone,Fax,License Number,License Exp.,Country,facility_type
USA-IN-84-IN-ResidentialCare-output-1,1717 SENIOR LIVING LLC,1703 W 86TH STREET,,INDIANAPOLIS,46260,IN,SHELLY MCFALL,(317)826-2916,,17-013880-1,10/31/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-2,ADDISON PLACE,2244 Q AVE,,NEW CASTLE,47362,IN,STACI KEEN,(765)521-3220,(765)521-3260,17-004426-1,6/30/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-3,ALLISONVILLE MEADOWS ASSISTED LIVING,10410 ALLISONVILLE ROAD,,FISHERS,46038,IN,CARRIE HAMILTON,(317)436-6400,(317)436-6401,17-013039-1,1/31/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-4,"APERION ESTATES PERU, LLC",1200 KITTYHAWK DRIVE,,PERU,46970,IN,ALICIA BAUER,(765)689-7305,(765)689-7333,16-013327-1,8/31/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-5,ASSISTED LIVING AT HARTSFIELD VILLAGE,10002 COLUMBIA AVE,,MUNSTER,46321,IN,LESLIE RILEY,(219)934-0580,(219)934-2045,17-010937-1,3/31/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-6,ASSISTED LIVING AT ROMWEBER FLATS,123 SOUTH DEPOT STREET,,BATESVILLE,47006,IN,DENNIS PINKERTON,(812)932-3528,(812)932-3529,17-013321-1,12/31/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-7,ASTER PLACE,741 PARK EAST BLVD,,LAFAYETTE,47905,IN,VICKIE HOLCOMB,(765)446-3540,(765)446-9500,16-013045-1,11/30/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-8,AUTUMN GLEN,98 NORTH 10TH STREET,,GREENCASTLE,46135,IN,"WILLIAM ORIS ""TREI"" BARNETT",(765)653-6999,(765)653-1689,16-013322-1,10/31/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-9,AUTUMN HILLS ALZHEIMER'S SPECIAL CARE CENTER,3203 MOORES PIKE ROAD,,BLOOMINGTON,47401,IN,LAUREN HAYDEN,(812)335-4655,,16-012706-1,11/30/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-10,AZALEA HILLS,3700 LAFAYETTE PKWY,,FLOYDS KNOBS,47119,IN,CASSANDRA MCCOUN,(812)923-4888,(812)923-4889,16-012161-1,11/30/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-11,BELL OAKS PLACE,4200 WYNTREE DR,,NEWBURGH,47630,IN,LAURA BARNETT,(812)858-0488,(812)858-3762,17-004903-1,6/30/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-12,BELVEDERE SENIOR HOUSING,343 E 90TH DRIVE,,MERRILLVILLE,46410,IN,SUSAN L TIPTON HUTTEL,(219)769-2145,(219)769-2726,17-014178-1,11/30/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-13,BENNETT PLACE,3928 HORNE AVE,,NEW ALBANY,47150,IN,RICHARD PEDERSEN,(812)948-1960,(812)949-7857,17-004442-1,6/30/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-14,BETHANY VILLAGE ASSISTED LIVING,3530 S SHELBY ST,,INDIANAPOLIS,46227,IN,DANA HUFFMAN,(317)784-3066,(317)781-3037,17-001121-1,7/31/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-15,BICKFORD OF CARMEL,5829  EAST 116TH STREET,,CARMEL,46033,IN,JACKIE ADAMS,(317)807-1500,(317)819-0294,17-013217-1,5/31/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-16,BICKFORD OF CROWN POINT,140 E 107TH AVENUE,,CROWN POINT,46307,IN,,(219)663-0972,(219)663-6825,17-012940-1,4/30/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-17,BICKFORD OF GREENWOOD,3021 STELLA DRIVE,,GREENWOOD,46143,IN,KRISTINA BLUMENSTOCK,(317)807-3077,(913)782-4851,17-012938-1,2/28/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-18,BLISS PLACE,3008 SHAWNEE DR S,,BEDFORD,47421,IN,DOROTHY MOSIER,(812)275-2468,(812)275-2491,17-004011-1,6/30/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-19,BLOOM AT EAGLE CREEK,5045 W 52ND ST,,INDIANAPOLIS,46254,IN,ROBERT THAYER,(317)293-2929,(317)293-1806,17-003915-1,7/31/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-20,BLOOM AT GERMAN CHURCH,2250 HARVEST MOON DR,,INDIANAPOLIS,46229,IN,JAMES KESLER,(317)891-1508,(317)894-2074,17-003916-1,7/31/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-21,BRECKENRIDGE COMMONS,2009 NORTH HOSPITAL BLVD,,SULLIVAN,47882,IN,ERIN LINN CRAIG,(812)268-2000,(317)818-1430,17-013401-1,8/31/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-22,BRENTWOOD AT HOBART,1420 ST MARY CIR,,HOBART,46342,IN,AMANDA QUESENBERRY,(219)945-1968,(219)945-1219,17-002627-1,4/30/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-23,BRENTWOOD AT LAPORTE,2002 ANDREW AVE,,LA PORTE,46350,IN,KAITLYNN DUGAN,(219)325-1599,(219)362-1682,17-010890-1,4/30/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-24,BRIDGE AT GARDEN PLAZA,8614 W 10TH  ST,,INDIANAPOLIS,46234,IN,STEPHANIE TUMMINELLO,(317)271-1020,(317)273-1448,17-005616-1,8/31/2018,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-25,BROOKDALE BLOOMINGTON,3802 SARE RD,,BLOOMINGTON,47401,IN,,(812)330-0885,(812)330-1827,16-011076-1,10/31/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-26,BROOKDALE CARMEL,301 EXECUTIVE DR,,CARMEL,46032,IN,ASHLEY WOODCOX,(317)580-0389,(317)843-9790,16-010416-1,10/31/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-27,BROOKDALE CASTLETON,8480 CRAIG ST,,INDIANAPOLIS,46250,IN,ANGELA MARTINEZ,(317)842-6564,(317)842-8742,16-009894-1,9/30/2017,US,Residential Care
USA-IN-84-IN-ResidentialCare-output-28,BROOKDALE EVANSVILLE,6521 GREENDALE DR,,EVANSVILLE,47711,IN,DIADREE JOLLY,(812)867-7900,(812)867-1272,17-010681-1,7/31/2018,US,Residential Care
