row_id,Facility Name,Address1,Address2,City,Zip,State,Administrator,Phone,Fax,License Number,License Exp.,Country,facility_type
USA-IN-86-IN-ResidentialCare(NF)-output-1,ALTENHEIM HEALTH & LIVING COMMUNITY,3525 E HANNA AVE,,INDIANAPOLIS,46237,IN,OMAR JOHNSON,(317)788-4261,(317)781-4512,16-000103-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-2,AMBER MANOR CARE CENTER,801 E ILLINOIS ST,,PETERSBURG,47567,IN,CINDI LENTS,(812)354-3001,(812)354-3008,16-000252-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-3,AMERICAN VILLAGE,2026 E 54TH ST,,INDIANAPOLIS,46220,IN,JENNIFER VOSS,(317)253-6950,(317)254-6681,17-000189-1,3/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-4,APERION CARE DEMOTTE,10352 N 600 E  COUNTY LINE RD,,DEMOTTE,46310,IN,ROSA NAVARRO,(219)345-5211,(219)345-4949,17-000471-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-5,ARBOR TRACE HEALTH & LIVING COMMUNITY,3701 HODGIN RD,,RICHMOND,47374,IN,ANDREW BUZZARD,(765)939-3701,(765)965-3895,16-000455-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-6,ARLINGTON PLACE HEALTH CAMPUS,1635 N ARLINGTON AVE,,INDIANAPOLIS,46218,IN,NICOLE FIELDS,(317)353-6000,(317)353-6002,17-013005-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-7,ASBURY TOWERS HEALTH CARE CENTER,102 W POPLAR ST,,GREENCASTLE,46135,IN,ANTHONY MUNDELL,(765)653-5148,(765)653-5587,17-001120-1,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-8,ASHFORD PLACE HEALTH CAMPUS,2200 N RILEY HWY,,SHELBYVILLE,46176,IN,SHAUN STEELE,(317)398-8422,(317)398-8425,17-004268-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-9,ASPEN PLACE HEALTH CAMPUS,2320 N  MONTGOMERY ROAD,,GREENSBURG,47240,IN,KATRINA KECK,(812)527-2222,(812)527-2074,16-012854-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-10,ASPEN TRACE HEALTH & LIVING COMMUNITY,3154 SOUTH STATE ROAD 135,,GREENWOOD,46143,IN,MARK EMERSON,(317)535-3344,(317)736-3589,17-013185-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-11,AVALON SPRINGS HEALTH CAMPUS,2400 SILHAVY ROAD,,VALPARAISO,46383,IN,CRYSTAL WRAY,(219)462-1778,(219)462-1779,16-012766-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-12,AVON HEALTH & REHABILITATION CENTER,4171 FOREST POINTE CIRCLE,,AVON,46123,IN,COLLEEN MATTHEWS,(317)745-5184,(317)745-7537,16-000141-1,7/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-13,"BARRINGTON OF CARMEL, THE",1335 S GUILFORD ROAD,,CARMEL,46032,IN,ANDREW MUSSER,(317)706-6760,(317)706-6761,17-013212-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-14,BEECH GROVE MEADOWS,2002 ALBANY ST,,BEECH GROVE,46107,IN,JOHN P SEIB,(317)783-2911,(317)781-3774,17-000029-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-15,BETHANY POINTE HEALTH CAMPUS,1707 BETHANY RD,,ANDERSON,46012,IN,KYLE LINN,(765)622-1211,(765)622-1214,16-011045-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-16,BLAIR RIDGE HEALTH CAMPUS,269 MEADOWVIEW DR,,PERU,46970,IN,MICHAEL WRAY,(765)472-8049,(765)475-8895,17-012565-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-17,BRIDGEPOINTE HEALTH CAMPUS,1900 COLLEGE AVE,,VINCENNES,47591,IN,BRIANA CRUTCHFIELD,(812)886-9870,(812)886-9871,17-003237-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-18,BROOKSIDE VILLAGE INC,1111 CHURCH AVE,,JASPER,47546,IN,WENDY RENEE BROUGHTON,(812)634-7750,(812)634-7751,17-003240-1,5/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-19,BYRON HEALTH CENTER,12101 LIMA RD,,FORT WAYNE,46818,IN,SARAH STARCHER,(260)637-3166,(260)637-6150,17-000255-1,5/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-20,CEDAR CREEK HEALTH CAMPUS,18275 BURR STREET,,LOWELL,46356,IN,JUDY PLANTINGA,(219)696-6750,(219)696-6810,16-013144-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-21,CEDARS THE,14409 SUNRISE CT,,LEO,46765,IN,CHAD FORTH,(260)627-2191,(260)627-2881,17-001215-1,5/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-22,CHRISTIAN CARE RETIREMENT COMMUNITY,720 E DUSTMAN RD,,BLUFFTON,46714,IN,KAREN MARZEC,(260)565-3000,(260)565-3009,17-000576-1,6/30/2018,US,Nursing Home
