name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Alma Manor,,,,,,785-765-3589,,,,,,,,,,,,785-765-3318,,,www.midwest-health.com/alma-manor,,,,,,,,,,,,,Nursing Facility; RHCF,,,,,234 Manor Circle,,,Alma,,,KS,,66401-0127,US,39.020009,-96.287138,
Progressive Care Home Plus LLC,,,,,,785-984-2293,,,,,,,,,,,,785-984-2290,,,,,,,,,,,,,,,,Home Plus,,,,,513 Mill St,,,Alton,,,KS,,67623,US,39.4684321,-98.9480164,
Andover Court Assisted Living,,,,,,316-733-6754,,,,,,,,,,,,316-733-2662,,,www.andovercourtretirement.com,,,,,,,,,,,,,Assisted Living,,,,,721 W 21st St N,,,Andover,,,KS,,67002-8491,US,37.72309509999999,-97.1415798,
Life Care Center of Andover,,,,,,316-733-0919,,,,,,,,,,,,316-733-1349,,,lifecarecenterofandover.com,,,,,,,,,,,,,Nursing Facility,,,,,621 W 21st St, PO Box 100,,Andover,,,KS,,67002-0100,US,37.72249559999999,-97.1413791,
Medicalodges Arkansas City,,,,,,620-442-0126,,,,,,,,,,,,620-442-9300,,,www.medicalodgesarkansascity.com,,,,,,,,,,,,,Nursing Facility,,,,,203 E Osage Ave,,,Arkansas City,,,KS,,67005-1255,US,37.080946,-97.03684799999999,
Arma Health & Rehabilitation,,,,,,620-347-4018,,,,,,,,,,,,620-347-4103,,,armahealthandrehab.com,,,,,,,,,,,,,Nursing Facility,,,,,605 E Melvin PO Box 789,,,Arma,,,KS,,66712-0789,US,37.54232650000001,-94.6969743,
Gran Villas Atchison,,,,,,913-367-1755,,,,,,,,,,,,913-367-2077,,,www.granvillasatchison.com,,,,,,,,,,,,,Assisted Living,,,,,1635 Riley St,,,Atchison,,,KS,,66002-1514,US,39.56916470000001,-95.1354041,
Medicalodges Atchison,,,,,,913-367-4327,,,,,,,,,,,,913-367-6066,,,www.medicalodgesatchison.com,,,,,,,,,,,,,Nursing Facility,,,,,1637 Riley St,,,Atchison,,,KS,,66002-1514,US,39.5691642,-95.1354064,
The Homestead of Auburn,,,,,,785-256-7902,,,,,,,,,,,,785-256-7100,,,www.midwest-health.com/auburn,,,,,,,,,,,,,Assisted Living,,,,,280 E Valley Springs Dr,,,Auburn,,,KS,,66402,US,38.911797,-95.813819,
Homestead of Augusta,,,,,,316-775-6309,,,,,,,,,,,,316-775-1000,,,www.midwest-health.com/augusta,,,,,,,,,,,,,Assisted Living; RHCF,,,,,1611 Fairway Drive,,,Augusta,,,KS,,67010,US,37.6923323,-96.9699655,
"LakePoint Augusta, LLC",,,,,,316-775-6330,,,,,,,,,,,,316-775-6333,,,www.omegasrliving.com,,,,,,,,,,,,,Assisted Living; Nursing Facility,,,,,901 LakePoint Dr,,,Augusta,,,KS,,67010,US,37.7029097,-96.96746549999999,
Baldwin Healthcare & Rehab Center,,,,,,785-594-2854,,,,,,,,,,,,785-594-6492,,,,,,,,,,,,,,,,Nursing Facility,,,,,1223 Orchard Ln,,,Baldwin City,,,KS,,66006-9804,US,38.7745749,-95.1971152,
"ComfortCare Homes of Baldwin City, LLC",,,,,,785-594-3924,,,,,,,,,,,,785-594-2603,,,www.comfortcareks.com,,,,,,,,,,,,,Home Plus,,,,,232 Elm St,,,Baldwin City,,,KS,,66006,US,38.77803519999999,-95.18080929999999,
Vintage Park at Baldwin City LLC,,,,,,785-594-2280,,,,,,,,,,,,785-594-4255,,,www.gracemanagement.com,,,,,,,,,,,,,Assisted Living,,,,,321 Crimson Ave,,,Baldwin City,,,KS,,66006-4011,US,38.7855852,-95.1879969,
