row_id,﻿Facility Name,Facility Type(s),Address1,Address2,City,Zip,State,Phone,Fax,Website,Country
USA-KS-89-KS-AssistedLiving-output-1,Alma Manor,Nursing Facility; RHCF,234 Manor Circle,,Alma,66401-0127,KS,785-765-3318,785-765-3589,www.midwest-health.com/alma-manor,US
USA-KS-89-KS-AssistedLiving-output-2,Progressive Care Home Plus LLC,Home Plus,513 Mill St,,Alton,67623,KS,785-984-2290,785-984-2293,,US
USA-KS-89-KS-AssistedLiving-output-3,Andover Court Assisted Living,Assisted Living,721 W 21st St N,,Andover,67002-8491,KS,316-733-2662,316-733-6754,www.andovercourtretirement.com,US
USA-KS-89-KS-AssistedLiving-output-4,Life Care Center of Andover,Nursing Facility,621 W 21st St, PO Box 100,Andover,67002-0100,KS,316-733-1349,316-733-0919,lifecarecenterofandover.com,US
USA-KS-89-KS-AssistedLiving-output-5,Medicalodges Arkansas City,Nursing Facility,203 E Osage Ave,,Arkansas City,67005-1255,KS,620-442-9300,620-442-0126,www.medicalodgesarkansascity.com,US
USA-KS-89-KS-AssistedLiving-output-6,Arma Health & Rehabilitation,Nursing Facility,605 E Melvin PO Box 789,,Arma,66712-0789,KS,620-347-4103,620-347-4018,armahealthandrehab.com,US
USA-KS-89-KS-AssistedLiving-output-7,Gran Villas Atchison,Assisted Living,1635 Riley St,,Atchison,66002-1514,KS,913-367-2077,913-367-1755,www.granvillasatchison.com,US
USA-KS-89-KS-AssistedLiving-output-8,Medicalodges Atchison,Nursing Facility,1637 Riley St,,Atchison,66002-1514,KS,913-367-6066,913-367-4327,www.medicalodgesatchison.com,US
USA-KS-89-KS-AssistedLiving-output-9,The Homestead of Auburn,Assisted Living,280 E Valley Springs Dr,,Auburn,66402,KS,785-256-7100,785-256-7902,www.midwest-health.com/auburn,US
USA-KS-89-KS-AssistedLiving-output-10,Homestead of Augusta,Assisted Living; RHCF,1611 Fairway Drive,,Augusta,67010,KS,316-775-1000,316-775-6309,www.midwest-health.com/augusta,US
USA-KS-89-KS-AssistedLiving-output-11,"LakePoint Augusta, LLC",Assisted Living; Nursing Facility,901 LakePoint Dr,,Augusta,67010,KS,316-775-6333,316-775-6330,www.omegasrliving.com,US
USA-KS-89-KS-AssistedLiving-output-12,Baldwin Healthcare & Rehab Center,Nursing Facility,1223 Orchard Ln,,Baldwin City,66006-9804,KS,785-594-6492,785-594-2854,,US
USA-KS-89-KS-AssistedLiving-output-13,"ComfortCare Homes of Baldwin City, LLC",Home Plus,232 Elm St,,Baldwin City,66006,KS,785-594-2603,785-594-3924,www.comfortcareks.com,US
USA-KS-89-KS-AssistedLiving-output-14,Vintage Park at Baldwin City LLC,Assisted Living,321 Crimson Ave,,Baldwin City,66006-4011,KS,785-594-4255,785-594-2280,www.gracemanagement.com,US
USA-KS-89-KS-AssistedLiving-output-15,Country Place Senior Living of Basehor,Assisted Living,15707 Pinehurst Dr,,Basehor,66007,KS,913-662-7330,913-662-7333,countryplaceliving.com/index.php/basehor-ks-title-link,US
USA-KS-89-KS-AssistedLiving-output-16,Quaker Hill Manor,Nursing Facility,8675 SE 72nd Terr,,Baxter Springs,66713-9780,KS,620-848-3797,620-848-3017,www.americareusa.net/skilled_nursing_facility/Baxter_Springs_KS/zip_66713/americare/1354,US
USA-KS-89-KS-AssistedLiving-output-17,Belleville Health Care Center,Nursing Facility,2626 Wesleyan Dr,,Belleville,66935-2440,KS,785-527-5636,785-527-5419,www.hmghealthcare.com,US
USA-KS-89-KS-AssistedLiving-output-18,Prairie Wind Senior Living,Home Plus,5221 SE 77th St,,Berryton,66409,KS,785-862-1287,,www.prairiewindseniorliving.com,US
USA-KS-89-KS-AssistedLiving-output-19,Cambridge Place DBA Blue Valley Nursing Home,Nursing Facility; RHCF,710 Western Ave,,Blue Rapids,66411,KS,785-363-7777,785-363-7620,www.bluevalleyhealthcare.com,US
