name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Memorial  Hospital LTCU (Village Manor),,,,,,,,,,,,,,,,,,(785) 263-1431,,,,,,,,,,,,,,,,,SNF/NF,,,,705 N Brady St,,,Abilene,,,KS,,67410, USA,38.9221325,-97.20372640000001,
Arkansas City Presbyterian Manor,,,,,,,,,,,,,,,,,,(620) 442-8700,,,,,,,,,,,,,,,,,SNF/NF,,,,1711 N 4th St,,,Arkansas City,,,KS,,67005, USA,37.083515,-97.045514,
Attica Long Term Care,,,,,,,,,,,,,,,,,,(620) 254-7253,,,,,,,,,,,,,,,,,NF,,,,303 N Botkin St,,,Attica,,,KS,,67009, USA,37.24107199999999,-98.229075,
Comfortcare Homes of Baldwin City LLC,,,,,,,,,,,,,,,,,,(785) 594-2603,,,,,,,,,,,,,,,,,HP,,,,232 Elm St,,,Baldwin City,,,KS,,66006, USA,38.77803519999999,-95.18080929999999,
Solomon Valley Village,,,,,,,,,,,,,,,,,,(785) 534-1892,,,,,,,,,,,,,,,,,HP,,,,120 N Campbell Ave,,,Beloit,,,KS,,67420, USA,39.4592674,-98.1073446,
Buhler Sunshine Home,,,,,,,,,,,,,,,,,,(620) 543-2251,,,,,,,,,,,,,,,,,SNF/NF,,,,400 S Buhler Rd,,,Buhler,,,KS,,67522, USA,38.13131490000001,-97.77506430000001,
Life Care Center of Burlington,,,,,,,,,,,,,,,,,,(620) 431-0599,,,,,,,,,,,,,,,,,SNF/NF,,,,601 Cross St,,,Burlington,,,KS,,66839, USA,38.2058519,-95.7423429,
Eastridge,,,,,,,,,,,,,,,,,,(785) 857-3388,,,,,,,,,,,,,,,,,SNF/NF,,,,604 1st St,,,Centralia,,,KS,,66415, USA,39.7241436,-96.1239612,
Country Place Memory Care,,,,,,,,,,,,,,,,,,(620) 431-1822,,,,,,,,,,,,,,,,,HP,,,,705 Osa Martin Blvd,,,Chanute,,,KS,,66720, USA,37.6722743,-95.47745689999999,
Clearwater Village,,,,,,,,,,,,,,,,,,(620) 584-4257,,,,,,,,,,,,,,,,,ALF,,,,440 N 4th St,,,Clearwater,,,KS,,67026, USA,37.510286,-97.494717,
Clearwater Nursing & Rehab Ctr,,,,,,,,,,,,,,,,,,(620) 584-2271,,,,,,,,,,,,,,,,,SNF/NF,,,,620 E Wood St,,,Clearwater,,,KS,,67026, USA,37.5088719,-97.49891889999999,
