row_id,Facility Name,Facility Type,Address1,Address2,City,Zip,State,Country,Phone,Latitude,Longitude
USA-KS-90-KS-All-output-1,Memorial  Hospital LTCU (Village Manor),SNF/NF,705 N Brady St,,Abilene,67410,KS, USA,(785) 263-1431,38.9221325,-97.2037264
USA-KS-90-KS-All-output-2,Arkansas City Presbyterian Manor,SNF/NF,1711 N 4th St,,Arkansas City,67005,KS, USA,(620) 442-8700,37.083515,-97.045514
USA-KS-90-KS-All-output-3,Attica Long Term Care,NF,303 N Botkin St,,Attica,67009,KS, USA,(620) 254-7253,37.241072,-98.229075
USA-KS-90-KS-All-output-4,Comfortcare Homes of Baldwin City LLC,HP,232 Elm St,,Baldwin City,66006,KS, USA,(785) 594-2603,38.7780352,-95.1808093
USA-KS-90-KS-All-output-5,Solomon Valley Village,HP,120 N Campbell Ave,,Beloit,67420,KS, USA,(785) 534-1892,39.4592674,-98.1073446
USA-KS-90-KS-All-output-6,Buhler Sunshine Home,SNF/NF,400 S Buhler Rd,,Buhler,67522,KS, USA,(620) 543-2251,38.1313149,-97.7750643
USA-KS-90-KS-All-output-7,Life Care Center of Burlington,SNF/NF,601 Cross St,,Burlington,66839,KS, USA,(620) 431-0599,38.2058519,-95.7423429
USA-KS-90-KS-All-output-8,Eastridge,SNF/NF,604 1st St,,Centralia,66415,KS, USA,(785) 857-3388,39.7241436,-96.1239612
USA-KS-90-KS-All-output-9,Country Place Memory Care,HP,705 Osa Martin Blvd,,Chanute,66720,KS, USA,(620) 431-1822,37.6722743,-95.4774569
USA-KS-90-KS-All-output-10,Clearwater Village,ALF,440 N 4th St,,Clearwater,67026,KS, USA,(620) 584-4257,37.510286,-97.494717
USA-KS-90-KS-All-output-11,Clearwater Nursing & Rehab Ctr,SNF/NF,620 E Wood St,,Clearwater,67026,KS, USA,(620) 584-2271,37.5088719,-97.4989189
USA-KS-90-KS-All-output-12,Windsor Place LLC,SNF/NF,2921 W 1st St,,Coffeyville,67337,KS, USA,(620) 251-5190,37.0434728,-95.6587568
USA-KS-90-KS-All-output-13,Citizens Medical Center LTCU,LTCU,1625 S Franklin Ave,,Colby,67701,KS, USA,(785) 462-8295,39.3735147,-101.0443589
USA-KS-90-KS-All-output-14,The Autumn Place Memory Care Unit,RHCF,315 S E Ave,,Columbus,66725,KS, USA,(630) 429-1011,37.1678846,-94.8325754
USA-KS-90-KS-All-output-15,Glen Carr House,RHCF,1433 N Hamilton Dr,,Derby,67037,KS, USA,(316) 788-9999,37.5612987,-97.2343792
USA-KS-90-KS-All-output-16,Good Samaritan Society - Dodge City,SNF/NF,501 W Beeson Rd,,Dodge City,67801,KS, USA,(620) 227-7512,37.7359173,-100.0257991
USA-KS-90-KS-All-output-17,Homestead of El Dorado,RHCF,1650 E 12th Ave,,El Dorado,67042,KS, USA,(316) 321-7777,37.832787,-96.830641
USA-KS-90-KS-All-output-18,Morton Co. Senior Living Community,NF,400 Buckmaster Dr,,Elkhart,67950,KS, USA,(620) 697-2728,37.00197,-101.9058475
USA-KS-90-KS-All-output-19,Emporia Presbyterian Manor,SNF/NF,2300 Industrial Rd,,Emporia,66801,KS, USA,(620) 343-2613,38.425769,-96.2139909
USA-KS-90-KS-All-output-20,Eureka Nursing Ctr,SNF/NF,1020 N School St,,Eureka,67045,KS, USA,(620) 583-7418,37.8289915,-96.2914034
