row_id,Facility Name,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Phone,Country
USA-KS-91-KS-All-output-1,ABERDEEN VILLAGE,N046057,Nursing Facility; Assisted Living Facility,17500 W 119TH STREET,OLATHE,JOHNSON,KS,66061,JOHN T ALLIN,913-599-6100,US
USA-KS-91-KS-All-output-2,ABILENE PLACE NORTH,N021007,Assisted Living Facility,1100 N. VINE STREET,ABILENE,DICKINSON,KS,67410-4009,TODD MOORE,785-263-7400,US
USA-KS-91-KS-All-output-3,ABILENE PLACE SOUTH,N021008,Assisted Living Facility,1102 N. VINE STREET,ABILENE,DICKINSON,KS,67410-4015,TODD MOORE,785-263-7800,US
USA-KS-91-KS-All-output-4,ADDINGTON PLACE OF PRAIRIE VILLAGE,N046086,Assisted Living Facility; Residential Health Care Facility,2700 SOMERSET DRIVE,PRAIRIE VILLAGE,JOHNSON,KS,66206,RYAN ENDSLEY,913-648-3333,US
USA-KS-91-KS-All-output-5,ALDERBROOK VILLAGE LLC,N018010,Assisted Living Facility,402 E WINDSOR ROAD,ARKANSAS CITY,COWLEY,KS,67005-3866,STEPHEN DALE MITCHELL,620-442-4400,US
USA-KS-91-KS-All-output-6,ALDERSGATE VILLAGE,N089021,Nursing Facility; Assisted Living Facility,3220 SW ALBRIGHT DRIVE,TOPEKA,SHAWNEE,KS,66614-4707,LEMAPU LEMANUA,785-478-9440,US
USA-KS-91-KS-All-output-7,ANDOVER COURT ASSISTED LIVING,N008010,Assisted Living Facility,721 W. 21ST STREET,ANDOVER,BUTLER,KS,67002-8491,ANGELA CORNELL,316-733-2662,US
USA-KS-91-KS-All-output-8,APOSTOLIC CHRISTIAN HOME,N066001,Nursing Facility; Assisted Living Facility,511 PARAMOUNT,SABETHA,NEMAHA,KS,66534,EDWIN J STRAHM,785-284-3471,US
USA-KS-91-KS-All-output-9,ARKANSAS CITY PRESBYTERIAN MANOR,N018008,Nursing Facility; Assisted Living Facility,1711 N. 4TH STREET,ARKANSAS CITY,COWLEY,KS,67005-1607,SARAH GRIGGS,620-442-8700,US
USA-KS-91-KS-All-output-10,ASBURY PARK,N040002,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,200 SW 14TH STREET,NEWTON,HARVEY,KS,67114,THOMAS WILLIAMS,316-283-4770,US
USA-KS-91-KS-All-output-11,ASSISTED LIVING AT WINDSOR PLACE,N063016,Assisted Living Facility,2904 W 8TH,COFFEYVILLE,MONTGOMERY,KS,67337-,SONIA LARIMORE,620-251-0214,US
USA-KS-91-KS-All-output-12,ASSISTED LIVING AT WINDSOR PLACE LLC,N063015,Assisted Living Facility,106 TYLER,COFFEYVILLE,MONTGOMERY,KS,67337-2441,MONTE COFFMAN,620-251-0214,US
USA-KS-91-KS-All-output-13,ATRIA HEARTHSTONE EAST,N089063,Assisted Living Facility,3415 SW 6TH AVENUE,TOPEKA,SHAWNEE,KS,66606-1900,WILLIAM PETERSON,785-234-6806,US
USA-KS-91-KS-All-output-14,ATRIA HEARTHSTONE WEST,N089030,Assisted Living Facility,3515 SW 6TH AVE,TOPEKA,SHAWNEE,KS,66606-1900,THADDEUS STUDEBAKER,785-234-6225,US
USA-KS-91-KS-All-output-15,AVITA SENIOR LIVING AT DERBY,N087066,Assisted Living Facility,719 N KLEIN CIRCLE,DERBY,SEDGWICK,KS,67037-,ALBERT COCCETELLA,316-260-4447,US
USA-KS-91-KS-All-output-16,AVITA SENIOR LIVING AT ROLLING HILLS,N087067,Assisted Living Facility,629 S MAIZE CT,WICHITA,SEDGWICK,KS,67209-,MARK SCHULTE,316-361-2500,US
USA-KS-91-KS-All-output-17,AVONLEA COTTAGE OF OLATHE,N046035,Assisted Living Facility,625 LINCOLN AVE,OLATHE,JOHNSON,KS,66061-2594,VALERIE CARTER,913-829-6920,US
USA-KS-91-KS-All-output-18,BENTON HOUSE OF LENEXA,N046098,Assisted Living Facility,22000 PRAIRIE STAR PARKWAY,LENEXA,JOHNSON,KS,66220,PETER CRANE,678-297-0388,US
USA-KS-91-KS-All-output-19,BETHANY HOME ASSOCIATION DBA VARDSHUS,N059018,Assisted Living Facility,821 E. SWENSSON DRIVE,LINDSBORG,MCPHERSON,KS,67456,KAREN CARLSON,785-227-8331,US
USA-KS-91-KS-All-output-20,BETHEL HEALTH CARE CENTER,N040001,Nursing Facility; Assisted Living Facility,3001 IVY DRIVE,NORTH NEWTON,HARVEY,KS,67117-8005,LINDA PETERS,316-284-2900,US
USA-KS-91-KS-All-output-21,BETHESDA HOME,N057006,Nursing Facility; Assisted Living Facility,408 E MAIN PO BOX 37,GOESSEL,MARION,KS,67053-37,MELISSA L DINSMORE,620-367-2291,US
USA-KS-91-KS-All-output-22,BICKFORD AT MISSION SPRINGS I,N046042,Assisted Living Facility; Residential Health Care Facility,5300 W 61ST PLACE,MISSION,JOHNSON,KS,66205-,RICHARD TURLEY,913-831-7700,US
USA-KS-91-KS-All-output-23,BICKFORD AT MISSION SPRINGS II,N046044,Assisted Living Facility; Residential Health Care Facility,5350 WEST 61ST PLACE,MISSION,JOHNSON,KS,66205-,MEREDITH BRENNAN,913-831-7700,US
USA-KS-91-KS-All-output-24,BIG BLUE HEALTHCARE INC,N105006,Nursing Facility; Assisted Living Facility,7850 FREEMAN AVENUE,KANSAS CITY,WYANDOTTE,KS,66112-2133,TRACY BOHRER,913-334-3666,US
USA-KS-91-KS-All-output-25,BLACKHAWK ASSISTED LIVING,N046066,Assisted Living Facility,22550 S FRANKLIN,SPRING HILL,MIAMI,KS,66083,TAMERA BENEDICT,913-592-5101,US
USA-KS-91-KS-All-output-26,BRANDON WOODS AT ALVAMAR,N023009,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,1501 INVERNESS DR.,LAWRENCE,DOUGLAS,KS,66047-1825,GLEN DEAN HAGEN,785-838-8000,US
USA-KS-91-KS-All-output-27,BROOKDALE DERBY,N087038,Assisted Living Facility,1709 E WALNUT GROVE,DERBY,SEDGWICK,KS,67037-3528,AUDREY COOK,316-788-6100,US
USA-KS-91-KS-All-output-28,BROOKDALE DODGE CITY,N029007,Assisted Living Facility,2400 N. 14TH AVENUE,DODGE CITY,FORD,KS,67801-2313,LARRY GABEL,620-225-7555,US
USA-KS-91-KS-All-output-29,BROOKDALE GREAT BEND,N005005,Assisted Living Facility,1206 PATTON ROAD,GREAT BEND,BARTON,KS,67530-3118,SARAH SMITH,620-792-7000,US
USA-KS-91-KS-All-output-30,BROOKDALE HAYS,N026008,Assisted Living Facility,1801 E. 27TH STREET,HAYS,ELLIS,KS,67601,LISA LEIKER,785-628-1111,US
USA-KS-91-KS-All-output-31,BROOKDALE HUTCHINSON,N078015,Assisted Living Facility,2416 BRENTWOOD,HUTCHINSON,RENO,KS,67502,BREA TURNER,620-663-9195,US
