name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
AUBURN HEALTH CARE,,,,,,,,,,,,,,,,,,(270) 542-4111,,,,,,,,,,,,,,,,,Long-Term Care,,,,139 PEARL ST.,,,AUBURN,LOGAN,WEB,,,42206,US,36.8649412,-86.7109955,
BAPTIST CONVALESCENT CENTER,,,,,,,,,,,,,,,,,,(859) 581-1938,,,,,,,,,,,,,,,,,Long-Term Care,,,,120 MAIN STREET,,,NEWPORT,CAMPBELL,EEB,,,41071,US,39.0809996,-84.4881429,
BAPTIST HEALTH LA GRANGE,,,,,,,,,,,,,,,,,,(502) 222-5388,,,,,,,,,,,,,,,,,Long-Term Care,,,,1025 NEW MOODY LANE,,,LA GRANGE,OLDHAM,NEB,,,40031,US,38.3949637,-85.3759731,
BAPTIST HEALTH PADUCAH,,,,,,,,,,,,,,,,,,(270) 575-2100,,,,,,,,,,,,,,,,,Long-Term Care,,,,2501 KENTUCKY AVENUE,,,PADUCAH,MCCRACKEN,WEB,,,42003,US,37.074127,-88.6269737,
BAPTIST HEALTH TRANSITIONAL CARE,,,,,,,,,,,,,,,,,,(270) 825-5201,,,,,,,,,,,,,,,,,Long-Term Care,,,,900 HOSPITAL DR.,,,MADISONVILLE,HOPKINS,WEB,,,42431,US,37.3396916,-87.49277649999999,
BARBOURVILLE HEALTH & REHABILITATION CENTER,,,,,,,,,,,,,,,,,,(606) 546-5136,,,,,,,,,,,,,,,,,Long-Term Care,,,,65 MINTON HICKORY FARM ROAD,,,BARBOURVILLE,KNOX,SEB,,,40906,US,36.8458882,-83.87180670000001,
BARKLEY CENTER,,,,,,,,,,,,,,,,,,(270) 444-9661,,,,,,,,,,,,,,,,,Long-Term Care,,,,4747 ALBEN BARKLEY DRIVE,,,PADUCAH,MCCRACKEN,WEB,,,42001,US,37.0572021,-88.65809949999999,
"BEAVER DAM NURSING & REHAB CENTER, INC",,,,,,,,,,,,,,,,,,(270) 274-9646,,,,,,,,,,,,,,,,,Long-Term Care,,,,1595 US HWY 231 S.,,,BEAVER DAM,OHIO,WEB,,,42320,US,37.373565,-86.84917399999999,
BEREA HEALTH CARE CENTER,,,,,,,,,,,,,,,,,,(859) 986-4710,,,,,,,,,,,,,,,,,Long-Term Care,,,,601 RICHMOND ROAD,,,BEREA,MADISON,SEB,,,40403,US,37.5937687,-84.2842148,
BINGHAM GARDENS,,,,,,,,,,,,,,,,,,(502) 449-8668,,,,,,,,,,,,,,,,,Long-Term Care,,,,4401 LOUISE UNDERWOOD WAY,,,LOUISVILLE,JEFFERSON,NEB,,,40216,US,38.1822446,-85.79877499999999,Hazelwood
