row_id,LICENSE #,Facility Name,Facility Type,Address Line 1,City,Zip Code,County,OWNER,Adm First,Adm Last,Telephone,Certified Beds,Licensure Effective,Licensure Expiration,Region,Country
USA-KY-92-KY-NursingHome-long_term_care-1,100295,AUBURN HEALTH CARE,Long-Term Care,139 PEARL ST.,AUBURN,42206,LOGAN,"BOLSTER HEALTH CARE GROUP, LLC",DIANE,MILLER,(270) 542-4111,66,3/1/2017,2/28/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-2,100055,BAPTIST CONVALESCENT CENTER,Long-Term Care,120 MAIN STREET,NEWPORT,41071,CAMPBELL,"BAPTIST CONVALESCENT CENTER, INC.",DONNA,FRODGE,(859) 581-1938,167,2/1/2017,1/31/2018,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-3,100763,BAPTIST HEALTH LA GRANGE,Long-Term Care,1025 NEW MOODY LANE,LA GRANGE,40031,OLDHAM,"BAPTIST HEALTHCARE SYSTEM, INC",STEFANIE,ZOELLER,(502) 222-5388,30,1/1/2017,12/31/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-4,100766,BAPTIST HEALTH PADUCAH,Long-Term Care,2501 KENTUCKY AVENUE,PADUCAH,42003,MCCRACKEN,"BAPTIST HEALTHCARE SYSTEMS, INC.",POLLY,BECHTOLD,(270) 575-2100,24,1/1/2017,12/31/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-5,100728,BAPTIST HEALTH TRANSITIONAL CARE,Long-Term Care,900 HOSPITAL DR.,MADISONVILLE,42431,HOPKINS,"BAPTIST HEALTH MADISONVILLE, INC",ROBERT,RAMEY,(270) 825-5201,20,8/1/2017,7/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-6,100275,BARBOURVILLE HEALTH & REHABILITATION CENTER,Long-Term Care,65 MINTON HICKORY FARM ROAD,BARBOURVILLE,40906,KNOX,"BARBOURVILLE NH, INC.",JANNA,Shelley,(606) 546-5136,135,7/1/2017,6/30/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-7,100309,BARKLEY CENTER,Long-Term Care,4747 ALBEN BARKLEY DRIVE,PADUCAH,42001,MCCRACKEN,HBR PADUCAH LLC,ASHLEY,ADKINS,(270) 444-9661,86,7/1/2017,6/30/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-8,100353,"BEAVER DAM NURSING & REHAB CENTER, INC",Long-Term Care,1595 US HWY 231 S.,BEAVER DAM,42320,OHIO,"BEAVER DAM NURSING & REHAB CENTER, INC",LAURA,COLE,(270) 274-9646,58,6/1/2017,5/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-9,100319,BEREA HEALTH CARE CENTER,Long-Term Care,601 RICHMOND ROAD,BEREA,40403,MADISON,"BEREA HEALTH CARE, INC.",VICKI,SHORT,(859) 986-4710,84,1/1/2017,12/31/2017,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-10,100198,BINGHAM GARDENS,Long-Term Care,4401 LOUISE UNDERWOOD WAY,LOUISVILLE,40216,JEFFERSON,COMMONWEALTH OF KENTUCKY,KAREN,HENDERSON,(502) 449-8668,24,9/1/2016,Renewal Pending,NEB,US
