name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
ARTRIPS PERSONAL CARE HOME,,,,,,,,,,,,,,,,,,(606) 325-3244,,,,,,,,,,,,,,,,,Personal Care Home,,,,3000 CENTRAL AVENUE,,,ASHLAND,BOYD,,,,41101,US,38.46710909999999,-82.62490319999999,
AUTUMN RIDGE PERSONAL CARE,,,,,,,,,,,,,,,,,,(270) 345-2116,,,,,,,,,,,,,,,,,Personal Care Home,,,,4880 STATE ROUTE 121 SOUTH,,,MAYFIELD,GRAVES,,,,42066,US,36.6974113,-88.57565900000002,
BARTON HOUSE OF LOUISVILLE #1,,,,,,,,,,,,,,,,,,(502) 423-7177,,,,,,,,,,,,,,,,,Personal Care Home,,,,6830 OVERLOOK DR,,,LOUISVILLE,JEFFERSON,,,,40241,US,38.295687,-85.6254546,
BELMONT VILLAGE,,,,,,,,,,,,,,,,,,(502) 721-7500,,,,,,,,,,,,,,,,,Personal Care Home,,,,4600 BOWLING BOULEVARD,,,LOUISVILLE,JEFFERSON,,,,40207,US,38.2414226,-85.6284672,
"BETTER SENIOR LIVING, LLC",,,,,,,,,,,,,,,,,,(270) 522-3711,,,,,,,,,,,,,,,,,Personal Care Home,,,,66 SHELBY STREET,,,CADIZ,TRIGG,,,,42211,US,36.8572348,-87.82206269999999,
"BISHOP SOENNEKER HOME, INC",,,,,,,,,,,,,,,,,,(270) 281-4881,,,,,,,,,,,,,,,,,Personal Care Home,,,,9545 KY 144,,,PHILPOT,DAVIESS,,,,42366,US,37.77303999999999,-86.903567,
BRIDGEPOINTE AT ASHGROVE WOODS,,,,,,,,,,,,,,,,,,(502) 254-4200,,,,,,,,,,,,,,,,,Personal Care Home,,,,5220 GREY OAK LANE,,,NICHOLASVILLE,JESSAMINE,,,,40356,US,37.9499894,-84.5215233,
BROOKDALE BLANKENBAKER,,,,,,,,,,,,,,,,,,(502) 244-4244,,,,,,,,,,,,,,,,,Personal Care Home,,,,901 BLANKENBAKER ROAD,,,MIDDLETOWN,JEFFERSON,,,,40243,US,38.2286216,-85.54025109999999,
BROOKDALE EDGEWOOD,,,,,,,,,,,,,,,,,,(859) 426-1888,,,,,,,,,,,,,,,,,Personal Care Home,,,,2950 TURKEYFOOT ROAD,,,EDGEWOOD,KENTON,,,,41017,US,39.01733060000001,-84.5768639,
BROOKDALE RICHMOND PLACE,,,,,,,,,,,,,,,,,,(859) 263-2410,,,,,,,,,,,,,,,,,Personal Care Home,,,,3195 RIO DOSA DRIVE,,,LEXINGTON,FAYETTE,,,,40509,US,38.0054416,-84.4403944,
