row_id,LICENSE #,NAME,Facility Type,ADDRESS,CITY,ZIP,COUNTY,OWNER,ADM FIRST,ADM LAST,TELEPHONE,BEDS,LICENSE EXPIRATION,Country
USA-KY-92-KY-NursingHome-personal_care_home-1,100030,ARTRIPS PERSONAL CARE HOME,Personal Care Home,3000 CENTRAL AVENUE,ASHLAND,41101,BOYD,"ARTRIP HEALTH CARE, INC.",MAGGIE,ARTRIP,(606) 325-3244,22,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-2,100145,AUTUMN RIDGE PERSONAL CARE,Personal Care Home,4880 STATE ROUTE 121 SOUTH,MAYFIELD,42066,GRAVES,"AUTUMN RIDGE PERSONAL CARE HOME, LLC",TINA,PAGE-PAINTER,(270) 345-2116,24,4/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-3,100932,BARTON HOUSE OF LOUISVILLE #1,Personal Care Home,6830 OVERLOOK DR,LOUISVILLE,40241,JEFFERSON,"ST. MATTHEWS SENIOR LIVING, LLC",AMY,CLARK,(502) 423-7177,20,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-4,100891,BELMONT VILLAGE,Personal Care Home,4600 BOWLING BOULEVARD,LOUISVILLE,40207,JEFFERSON,BELMONT VILLAGE LIMITED PARTNERSHIP,THEODORE,BURFICT,(502) 721-7500,128,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-5,100398,"BETTER SENIOR LIVING, LLC",Personal Care Home,66 SHELBY STREET,CADIZ,42211,TRIGG,"BETTER SENIOR LIVING, LLC",ANTOINETTE,LLANES,(270) 522-3711,68,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-6,100087,"BISHOP SOENNEKER HOME, INC",Personal Care Home,9545 KY 144,PHILPOT,42366,DAVIESS,"BISHOP SOENNEKER HOME, INC.",PAULA,HAZEL,(270) 281-4881,66,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-7,101175,BRIDGEPOINTE AT ASHGROVE WOODS,Personal Care Home,5220 GREY OAK LANE,NICHOLASVILLE,40356,JESSAMINE,"CHRISTIAN CARE SERVICES, INC.",POLLY,WEST,(502) 254-4200,78,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-8,100947,BROOKDALE BLANKENBAKER,Personal Care Home,901 BLANKENBAKER ROAD,MIDDLETOWN,40243,JEFFERSON,"HBP LEASECO, LLC",CAMILLE,BEESON,(502) 244-4244,99,6/30/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-9,100903,BROOKDALE EDGEWOOD,Personal Care Home,2950 TURKEYFOOT ROAD,EDGEWOOD,41017,KENTON,"S-H OPCO EDGEWOOD, LLC",JEANNETTE,BREDESTEGE,(859) 426-1888,113,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-10,100553,BROOKDALE RICHMOND PLACE,Personal Care Home,3195 RIO DOSA DRIVE,LEXINGTON,40509,FAYETTE,"ARC RICHMOND PLACE, INC.",ANN,PHILLIPS,(859) 263-2410,81,3/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-11,101104,BROOKDALE STONESTREET,Personal Care Home,9251 STONESTREET ROAD,LOUISVILLE,40272,JEFFERSON,EMERITUS CORPORATION,CLIFTON,LAKE,(502) 935-5884,20,7/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-12,100687,CANEY CREEK REHABILITATION COMPLEX,Personal Care Home,6870 HIGHWAY 899,PIPPA PASSES,41844,KNOTT,COMMONWEALTH OF KENTUCKY/CHFS,SONYA,MELTON,(606) 368-2802,40,5/31/2018,US
USA-KY-92-KY-NursingHome-personal_care_home-13,100432,CARROLLTON MANOR,Personal Care Home,205 FIFTH STREET,CARROLLTON,41008,CARROLL,"CARROLLTON MANOR, INC.",MELISSA,TUCKER,(502) 732-5528,32,12/31/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-14,101181,"CENTRAL KENTUCKY RECOVERY CENTER, UNIT 1",Personal Care Home,1358 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,CABINET FOR HEALTH AND FAMILY SERVICES,JENNIFER,SMITH,(859) 246-8620,16,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-15,101182,"CENTRAL KY RECOVERY CENTER, UNIT 2",Personal Care Home,1366 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,CABINET FOR HEALTH AND FAMILY SERVICES,JENNIFER,SMITH,(859) 246-8600,16,9/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-16,100064,"CHRISTIAN COUNTY MANOR, LLC",Personal Care Home,2820 RICHARD STREET,HOPKINSVILLE,42240,CHRISTIAN,"CHRISTIAN COUNTY MANOR, LLC",KIMBERLY,TAYLOR,(270) 886-9900,78,11/30/2017,US
USA-KY-92-KY-NursingHome-personal_care_home-17,101273,CLARITY POINTE LOUISVILLE,Personal Care Home,13700 ENGLISH VILLA DRIVE,LOUISVILLE,40245,JEFFERSON,"BCDC BP LOU, LLC",KATHY,WIEDERHOLD,(865) 742-9234,60,5/31/2018,US
