row_id,Facility Name,Facility Type,Address1,Address2,City,Zip,State,Phone,Space,Country
USA-KY-93-KY-AssistedLiving-output-1,"Hometown Manor of Lawrenceburg, LLC",Assisted Living,101 Hawkins St.,,Lawrenceburg,40342,KY,(502) 229-5914,12 Units,US
USA-KY-93-KY-AssistedLiving-output-2,New Haven Assisted Living-Kevil,Assisted Living,859 Veterans Ave.,,Kevil,42053,KY,(270) 462-2400,16 Units,US
USA-KY-93-KY-AssistedLiving-output-3,Highland Ridge Assisted Living,Assisted Living,180 Scottie Drive,,Glasgow,42141,KY,(270) 659-2548,56 Units,US
USA-KY-93-KY-AssistedLiving-output-4,Hometown Manor of Glasgow,Assisted Living,201 Trista Lane,,Glasgow,42141,KY,(859) 229-5914,12 Units,US
USA-KY-93-KY-AssistedLiving-output-5,Owingsville Manor ALC,Assisted Living,201 Williams Lane,,Owingsville,40360,KY,(606) 674-2200,38 Units,US
USA-KY-93-KY-AssistedLiving-output-6,Elmcroft of Florence,Assisted Living,212 Main St.,,Florence,41042,KY,(859) 795-0302,100 Units,US
USA-KY-93-KY-AssistedLiving-output-7,Magnolia Springs Florence Senior Living,Assisted Living,7665 Ewing Blvd.,,Florence,41042,KY,(859) 282-1328,111 Units,US
USA-KY-93-KY-AssistedLiving-output-8,Charleston Assisted Living,Assisted Living,203 Bruce Court,,Danville,40422,KY,(859) 236-8906,16 Units,US
USA-KY-93-KY-AssistedLiving-output-9,McDowell Place Of Danville,Assisted Living,1181 Ben Ali Drive,,Danville,40422,KY,(859) 239-4663,84 Units,US
USA-KY-93-KY-AssistedLiving-output-10,"Parkview Manor Assisted Living Community, LLC",Assisted Living,1004 Argyll Woods Drive,,Danville,40422,KY,(859) 236-1557,12 Units,US
USA-KY-93-KY-AssistedLiving-output-11,Elmcroft of Mount Washington,Assisted Living,520 Woodlake Drive,,Mount Washington,40047,KY,(502) 753-6004,68 Units,US
USA-KY-93-KY-AssistedLiving-output-12,New Haven Assisted Living of Princeton,Assisted Living,803 Maple St.,,Princeton,42445,KY,(270) 365-0092,12 Units,US
USA-KY-93-KY-AssistedLiving-output-13,Brookdale Murray,Assisted Living,905 Glendale Road,,Murray,42701,KY,(270) 759-1555,83 Units,US
USA-KY-93-KY-AssistedLiving-output-14,Hickory Woods Retirement Center,Assisted Living,84 Utterback Road,,Murray,42701,KY,(270) 759-8700,44 Units,US
USA-KY-93-KY-AssistedLiving-output-15,Barrington at Fort Thomas,Assisted Living,940 Highland Ave.,,Fort Thomas,41075,KY,(859) 572-0667,108 Units,US
USA-KY-93-KY-AssistedLiving-output-16,Fairview Place,Assisted Living,433 Floyd Drive,,Carrollton,41008,KY,(502) 732-7677,42 Units,US
USA-KY-93-KY-AssistedLiving-output-17,"River Reed Assisted Living Community, LLC",Assisted Living,601 Hawkins St.,,Carrollton,41008,KY,(502) 732-0129,11 Units,US
USA-KY-93-KY-AssistedLiving-output-18,Carriage Hall Assisted Living,Assisted Living,313 Cool Water Court,,Hopkinsville,42240,KY,(270) 707-3400,16 Units,US
USA-KY-93-KY-AssistedLiving-output-19,Morningside Assisted Living of Hopkinsville,Assisted Living,4190 Lafayette Road,,Hopkinsville,42240,KY,(270) 885-0220,42 Units,US
USA-KY-93-KY-AssistedLiving-output-20,Rose Mary C. Brooks Place,Assisted Living,200 Rose Mary Drive,,Winchester,40391,KY,(859) 745-4904,44 Units,US
USA-KY-93-KY-AssistedLiving-output-21,New Haven Assisted Living-Marion,Assisted Living,60 Nichols Drive,,Marion,42064,KY,(270) 965-4092,11 Units,US
USA-KY-93-KY-AssistedLiving-output-22,Fern Terra of Owensboro,Assisted Living,1415 West First St.,,Owensboro,42301,KY,(270) 926-2345,36 Units,US
USA-KY-93-KY-AssistedLiving-output-23,Heritage Place Assisted Living Center,Assisted Living,3362 Buckland Square,,Owensboro,42301,KY,(270) 689-0930,68 Units,US
USA-KY-93-KY-AssistedLiving-output-24,One Park Place,Assisted Living,2701 Frederica St.,,Owensboro,42301,KY,(270) 926-6669,104 Units,US
USA-KY-93-KY-AssistedLiving-output-25,Friendship Towers,Assisted Living,580 Greenfield Drive,,Lexington,40517,KY,(859) 271-9001,102 Units,US
