row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,street_address,po_box,city,province,postal_code,country
USA-LA-95-ResidentialCare-95-ResidentialCare-1,Ashton Manor,2203781391,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/7494/catid/161,Jay Tipton,985-785-8288,,985-785-7773,jay@ashton-manor.com,,,86,,Shelter Care Home,270 Ashton Plantation Blvd,,Luling,LA,70070,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-2,Academy House,13319,,1,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/912/catid/161,Mrs. Peggy C Stahls,504-884-1063,,504-780-7482,stahlsp@bellsouth.net,,,6,,Personal Care Home,4324 Academy Dr.,,Metairie,LA,70003,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-3,Almor Ponderosa,14224,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/913/catid/161,Barbara  Howard,318-787-6320,,318-787-6320,patricia@almorenterprises.com,,,11,,Shelter Care Home,830 MCKEITHEN DRIVE,,ALEXANDRIA,LA,71303,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-4,Amber Terrace,2117,,3,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/976/catid/161,Ms. Terry Atchetre,225-767-7877,,225-767-7807,EDAMBERTERRACE@AMBERTERRACES.COM,,,,,Assisted Living,8585 Summa Avenue,,Baton Rouge,LA,70808,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-5,Anderson Memory Care LLC,2203782072,,3,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/8002/catid/161,"Ginger Hanrahan, Director",985-646-4677,,(985) 646-4681,AMC1202@outlook.com,,,,,Assisted Living,4108 Dauphine St.,,Slidell,LA,70458,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-6,"Arbor and Terrace Senior Center of Ruston, L. L. C. (The)",2111,,3,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/919/catid/161,Mr. Jerry Fletcher,318-251-3116,,318-251-3152,arborruston1@bellsouth.net,,,,,Assisted Living,4518 Highway 80 East,,Ruston,LA,71270,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-7,Beau Maison,2203783047,,1,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/8936/catid/161,Jason Hemel,504-259-0326,,888-606-2434,jasonhemel@gmail.com,,,8,,Personal Care Home,3520 Cleary Avenue,,Metairie,LA,70002,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-8,Belle Reve New Orleans,2203781816,,1,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/7581/catid/161,Vicki G. Weeks,504-945-9455,,504-942-2660,vickiweeks@bellerevenola.org,,,8,,Personal Care Home,3029 Royal Street,,New Orleans,LA,70117,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-9,Bailey Place,2203781717,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/928/catid/161,Joyce Brunson,318-346-8400,,318-346-6206,,,,,,Assisted Living,650 Pershing Avenue,,Bunkie,LA,71322,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-10,Azalea Estates of Slidell,11643,,3,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/926/catid/161,Susie Richard,985-641-2827,,985-645-0659,azaleaslidelled@bellsouth.net,,,,,Assisted Living,354 Robert Boulevard,,Slidell,LA,70458,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-11,Beau Provence,2203782086,,2,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/8009/catid/161,Richele Jarrell,(985) 778-0755,,(985) 400-5760,shelly@beauprovence.com,,,46,,Shelter Care,100 Beau West Drive,,Mandeville,LA,70471,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-12,Azalea Estates of Shreveport,11639,,3,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/925/catid/161, Lorrie  Nunley,318-797-2408,,318-797-8540,azalealpn@bellsouth.net,,,,,Assisted Living,516 East Flournoy Lucas Road,,Shreveport,LA,71115,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-13,Azaleas Assisted Living At Woldenberg Village (The),8610,,3,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/927/catid/161,Joseph E Towsend,504-367-5640,,504-367-5643,Joe.Townsend@LCMCHealth.org,,,,,Assisted Living,3701 Behrman Place,,New Orleans,LA,70114,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-14,Azalea Estates of Old Sterlington,12913,,3,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/923/catid/161, Jennifer M Bass,318-343-1626,,318-345-4825,azaleajmb@gmail.com,,,,,Assisted Living,4380 Old Sterlington Rd.,,Monroe,LA,71203,USA
USA-LA-95-ResidentialCare-95-ResidentialCare-15,Azalea Estates of New Iberia,11640,,3,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/924/catid/161,Mrs. Christine A. Thibodeaux,337-364-1695,,337-367-8280,azaleani@bellsouth.net,,,,,Assisted Living,1318 Andre Street,,New Iberia,LA,70563,USA
