row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,mailing_street_address,mailing_po_box,mailing_city,mailing_province,mailing_postal_code,mailing_country,street_address,city,province,postal_code,country
USA-LA-96-All-96-All-1,"Autumn Leaves Nursing & Rehab Center, LLC",,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11917/catid/173,Mr Jimmy D Zimmerman,(318)628-4152,,(318)628-6171,autumnleavesadmin@centralmanagement.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Drawer 591,Winnfield,LA,71483,,342 Country Club Road,Winnfield,LA,71483,USA
USA-LA-96-All-96-All-2,Arbor Lake Skilled Nursing & Rehabilitaton,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11913/catid/173,Matthew  Hall,(318)368-3103,,(318)368-0301,mhall@paramounthcla.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 206,Farmerville,LA,71241,,1155 Sterlington Highway,Farmerville,LA,71241,USA
USA-LA-96-All-96-All-3,Ascension Oaks Nursing & Rehab Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11914/catid/173,Mr Brett  Arceneaux,(225)644-6581,,(225)644-0373,aoaksadmin@centralmanagement.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711 W. Cornerview Road,,Gonzales,LA,70737,,711 W. Cornerview Road,Gonzales,LA,70737,USA
USA-LA-96-All-96-All-4,Audubon Health and Rehab,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11916/catid/173,Charles L Lebon,(985)446-3109,,(985)447-5329,clebon@asimgt.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110 Audubon Ave.,,Thibodaux,LA,70301,,2110 Audubon Ave.,Thibodaux,LA,70301,USA
USA-LA-96-All-96-All-5,Avalon Place,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11918/catid/173,Samantah Craig,(318)322-2000,,(318)322-2597,apadmin@paramounthcla.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4385 Old Sterlington Road,,Monroe,LA,71203,,4385 Old Sterlington Road,Monroe,LA,71203,USA
USA-LA-96-All-96-All-6,"Acadia St. Landry Guest Home, Inc.",,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11909/catid/173,Mr Brian  Hensgens,(337)684-6316,,(337)684-6315,brian@aslgh.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830 S. Broadway St.,,Church Point,LA,70525,,830 S. Broadway St.,Church Point,LA,70525,USA
USA-LA-96-All-96-All-7,Belle Maison Nursing Home,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11927/catid/173,Mr Kevin P Guitreau,(985)542-0110,,(985)542-8619,kguitreau@bellemaison.org,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15704 Medical Arts Plaza,,Hammond,LA,70403,,15704 Medical Arts Plaza,Hammond,LA,70403,USA
USA-LA-96-All-96-All-8,Belle Teche Nursing &  Rehab Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11928/catid/173,"Harvey  Koenig, Ii",(337)364-5472,,(337)365-8932,belletecheadmin@centralmanagement.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 9766,New Iberia,LA,70562,,1306 W. Admiral Doyle Dr.,New Iberia,LA,70560,USA
USA-LA-96-All-96-All-9,Bayside Healthcare Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11926/catid/173,Mr Gary  Allen,(504)393-1515,,(504)391-7426,admin@baysidehealthcare.net,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201 Wall Blvd.,,Gretna,LA,70056,,3201 Wall Blvd.,Gretna,LA,70056,USA
USA-LA-96-All-96-All-10,Affinity Nursing & Rehab Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11910/catid/173,Sandy  Pennington,(225)387-5934,,(225)387-5939,edaffinity@nursingrehab.net,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005 North Blvd.,,Baton Rouge,LA,70806,,4005 North Blvd.,Baton Rouge,LA,70806,USA
