row_id,Sort Name,Mailing Name,License Number,Profession,Status,Address Line 1,Address Line 2,City,State,Zip,County FIPS,County,Country,Phone,Fax,Address Directions,Expiration Date,Authorities,Department,Agency,Board,type
USA-ME-97-AssistedLiving-output-1,10 LEGION DRIVE,10 LEGION DRIVE,PNC2326,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 LEGION DR,,AUGUSTA,ME,04330-6850,23011,KENNEBEC,US,+1 (207) 582-8021,+1 (207) 582-2457,,9/22/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-2,12 A RIVERVIEW STREET,12 A RIVERVIEW STREET,RCC2313,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,12A RIVERVIEW ST,,SANFORD,ME,04073-2812,23031,YORK,US,+1 (207) 324-8755,+1 (855) 244-8243,,2/11/2018,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-3,14 GLENRIDGE DRIVE,14 GLENRIDGE DRIVE,PND2186,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,14 GLENRIDGE DR,,AUGUSTA,ME,04330-6606,23011,KENNEBEC,US,+1 (207) 626-5793,+1 (207) 626-5754,,9/3/2017,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-4,15 BILLABONG WAY,15 BILLABONG WAY,RCC1592,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 BILLABONG WAY,,WINDHAM,ME,04062-3358,23005,CUMBERLAND,US,+1 (207) 893-2460,+1 (207) 772-3743,,2/13/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-5,16 PLEASANT HILL DRIVE,16 PLEASANT HILL DRIVE,RCC1548,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 PLEASANT HILL DR,,WATERVILLE,ME,04901-4105,23011,KENNEBEC,US,+1 (207) 446-7012,+1 (207) 582-2457,,5/29/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-6,1661 MAIN STREET,1661 MAIN STREET,PNC1980,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1661 MAIN ST,,LEWISTON,ME,04240-2616,23001,ANDROSCOGGIN,US,+1 (207) 786-2572,+1 (207) 786-2577,,4/2/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-7,1665 MAIN STREET,1665 MAIN STREET,PNC1979,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1665 MAIN ST,,LEWISTON,ME,04240-2616,23001,ANDROSCOGGIN,US,+1 (207) 786-3344,+1 (207) 786-2577,,4/2/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-8,18 DEERING ROAD,18 DEERING ROAD,RCC1523,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,18 DEERING RD,,GORHAM,ME,04038-1921,23005,CUMBERLAND,US,+1 (207) 839-5969,+1 (207) 839-2384,,5/3/2019,Intellectual Disability/Autism,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-9,20 COTTAGE STREET,20 COTTAGE STREET,RCC2058,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,20 COTTAGE ST,,BANGOR,ME,04401-3728,23019,PENOBSCOT,US,+1 (207) 951-6015,+1 (207) 992-4144,,10/1/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-10,22 GREEN STREET,22 GREEN STREET,PNC1928,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,22 GREEN ST STE 1,,AUGUSTA,ME,04330-7473,23011,KENNEBEC,US,+1 (207) 624-0500,+1 (207) 626-3469,,2/6/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
