row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,street_address,po_box,city,province,postal_code,country,facility_type
USA-ME-99-NursingHomes-99-NursingHomes-1,"AUGUSTA CENTER FOR HEALTH & REHABILITATION, LLC",,,,"VK AUGUSTA, LLC",,,,,,,,CATHLEEN O'CONNOR,2076223121,,2076237666,,,,72,,KENNEBEC,,,,,,,,,,,TRUE,FALSE,FALSE,188 EASTERN AVE,,AUGUSTA,ME,4330,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-2,BANGOR NURSING & REHABILITATION,,,,"NORTH COUNTRY ASSOCIATES, INC.",,,,,,,,PHILLIP BENNETT,2079474557,,2079929097,,,,60,,PENOBSCOT,,,,,,,,,,,TRUE,FALSE,FALSE,103 TEXAS AVE,,BANGOR,ME,4401,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-3,BARRON CENTER,,,,,,,,,,,,EDWARD LATHAM,2077742623,,2075416555,,,,219,,CUMBERLAND,,,,,,,,,,,TRUE,FALSE,FALSE,1145 BRIGHTON AVE,,PORTLAND,ME,4102,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-4,BORDERVIEW REHAB & LIVING CTR,,,,,,,,,,,,ROBERT POIESZ,2078685211,,2078683579,,,,55,,AROOSTOOK,,,,,,,,,,,TRUE,FALSE,FALSE,208 STATE STREET,,VAN BUREN,ME,4785,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-5,"BRENTWOOD CENTER FOR HEALTH & REHABILITATION, LLC",,,,"VK YARMOUTH, LLC",,,,,,,,KEVIN HACHEY,2078469021,,2078461497,,,,78,,CUMBERLAND,,,,,,,,,,,TRUE,FALSE,FALSE,370 PORTLAND ST,,YARMOUTH,ME,4096,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-6,"BREWER CENTER FOR HEALTH & REHABILITATION, LLC",,,,"KINDRED NURSING CENTERS WEST, LLC",,,,,,,,JUNE PICKERING,2079897300,,2079894240,,,,111,,PENOBSCOT,,,,,,,,,,,TRUE,FALSE,FALSE,74 PARKWAY SOUTH,,BREWER,ME,4412,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-7,BRIDGTON HEALTH CARE CENTER,,,,,,,,,,,,DAVID HICKS,2076478821,,2076473285,,,,43,,CUMBERLAND,,,,,,,,,,,TRUE,FALSE,FALSE,186 PORTLAND ROAD,,BRIDGTON,ME,4009,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-8,CARIBOU REHAB AND NURSING CENTER,,,,,,,,,,,,PHILLIP CYR,2074983102,,2074983461,,,,67,,AROOSTOOK,,,,,,,,,,,TRUE,FALSE,FALSE,10 BERNADETTE ST,,CARIBOU,ME,4736,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-9,CEDAR RIDGE CENTER,,,,GENESIS HEALTH CARE CORP,,,,,,,,MICHAEL MCDOUGALL,2074749686,,2074748626,,,,75,,SOMERSET,,,,,,,,,,,TRUE,FALSE,FALSE,23 CEDAR RIDGE DRIVE,,SKOWHEGAN,ME,4976,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-10,CEDARS NURSING CARE CENTER,,,,,,,,,,,,KATHRYN CALLNAN,2077725456,,2077726038,,,,102,,CUMBERLAND,,,,,,,,,,,TRUE,FALSE,FALSE,630 OCEAN AVENUE,,PORTLAND,ME,4112,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-11,CLOVER MANOR,,,,,,,,,,,,CYNTHIA QUINLAN,2077843573,,2077823023,,,,109,,ANDROSCOGGIN,,,,,,,,,,,TRUE,FALSE,FALSE,440 MINOT AVE,,AUBURN,ME,4210,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-12,COASTAL MANOR,,,,,,,,,,,,OREY GADWAY,2078465013,,2078462252,,,,39,,CUMBERLAND,,,,,,,,,,,TRUE,FALSE,FALSE,20 WEST MAIN STREET,,YARMOUTH,ME,4096,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-13,COLONIAL HEALTH CARE,,,,FIRST ATLANTIC HEALTHCARE,,,,,,,,BETTY POMEROY,2077946534,,2077942173,,,,60,,PENOBSCOT,,,,,,,,,,,TRUE,FALSE,FALSE,36 WORKMAN TERRACE STREET,,LINCOLN,ME,4457,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-14,COUNTRY MANOR NURSING HOME,,,,,,,,,,,,NATHAN ROSEBERRY,2075497471,,2075493617,,,,30,,LINCOLN,,,,,,,,,,,TRUE,FALSE,FALSE,132 MAIN STREET,,COOPERS MILLS,ME,4341,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-15,COURTLAND REHAB & LIVING CENTER,,,,"NORTH COUNTRY ASSOCIATES, INC.",,,,,,,,MARK STEWART,2076679036,,2076677197,,,,54,,HANCOCK,,,,,,,,,,,TRUE,FALSE,FALSE,42 BUCKSPORT RD,,ELLSWORTH,ME,4605,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-16,COVE'S EDGE,,,,"MILES HEALTH CARE, INC.",,,,,,,,CHERYL DOBBELSTEYN,2075634608,,2075634610,,,,76,,LINCOLN,,,,,,,,,,,TRUE,FALSE,FALSE,26 SCHOONER STREET,,DAMARISCOTTA,ME,4543,USA,Nursing Home
USA-ME-99-NursingHomes-99-NursingHomes-17,CUMMINGS HEALTH CARE FACILITY,,,,,,,,,,,,MELINDA GOSLIN,2077324121,,2077325133,,,,34,,PENOBSCOT,,,,,,,,,,,TRUE,FALSE,FALSE,5 CROCKER STREET,,HOWLAND,ME,4448,USA,Nursing Home
