row_id,Facility Name,Address1,Address2,City,Zip,State,Country,Contact Phone,Facility Type,License #,License exp.,Administrator,Space
USA-NJ-44-NJ-HealthFacilities-output-1,Sunrise Assisted Living Of Marlboro,3a South Main Street,,Marlboro,07746,NJ,US,(732) 409-6665,Assisted Living Residence,0L9278,12/31/2017,Ms. AMY GOLDICH,110
USA-NJ-44-NJ-HealthFacilities-output-2,Seashore Gardens Living Center,22 West Jimmie Leeds Road,,Galloway Township,08205,NJ,US,(609) 404-4848,Long Term Care Facility,030102,05/31/2018,Ms. ALYSIA PRICE,151
USA-NJ-44-NJ-HealthFacilities-output-3,The Actors' Fund Homes,175 West Hudson Ave,,Englewood,07631,NJ,US,(201) 871-8882,Long Term Care Facility,030201,04/30/2018,Mr. JORDAN STROHL,82
USA-NJ-44-NJ-HealthFacilities-output-4,United Methodist Communities At Bristol Glen,200 Bristol Glen Drive,,Newton,07860,NJ,US,(973) 300-5788,Long Term Care Facility,031901,03/31/2018,Mr. GEORGE AREZZO,60
USA-NJ-44-NJ-HealthFacilities-output-5,The Orchards At Bartley,100 North County Line Road,,Jackson,08527,NJ,US,(732) 730-1700,Assisted Living Residence,3EGDKS,12/31/2017,Ms. LAUREN KESSLER,100
USA-NJ-44-NJ-HealthFacilities-output-6,Meadowview Nursing And Rehabilitation Center,235 Dolphin Ave,,Northfield,08225,NJ,US,(609) 645-5955,Long Term Care Facility,060101,09/30/2017,Ms. MICHELLE SAVAGE,180
USA-NJ-44-NJ-HealthFacilities-output-7,The Voorhees Care & Rehabilitation Center,1302 Laurel Oak Road,,Voorhees,08043,NJ,US,(856) 346-1200,Long Term Care Facility,060408,07/31/2018,Ms. JOANNA PASTORE,240
USA-NJ-44-NJ-HealthFacilities-output-8,Aristacare At Cherry Hill,1399 Chapel Ave West,,Cherry Hill,08002,NJ,US,(856) 663-9009,Long Term Care Facility,060417,12/31/2017,Ms. SHARON SCHWARZKOPF,120
USA-NJ-44-NJ-HealthFacilities-output-9,Autumn Lake Healthcare At Oceanview,2721 Route 9,,Ocean View,08230,NJ,US,(609) 624-3881,Long Term Care Facility,060505,03/31/2017,Ms. JENNIFER HESS,120
USA-NJ-44-NJ-HealthFacilities-output-10,Alaris Health At Jersey City,198 Stevens Ave,,Jersey City,07305,NJ,US,(201) 451-9000,Long Term Care Facility,060909,03/31/2018,Mr. ROBERT SMOLIN,183
USA-NJ-44-NJ-HealthFacilities-output-11,"Hamilton Grove Healthcare And Rehabilitation, Llc",2300 Hamilton Ave,,Hamilton,08619,NJ,US,(609) 588-5800,Long Term Care Facility,061103,11/30/2017,Mr. PINNY GOLDSTEIN,218
USA-NJ-44-NJ-HealthFacilities-output-12,Riverside Nursing And Rehabilitation Center,325 Jersey Street,,Trenton,08611,NJ,US,(609) 394-3400,Long Term Care Facility,061112,04/30/2018,Mr. RONALD DENTI,131
USA-NJ-44-NJ-HealthFacilities-output-13,Jfk Hartwyck At Edison Estates,10 Brunswick Avenue,,Edison,08817,NJ,US,(732) 985-1500,Long Term Care Facility,061205,03/31/2018,Ms. RENEE LAKE,280
