row_id,Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location,Country
USA-NY-45-AdultCare-45-AdultCare-1,Bickford Home,56 Main Street,Wayne,Macedon,14502,(315) 986-5552,(315) 986-2968,AF0451B,"Schumacher, Peter",770-F-035,24,0,0,0,0,AH,PPHA,WRO,"56 Main Street
Macedon, NY 14502
(43.06820255000008, -77.30198155299996)",USA
USA-NY-45-AdultCare-45-AdultCare-2,Leroy Manor,8678 Lake Street Road,Genesee,Leroy,14482,(585) 768-6291,(585) 768-6293,AF0512D,"Leroy Manor, LLC",290-F-005,79,79,0,0,0,AH/ALP,PPHA,WRO,"8678 Lake Street Road
Leroy, NY 14482
(42.99267165800006, -77.98814487799996)",USA
USA-NY-45-AdultCare-45-AdultCare-3,Morningside at Home,1000 Pelham Parkway South,Bronx,Bronx,10461,(718) 409-8266,(718) 828-2697,AF0713A,"Morningside at Home, Inc.",020-E-138,40,40,0,0,0,AH/ALP,NFP,MARO,"1000 Pelham Parkway South
Bronx, NY 10461
(40.85558647800008, -73.82988379799997)",USA
USA-NY-45-AdultCare-45-AdultCare-4,The Northfield,4560 Nine Mile Point Road,Monroe,Fairport,14450,(585) 377-1810,(585) 232-3062,AF0632A,"Family Services of Rochester, Inc.",370-S-847,79,0,0,0,0,EHP,NFP,WRO,"4560 Nine Mile Point Road
Fairport, NY 14450
(43.112313388000075, -77.44170288299995)",USA
USA-NY-45-AdultCare-45-AdultCare-5,Woodhaven Home for Adults,1350 Route 112,Suffolk,Port Jefferson Sta.,11776,(631) 473-3304,(631) 473-0048,AF0440B,"Woodhaven Adult Home, LLC",700-F-905,181,175,0,0,0,AH/ALP,PPHA,MARO,"1350 Route 112
Port Jefferson Sta., NY 11776
(40.916579557000034, -73.03566257299997)",USA
USA-NY-45-AdultCare-45-AdultCare-6,Glenwell,2248 Old Union Road,Erie,Cheektowaga,14227,(716) 608-7000,(716) 608-0151,AF0499A,"DePaul Adult Care Communities, Inc.",240-E-146,120,16,104,0,24,AH/ALP,NFP,WRO,"2248 Old Union Road
Cheektowaga, NY 14227
(42.871518293000065, -78.75580113899997)",USA
USA-NY-45-AdultCare-45-AdultCare-7,Peregrine's Landing at Orchard Park,101 Sterling Drive,Erie,Orchard Park,14127,(716) 675-1022,(716) 675-1007,AF0466B,"Peregrine Properties of Upstate, LLC",240-F-827,52,0,0,0,0,AH,PPHA,WRO,"101 Sterling Drive
Orchard Park, NY 14127
(42.79017560400007, -78.76658096799997)",USA
USA-NY-45-AdultCare-45-AdultCare-8,Brookdale Clinton,115 Brookside Drive,Oneida,Clinton,13323,(315) 859-1947,(315) 859-1949,AF0013A,"Clinton Sterling Cottage Operator, Inc.",510-F-057,40,0,0,0,0,AH,PPHA,CNYRO,"115 Brookside Drive
Clinton, NY 13323
(43.03980036400003, -75.36023079599994)",USA
USA-NY-45-AdultCare-45-AdultCare-9,Sunrise of East Setauket,1 Sunrise Drive,Suffolk,East Setauket,11733,(631) 941-4455,(631) 941-4455,AF0812B,"GWC - East Setauket, Inc.",700-F-926,109,0,109,109,40,AH,PPHA,MARO,"1 Sunrise Drive
East Setauket, NY 11733
(40.93511008400003, -73.11086882199999)",USA
USA-NY-45-AdultCare-45-AdultCare-10,Home of the Good Shepherd Wilton,60 Waller Road,Saratoga,Wilton,12831,(518) 580-0702,(518) 580-0709,AF0659A,The Church Aid of the Protestant Episcopal Church,640-E-038,54,0,54,25,0,AH,NFP,CDRO,"60 Waller Road
Wilton, NY 12831
(43.13070409900007, -73.76579854299996)",USA
