row_id,Facility Name,Address1,Address2,City,Zip,State,Country,Contact Phone,Website,Link to details,facility_type
USA-NY-47-NY-HealthProfiles-output-1,A Holly Patterson Extended Care Facility,875 Jerusalem Avenue,,Uniondale,11553,NY,US,(516) 572-1400,http://www.nuhealth.net/about/centers-of-care/a_holly_patterson.asp,https://profiles.health.ny.gov/nursing_home/view/150456,Residential Health Care; AIDS; Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-2,Aaron Manor Rehabilitation and Nursing Center,100 St. Camillus Way,,Fairport,14450,NY,US,(585) 377-4000,http://www.aaronmanor.com/,https://profiles.health.ny.gov/nursing_home/view/150409,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-3,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC",2178 North Fifth Street,,Allegany,14706,NY,US,(716) 373-2238,http://www.absolutcare.com/locations/?id=54,https://profiles.health.ny.gov/nursing_home/view/150318,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-4,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",292 Main Street,,East Aurora,14052,NY,US,(716) 652-1560,http://www.absolutcare.com/locations/?id=55,https://profiles.health.ny.gov/nursing_home/view/150371,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-5,"Absolut Center for Nursing and Rehabilitation at Dunkirk, LLC",447-449 Lake Shore Drive West,,Dunkirk,14048,NY,US,(716) 366-6710,http://www.absolutcare.com/locations/?id=56,https://profiles.health.ny.gov/nursing_home/view/150828,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-6,"Absolut Center for Nursing and Rehabilitation at Eden, LLC",2806 George Street,,Eden,14057,NY,US,(716) 992-3987,http://www.absolutcare.com/locations/?id=57,https://profiles.health.ny.gov/nursing_home/view/150829,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-7,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",301 Nantucket Drive,,Endicott,13760,NY,US,(607) 754-2705,http://www.absolutcare.com/locations/?id=60,https://profiles.health.ny.gov/nursing_home/view/150312,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-8,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC",4540 Lincoln Drive,,Gasport,14067,NY,US,(716) 772-2631,http://www.absolutcare.com/locations/?id=65,https://profiles.health.ny.gov/nursing_home/view/150475,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-9,"Absolut Center for Nursing and Rehabilitation at Houghton, LLC",9876 Luckey Dr,,Houghton,14744,NY,US,(585) 567-2207,http://www.absolutcare.com/locations/?id=58,https://profiles.health.ny.gov/nursing_home/view/150496,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-10,"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC",6060 Armor Road,,Orchard Park,14127,NY,US,(716) 662-4433,http://www.absolutcare.com/locations/?id=61,https://profiles.health.ny.gov/nursing_home/view/150374,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-11,"Absolut Center for Nursing and Rehabilitation at Salamanca, LLC",451 Broad Street,,Salamanca,14779,NY,US,(716) 945-1800,http://www.absolutcare.com/locations/?id=62,https://profiles.health.ny.gov/nursing_home/view/150319,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-12,"Absolut Center for Nursing and Rehabilitation at Three Rivers, LLC",101 Creekside Drive,,Painted Post,14870,NY,US,(607) 936-4108,http://www.absolutcare.com/locations/?id=59,https://profiles.health.ny.gov/nursing_home/view/150729,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-13,"Absolut Center for Nursing and Rehabilitation at Westfield, LLC",26 Cass Street,,Westfield,14787,NY,US,(716) 326-4646,http://www.absolutcare.com/locations/?id=63,https://profiles.health.ny.gov/nursing_home/view/150813,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-14,Acadia Center for Nursing and Rehabilitation,1146 Woodcrest Avenue,,Riverhead,11901,NY,US,(631) 727-7744,http://www.riverheadcarecenter.com/home.php,https://profiles.health.ny.gov/nursing_home/view/150577,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-15,Achieve Rehab and Nursing Facility,170 Lake Street,,Liberty,12754,NY,US,(845) 292-4200,http://www.achieverehabny.com/,https://profiles.health.ny.gov/nursing_home/view/150582,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-16,Adira at Riverside Rehabilitation and Nursing,120 Odell Ave,,Yonkers,10701,NY,US,(914) 964-3333,http://www.riversidehealth.org/Facilities/MalotzSkilledNursing.aspx,https://profiles.health.ny.gov/nursing_home/view/150902,Residential Health Care; Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-17,"Adirondack Tri-County Nursing and Rehabilitation Center, Inc",112 Ski Bowl Road,,North Creek,12853,NY,US,(518) 251-2447,http://www.adirondacknursing.com/,https://profiles.health.ny.gov/nursing_home/view/150596,Residential Health Care
