name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Chateau DE Notre Dame,,,,,,,,,,,,,,,,,,(504) 866-2741,,,,https://health.usnews.com/best-nursing-homes/area/la/chateau-de-notre-dame-195589,,,,,,,,,,,,,,,,,2832 Burdette Street,,,New Orleans,,,LA,,70125,USA,29.957959,-90.1143683,Uptown/Carrollton
"Cornerstone Village South, Inc.",,,,,,,,,,,,,,,,,,(337) 981-5335,,,,https://health.usnews.com/best-nursing-homes/area/la/cornerstone-village-south-inc-195634,,,,,,,,,,,,,,,,,103 W. Martial Avenue,,,Lafayette,,,LA,,70508,USA,30.16586700000001,-92.041939,
"Riverbend Nursing and Rehabilitation Center, Inc.",,,,,,,,,,,,,,,,,,(504) 656-0068,,,,https://health.usnews.com/best-nursing-homes/area/la/riverbend-nursing-and-rehabilitation-center-inc-195481,,,,,,,,,,,,,,,,,13735 Highway 23,,,Belle Chasse,,,LA,,70037,USA,29.8490444,-89.9886413,
Willis-Knighton Extended Care Center,,,,,,,,,,,,,,,,,,(318) 212-4000,,,,https://health.usnews.com/best-nursing-homes/area/la/willis-knighton-extended-care-center-195622,,,,,,,,,,,,,,,,,2550 Kings Highway,,,Shreveport,,,LA,,71103,USA,32.4819703,-93.7778088,Queensborough
Flannery Oaks Guest House,,,,,,,,,,,,,,,,,,(225) 275-6393,,,,https://health.usnews.com/best-nursing-homes/area/la/flannery-oaks-guest-house-195477,,,,,,,,,,,,,,,,,1642 N. Flannery Road,,,Baton Rouge,,,LA,,70815,USA,30.4656747,-91.0337953,Park Forest/LA North
Our Lady of Wisdom Health Care Center,,,,,,,,,,,,,,,,,,(504) 394-5991,,,,https://health.usnews.com/best-nursing-homes/area/la/our-lady-of-wisdom-health-care-center-195509,,,,,,,,,,,,,,,,,5600 General Degaulle Dr.,,,New Orleans,,,LA,,70131,USA,29.9103758,-89.99568310000001,Algiers
Bethany Mhs Health Care Center,,,,,,,,,,,,,,,,,,(337) 234-2459,,,,https://health.usnews.com/best-nursing-homes/area/la/bethany-mhs-health-care-center-195565,,,,,,,,,,,,,,,,,406 St. Julien Street,,,Lafayette,,,LA,,70506,USA,30.2145164,-92.02656689999999,
Broadway Nursing and Rehabilitation Center,,,,,,,,,,,,,,,,,,(985) 532-1011,,,,https://health.usnews.com/best-nursing-homes/area/la/broadway-nursing-and-rehabilitation-center-195583,,,,,,,,,,,,,,,,,7534 Highway 1,,,Lockport,,,LA,,70374,USA,29.6324932,-90.5111307,
High Hope Care Center,,,,,,,,,,,,,,,,,,(337) 527-8140,,,,https://health.usnews.com/best-nursing-homes/area/la/high-hope-care-center-195601,,,,,,,,,,,,,,,,,475 High Hope Road,,,Sulphur,,,LA,,70663,USA,30.3152799,-93.339784,
J. Michael Morrow Memorial Nursing  Home,,,,,,,,,,,,,,,,,,(337) 754-7703,,,,https://health.usnews.com/best-nursing-homes/area/la/j-michael-morrow-memorial-nursing-home-195385,,,,,,,,,,,,,,,,,883 Main Street,,,Arnaudville,,,LA,,70512,USA,30.4133761,-91.93335739999999,
