row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,street_address,po_box,city,province,postal_code,country
USA-National-43-NursingHomes-43-NursingHomes-SampleData-1,Chateau DE Notre Dame,,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/chateau-de-notre-dame-195589,,(504) 866-2741,,,,Medicare; Medicaid,Nonprofit; church,171,Family,,2832 Burdette Street,,New Orleans,LA,70125,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-2,"Cornerstone Village South, Inc.",,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/cornerstone-village-south-inc-195634,,(337) 981-5335,,,,Medicare,For-profit; corporate,106,Family & Resident,,103 W. Martial Avenue,,Lafayette,LA,70508,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-3,"Riverbend Nursing and Rehabilitation Center, Inc.",,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/riverbend-nursing-and-rehabilitation-center-inc-195481,,(504) 656-0068,,,,Medicare; Medicaid,For-profit; corporate,120,Family,,13735 Highway 23,,Belle Chasse,LA,70037,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-4,Willis-Knighton Extended Care Center,,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/willis-knighton-extended-care-center-195622,,(318) 212-4000,,,,Medicare,Nonprofit; corporate,24,,,2550 Kings Highway,,Shreveport,LA,71103,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-5,Flannery Oaks Guest House,,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/flannery-oaks-guest-house-195477,,(225) 275-6393,,,,Medicare; Medicaid,For-profit; LLC,130,Family & Resident,,1642 N. Flannery Road,,Baton Rouge,LA,70815,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-6,Our Lady of Wisdom Health Care Center,,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/our-lady-of-wisdom-health-care-center-195509,,(504) 394-5991,,,,Medicare; Medicaid,Nonprofit; corporate,138,Family,,5600 General Degaulle Dr.,,New Orleans,LA,70131,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-7,Bethany Mhs Health Care Center,,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/bethany-mhs-health-care-center-195565,,(337) 234-2459,,,,Medicare; Medicaid,Nonprofit; church,42,Family,,406 St. Julien Street,,Lafayette,LA,70506,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-8,Broadway Nursing and Rehabilitation Center,,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/broadway-nursing-and-rehabilitation-center-195583,,(985) 532-1011,,,,Medicare; Medicaid,Nonprofit; corporate,126,Family,,7534 Highway 1,,Lockport,LA,70374,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-9,High Hope Care Center,,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/high-hope-care-center-195601,,(337) 527-8140,,,,Medicare; Medicaid,For-profit; corporate,101,Family,,475 High Hope Road,,Sulphur,LA,70663,USA
USA-National-43-NursingHomes-43-NursingHomes-SampleData-10,J. Michael Morrow Memorial Nursing  Home,,,,,,,,,,,https://health.usnews.com/best-nursing-homes/area/la/j-michael-morrow-memorial-nursing-home-195385,,(337) 754-7703,,,,Medicare; Medicaid,For-profit; partnership,175,Family,,883 Main Street,,Arnaudville,LA,70512,USA
