row_id,Facility Name,License Number,License Exp.,Facility Type,Type,Address,County,City,Zip,State,Contact Phone,Mailing Address,Administrator,Admin Phone,Mailing City,Mailing Zip,Mailing State,Facility Email,Licensee,Fac. Contact Email,Country
USA-SC-56-SC-HealthCareFacilities-output-1,A'LELIA RESIDENTIAL CARE,CRC-1115,9/30/2017,Residential Care,Corporation,10 JACOB WHITE RD,Beaufort,YEMASSEE,29945-7820,SC,843-466-0356,10 JACOB WHITE RD,MILES CARRIE R,843-466-0356,YEMASSEE,29945-7820,SC,MILES-66@HOTMAIL.COM,MILES RESIDENTIAL CARE FACILITY INC,MILES.66@HOTMAIL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-2,ABBEVILLE RESIDENTIAL CARE LLC,CRC-1981,7/31/2018,Residential Care,,294 HWY 28 BYPASS,Abbeville,ABBEVILLE,29620,SC,864-302-9202,294 HWY 28 BYPASS,SIMPSON JOYCE T,864-302-9202,ABBEVILLE,29620,SC,ARCF.MARISOL@GMAIL.COM,MARISOL PALACIOS-CRUZ,ARCF.MARISOL@GMAIL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-3,ACLINE PLACE,CRC-1257,1/31/2018,Residential Care,State,200 S ACLINE ST,Florence,LAKE CITY,29560-2635,SC,843-394-5677,"1211 E NATIONAL CEMETERY RD, FCDSNB",UWAGBAI LINDA G,843-394-5677,FLORENCE,29506-3240,SC,GBARNES@FCDSN.ORG,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-4,ADDISON'S COMMUNITY CARE HOME,CRC-0815,5/31/2018,Residential Care,Corporation,4013 PERCIVAL RD,Richland,COLUMBIA,29229-8321,SC,803-463-1697,PO BOX 23328,ADDISON-DOCTOR SARAH,803-463-1697,COLUMBIA,29224-3328,SC,SARDCT@GMAIL.COM,ADDISON'S COMMUNITY CARE HOME INC,SARDCT@BELLSOUTH.NET,US
USA-SC-56-SC-HealthCareFacilities-output-5,ALDERSGATE AT THE OAKS,CRC-1488,2/28/2018,Residential Care,Non-Profit Corporation,921 METHODIST OAKS DR,Orangeburg,ORANGEBURG,29115-1814,SC,803-531-2332,921 METHODIST OAKS DR,JENKINS LAVEDA B,803-531-2332,ORANGEBURG,29115-1814,SC,921AOAKS@GMAIL.COM,ALDERSGATE SPECIAL NEEDS MINISTRY,921AOAKS@GMAIL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-6,ALEXANDER'S GOLDEN STARR COMMUNITY CARE HOME,CRC-0171,8/31/2018,Residential Care,Sole Proprietorship,218 GOLDEN STARR RD,Orangeburg,SANTEE,29142-9363,SC,803-854-2496,PO BOX 405,OUTLAW-THOMAS DONNA S,803-854-2496,SANTEE,29142-0405,SC,DONNAOUTLAW62@YAHOO.COM,DONNA S OUTLAW-THOMAS,SHILANEDOT@AOL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-7,AMARA PLACE AT COLUMBIA,CRC-1944,12/31/2017,Residential Care,,651 POLO RD,Richland,COLUMBIA,29223-2905,SC,803-788-9555,651 POLO RD,JOHNSON-STILL JERRI,803-788-9555,COLUMBIA,29223,SC,INFO@POLOROAD.NET,TWG POLO ROAD LLC,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-8,ANDERSON OAKS ASSISTED LIVING,CRC-1506,7/31/2018,Residential Care,Corporation,997 HWY 90,Horry,CONWAY,29526-7520,SC,843-347-9280,997 HWY 90,WISE WYATT E,843-347-9280,CONWAY,29526-2750,SC,WYATTWISE@ANDERSONOAKSASSISTEDLIVING.COM,HERMAN L ANDERSON INC,WYATTWISE@ANDERSONOAKSASSISTEDLIVING.COM,US
USA-SC-56-SC-HealthCareFacilities-output-9,ANGELIC'S PLACE,CRC-1400,9/30/2017,Residential Care,Ltd. Liability,903 W BARTLETTE ST,Sumter,SUMTER,29150-8005,SC,803-775-1404,903 W BARTLETTE ST,GREENE SHIRLEY H,803-775-1404,SUMTER,29150-8005,SC,No Facility Email on Record,ANGELIC'S PLACE LLC,BBETTMOU@AOL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-10,ANOINTED RESIDENTIAL CARE,CRC-1435,4/1/2018,Residential Care,Partnership,551 S SUMTER ST,Sumter,SUMTER,29150-5765,SC,803-883-4427,551 S SUMTER ST,,,SUMTER,29150-5765,SC,DAISY78BRADLEY@OUTLOOK.COM,COREY T WRIGHT & DAISY BRADLEY,No Facility Contact Email on Record,US
