row_id,Facility Name,Address1,City,Zip,State,County,Contact Phone,Fax,Contact,Email,Website,DHEC License,Link to details,Country,Facility Type
USA-SC-58-SC-OfficeOnAging-output-1,Rolling Green Village Health Care Facility,1 Hoke Smith Blvd,Greenville,29615,SC,Greenville,864-987-9800,,,,,NCF-0456,http://nfbl.sc.gov/FacilityInformation.php?FacID=101,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-2,Emeritus At Greenville,1306 Pelham Rd,Greenville,29615,SC,Greenville,864-286-6600,,,,,NCF-0785,http://nfbl.sc.gov/FacilityInformation.php?FacID=102,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-3,Linville Courts At The Cascades Verdae,30 Springcrest Ct,Greenville,29607,SC,Greenville,864-528-5501,,,,,NCF-0956,http://nfbl.sc.gov/FacilityInformation.php?FacID=103,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-4,PruittHealth Aiken,830 Laurens St,Aiken,29801,SC,Aiken,803-641-8000,803-649-2298,Adam Butler,ANButler@pruitthealth.com,,NCF-0942,http://nfbl.sc.gov/FacilityInformation.php?FacID=104,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-5,Heartland Of West Ashley Rehabilitation And Nursing Center,1137 Sam Rittenberg Blvd,Charleston,29407,SC,Charleston,843-763-0233,843-769-2359,Rachel Campbell,rachel.campbell@hcr-manorcare.com,hcr-manorcare.com,NCF-0413,http://nfbl.sc.gov/FacilityInformation.php?FacID=105,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-6,Life Care Center Of Hilton Head,120 Lamotte Dr,Hilton Head Island,29926,SC,Beaufort,843-681-6006,843-681-2853,Lisa Mayhew,lisa_mayhew@lcca.com,lcca.com/12/,NCF-0725,http://nfbl.sc.gov/FacilityInformation.php?FacID=106,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-7,Preston Health Center,87 Birdsong Way,Hilton Head Island,29926,SC,Beaufort,843-689-7077,,,,,NCF-0576,http://nfbl.sc.gov/FacilityInformation.php?FacID=107,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-8,Covenant Dove of Greenville,661 Rutherford Rd,Greenville,29609,SC,Greenville,864-232-2442,864-232-5398,Emma Bowers,ebowers@oriannia.com,,NCF-0805,http://nfbl.sc.gov/FacilityInformation.php?FacID=108,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-9,John Edward Harter Nursing Center,185 Revolutionary Trl,Fairfax,29827,SC,Allendale,803-632-3334,803-632-5678,Melissa All,chrystald@achospital.org,,NCF-0259,http://nfbl.sc.gov/FacilityInformation.php?FacID=109,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-10,PruittHealth of Barnwell,31 Wren St,Barnwell,29812,SC,Barnwell,803-259-5547,803-259-7350,Rovella Phillips,RoPhillips@pruitthealth.com,www.PruittHealth.com,NCF-0893,http://nfbl.sc.gov/FacilityInformation.php?FacID=110,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-11,Glorified Health & Rehab Of Greenville,8 N Texas Ave,Greenville,29611,SC,Greenville,864-295-1331,864-269-7144,Business Office,,www.covenantdove.com/glorified,NCF-0903,http://nfbl.sc.gov/FacilityInformation.php?FacID=111,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-12,Alpha Health & Rehab Of Greer,401 Chandler Rd,Greer,29651,SC,Greenville,864-879-1370,864.877.2523,Erica Atkinson,EAtkinson@covenantdove.com,,NCF-0908,http://nfbl.sc.gov/FacilityInformation.php?FacID=113,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-13,Opus Post Acute Rehabilitation,300 Agape Dr,West Columbia,29169,SC,Lexington,803-939-3000,803-451-4729,Taylor Hersey,thersey@agapesenior.com,www.agapesenior.com,NCF-0976,http://nfbl.sc.gov/FacilityInformation.php?FacID=114,US,Nursing Facility
USA-SC-58-SC-OfficeOnAging-output-14,Countrywood Nursing Center,1645 Ridge Rd,Hopkins,29061,SC,Richland,803-776-3873,803-217-0365,LaShay Hayes,lhayes@sterling-health.com,,NCF-0946,http://nfbl.sc.gov/FacilityInformation.php?FacID=115,US,Nursing Facility
