row_id,Facility Name,Facility ID,License Exp.,Facility Type,Address1,Address2,City,State,Zip,Owner,Owner Address1,Owner Address2,Owner City,Owner State,Owner Zip,Facility Phone,Facility Fax,Owner Phone,Owner Fax,Capacity,Country
USA-TX-59-TX-AssistedLiving-output-1,BROOKDALE PALESTINE,000821,11/01/2017,ASSISTED LIVING,101 TRINITY CT,,PALESTINE,TX,75801,BROOKDALE SENIOR LIVING COMMUNITIES INC,6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(903) 729-1900,(903) 729-7093,(414) 918-5441,(414) 918-6076,50,US
USA-TX-59-TX-AssistedLiving-output-2,DOGWOOD TRAILS ASSISTED LIVING COMMUNITY,102438,09/10/2018,ASSISTED LIVING,1625 SPRING ST,,PALESTINE,TX,75803,CSL S PALESTINE LLC,14160 DALLAS PRWY,STE 300,DALLAS,TX,75254,(903) 723-0040,(903) 723-0038,(972) 308-8366,(972) 387-8216,60,US
USA-TX-59-TX-AssistedLiving-output-3,WINDERMERE AT CARTMELL,106259,10/02/2017,ASSISTED LIVING,30 VARIAH ST,,PALESTINE,TX,75801,CARTMELL HOME FOR AGED INC,2212 W REAGAN ST,,PALESTINE,TX,75801,(903) 727-8500,(903) 727-8501,(903) 727-8500,(903) 727-8501,56,US
USA-TX-59-TX-AssistedLiving-output-4,NECHES HOUSE,000481,12/01/2018,ASSISTED LIVING,406 GOBBLERS KNOB RD,,LUFKIN,TX,75901,"VERITAS INCARE, LLC",6858 SWINNEA RD,BLDG 1A,SOUTHAVEN,MS,38671,(409) 639-9727,(936) 639-9754,(662) 510-5544,(662) 510-5471,48,US
USA-TX-59-TX-AssistedLiving-output-5,PINECREST RETIREMENT COMMUNITY ASSISTED LIVING UNIT,000424,01/26/2019,ASSISTED LIVING,1302 TOM TEMPLE DR,,LUFKIN,TX,75904,MRC PINECREST,1440 LAKE FRONT CIRCLE,STE 110,THE WOODLANDS,TX,77380,(936) 634-1054,(936) 634-1056,(281) 363-2600,(281) 292-6360,78,US
USA-TX-59-TX-AssistedLiving-output-6,GULF POINTE VILLAGE,000715,09/01/2017,ASSISTED LIVING,900 ENTERPRISE,,ROCKPORT,TX,78382,"MERIDIAN ROCKPORT ALF OE, LP",3811 TURTLE CREEK BLVD,STE 1050,DALLAS,TX,75219,(361) 729-5254,(361) 729-3820,(214) 651-4000,(214) 651-4001,40,US
USA-TX-59-TX-AssistedLiving-output-7,"HUDSON HOUSE CLAUDE, INC",030075,01/01/2018,ASSISTED LIVING,301 TRICE ST,,CLAUDE,TX,79019,"HUDSON HOUSE CLAUDE, INC",301 TRICE STREET,,CLAUDE,TX,79019,(806) 226-4011,(806) 226-7037,(806) 226-4011,(806) 226-7037,20,US
USA-TX-59-TX-AssistedLiving-output-8,ARGENT COURT ATASCOSA COUNTY,102169,04/13/2018,ASSISTED LIVING,1951 HWY 97 E,,JOURDANTON,TX,78026,ARGENT PLEASANTON OPERATIONS LLC,8301 BROADWAY,STE 319,SAN ANTONIO,TX,78209,(830) 769-9797,,(210) 829-7121,(210) 372-4477,57,US
USA-TX-59-TX-AssistedLiving-output-9,MICHELLE'S CARE HOME,100688,09/30/2017,ASSISTED LIVING,1310 POPLAR ST,,JOURDANTON,TX,78026,"JM MCCLELLAN PROPERTIES, LLC",25628 SANTOLINA,,SAN ANTONIO,TX,78261,(830) 767-3082,(830) 767-3082,(361) 658-6986,,14,US
USA-TX-59-TX-AssistedLiving-output-10,OAK CREEK PERSONAL CARE HOME,000519,02/09/2018,ASSISTED LIVING,299 OAK CREEK ESTATES ROAD,,POTEET,TX,78065,ELOY DUNCAN,PO BOX 1479,,POTEET,TX,78065,(830) 276-4248,,(830) 276-4248,(830) 276-4248,14,US
USA-TX-59-TX-AssistedLiving-output-11,ARBORS OF BRIARWOOD,102574,10/01/2017,ASSISTED LIVING,1517 W MAIN,,BELLVILLE,TX,77418,LTC OF AUSTIN COUNTY III LLC,1515 W MAIN,,BELLVILLE,TX,77418,(979) 865-3969,(979) 865-9963,(832) 651-3694,(866) 224-5909,16,US
USA-TX-59-TX-AssistedLiving-output-12,ROSE HILL RETIREMENT HOME,030012,06/01/2017,ASSISTED LIVING,318 S MASONIC,,BELLVILLE,TX,77418-2516,"RH RETIREMENT HOMES, LLC",3603 ALCORN BEND DR,,SUGAR LAND,TX,77479,(979) 865-3883,(281) 277-4663,(713) 725-4913,(281) 277-4663,16,US
USA-TX-59-TX-AssistedLiving-output-13,OAK HAVEN ASSISTED LIVING,105127,04/18/2019,ASSISTED LIVING,16416 FORDTRAN BLVD,,INDUSTRY,TX,78944,OAK HAVEN ASSISTED LIVING LLC,16416 FORDTRAN BLVD,,INDUSTRY,TX,78944,(979) 357-2535,(979) 357-2534,(979) 357-2535,(979) 357-2534,10,US
USA-TX-59-TX-AssistedLiving-output-14,VERANDA HOUSE SENIOR LIVING- SEALY,105925,05/25/2018,ASSISTED LIVING,526 FIFTH STREET,,SEALY,TX,77474,SENIOR HOUSING CENTERS INC,526 FIFTH ST,,SEALY,TX,77474,(979) 627-7225,(281) 310-8689,(281) 804-6422,(281) 392-6659,14,US
USA-TX-59-TX-AssistedLiving-output-15,ARGENT COURT,100336,01/01/2019,ASSISTED LIVING,508 OLD AUSTIN HWY,,BASTROP,TX,78602,"ARGENT BASTROP OPERATIONS, LLC",8301 BROADWAY,STE 319,SAN ANTONIO,TX,78209,(512) 321-9500,(512) 321-9508,(210) 829-7121,(210) 829-0859,68,US
USA-TX-59-TX-AssistedLiving-output-16,A RAINBOW RIDGE,102974,07/08/2019,ASSISTED LIVING,111 HOGEYE RD,,ELGIN,TX,78621,CAROLYN J KENNEDY-BURTON,111 HOG EYE RD,,ELGIN,TX,78621,(512) 278-0674,(512) 278-0674,(512) 789-0543,,6,US
USA-TX-59-TX-AssistedLiving-output-17,"JUST LIKE HOME SEYMOUR, LLC",001266,02/12/2019,ASSISTED LIVING,1137 W CALIFORNIA,,SEYMOUR,TX,76380,"JUST LIKE HOME SEYMOUR, LLC",1137 W. CALIFORNIA,,SEYMOUR,TX,76380,(940) 889-3551,(940) 889-3551,(940) 889-3551,(940) 889-3551,7,US
USA-TX-59-TX-AssistedLiving-output-18,801 GRAMMAN LLC,101015,05/02/2018,ASSISTED LIVING,801 E GRAMMAN,,BEEVILLE,TX,78102,801 GRAMMAN LLC,801 E GRAMMAN,,BEEVILLE,TX,78102,(361) 358-4900,(361) 358-4909,(361) 358-4900,,16,US
USA-TX-59-TX-AssistedLiving-output-19,LUVIDA MEMORY CARE,105668,03/26/2018,ASSISTED LIVING,2400 PIAZZA DRIVE,,BELTON,TX,76513,"MEMORY CARE MANAGEMENT, LC",304 E. CHURCH AVENUE,,KILLEEN,TX,76541,(254) 613-4119,(888) 389-4702,(254) 519-5801,(254) 519-5826,48,US
USA-TX-59-TX-AssistedLiving-output-20,STONEY BROOK OF BELTON,104460,09/09/2018,ASSISTED LIVING,500 RIVER FAIR BLVD,,BELTON,TX,76513,BELTON A.L. LLC,613 N W LP 410,STE 510,SAN ANTONIO,TX,78216,(254) 933-3800,,(512) 695-5489,,57,US
USA-TX-59-TX-AssistedLiving-output-21,STONEY BROOK OF BELTON,104420,09/09/2018,ASSISTED LIVING,500 RIVER FAIR BLVD,,BELTON,TX,76513,BELTON A.L. LLC,613 N W LP 410,STE 510,SAN ANTONIO,TX,78216,(254) 933-3800,,(512) 695-5489,,56,US
USA-TX-59-TX-AssistedLiving-output-22,THE ROSEWOOD RETIREMENT COMMUNITY,030300,03/01/2017,ASSISTED LIVING,5700 E CENTRAL TEXAS EXPY,,KILLEEN,TX,76543,PM MANAGEMENT - KILLEEN I NC LLC,600 NORTH PEARL ST,STE 1100,DALLAS,TX,75201,(254) 680-5020,(254) 690-3238,(214) 252-7703,(214) 252-7599,85,US
USA-TX-59-TX-AssistedLiving-output-23,ARBOR HOUSE OF TEMPLE,103463,06/30/2018,ASSISTED LIVING,4257 LOWES DR,,TEMPLE,TX,76502,TEMPLE TX ARBOR HOUSE LP,4257 LOWES DRIVE,,TEMPLE,TX,76502,(254) 773-3081,(254) 231-3644,(405) 801-2879,(405) 360-3301,52,US
USA-TX-59-TX-AssistedLiving-output-24,BROOKDALE WESTERN HILLS,000302,12/01/2018,ASSISTED LIVING,3902 W ADAMS AVE,,TEMPLE,TX,76504,BROOKDALE SENIOR LIVING COMMUNITIES INC,6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(254) 791-8000,(254) 791-8003,(414) 918-5441,(414) 918-6076,54,US
USA-TX-59-TX-AssistedLiving-output-25,ELMCROFT OF COTTONWOOD,000365,08/03/2019,ASSISTED LIVING,3002 JACK RABBIT RD,,TEMPLE,TX,76502,COTTONWOOD OPERATIONS LLC,700 N HURSTBOURNE PKWY,STE 200,LOUISVILLE,KY,40222,(254) 778-2222,(254) 778-2845,(502) 753-6004,(502) 753-6104,74,US
