name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
ABUNDANT BLESSINGS DAY SERVICES INC,RENEE,SPARKS,,,,,2308 RAYMOND AVE              ,,FRANKSVILLE         ,RENEE,SPARKS,,,,53126,WI,,2629305176,,,,,,,,,,,,,,,,,Adult Day Care,,,,2308 RAYMOND AVE              ,,,FRANKSVILLE         ,RACINE              ,SOUTHEASTERN REGION      ,WI,,53126,,42.746882,-88.020236,Franksville
ADULT DAY CENTER OF PORTAGE COUNTY,SHARON,ANDERSON,,,,,1519 WATER STREET             ,,STEVENS POINT       ,TONIA,SIMMONS,,,,54481,WI,,7153461401,,,,,,,,,,,,,,,,,Adult Day Care,,0,0,1519 WATER STREET             ,,,STEVENS POINT       ,PORTAGE             ,NORTHEASTERN REGION      ,WI,,54481,,44.51951270000001,-89.5821017,
ADULT DAY SERVICES OF WISCONSIN LLC,LATASHA,HINES,,,,,P O BOX 13701                 ,,WAUWATOSA           ,LATASHA,HINES,,,,53213,WI,,4144861171,,,,,,,,,,,,,,,,,Adult Day Care,,,,206 E LINCOLN AVE             ,,,MILWAUKEE           ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53207,,43.0031347,-87.90771430000001,Bay View
ALEXIAN VILLAGE ADULT DAY CARE GRANDVIEW ROOM,GREG,HAYES,,,,,9255 N 76TH ST                ,,MILWAUKEE           ,LAURA,VAN TASSEL,,,,53223,WI,,4143575105,,,,,,,,,,,,,,,,,Adult Day Care,,,,9225 N 76TH ST                ,,,MILWAUKEE           ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53223,,43.1858654,-88.0059069,Northridge
ALL DAY ADULT CARE LLC,JAMIE,BOBBE,,,,,N4901 DAM ROAD,,DELAVAN,PHILIP,ZWIEG,,,,53115,WI,,2627284548,,,,,,,,,,,,,,,,,Adult Day Care,,,,N4901 DAM ROAD,,,DELAVAN,WALWORTH            ,SOUTHERN REGION          ,WI,,53115,,42.6694559,-88.650514,
ALMOST HOME ADULT DAY CENTER                      ,ANNE,OSWALD-BALSAVICH,,,,,PO BOX 450                    ,,PARK FALLS          ,TERRI,MORGAN,,,,54552,WI,,7157623200,,,,,,,,,,,,,,,,,Adult Day Care,,0,0,1181 NORTH 4TH AVENUE         ,,,PARK FALLS          ,PRICE               ,WESTERN REGION           ,WI,,54552,,45.9467047,-90.463814,
ALZHEIMERS ADULT DAY PROGRAM,STEVE,MCCARTHY,,,,,2900 CURRY LANE               ,,GREEN BAY           ,STEVE,MCCARTHY,,,,54311,WI,,9204943385,,,,,,,,,,,,,,,,,Adult Day Care,,,,1538 WESTERN AVE              ,,,GREEN BAY           ,BROWN               ,NORTHEASTERN REGION      ,WI,,54303,,44.5262945,-88.060296,
ALZHEIMERS DAY RESPITE PROGRAM,SUSAN,MILLER,,,,,P O BOX 453                   ,,SPOONER             ,RESPITE PROG,ALZHEIMERS DAY,,,,54801,WI,,7154162942,,,,,,,,,,,,,,,,,Adult Day Care,,,,1790 SCRIBNER STREET,,,SPOONER             ,WASHBURN            ,WESTERN REGION           ,WI,,54801,,45.8370204,-91.88714859999999,
ANCHORAGE HOMES ADULT DAY CENTER,RONNETTE L,NELSON,,,,,5340 W MELVINA ST,,MILWAUKEE,LUREAN L,NELSON SLOCUM,,,,53216,WI,,4145508098,,,,,,,,,,,,,,,,,Adult Day Care,,,,6435 W CAPITOL DR,,,MILWAUKEE,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53216,,43.089629,-87.9930679,Dineen Park
ANNICES OPEN ARMS LLC,ANNICE,SOWERS,,,,,4930 N 58TH ST,,MILWAUKEE,ANNICE,SOWERS,,,,53218,WI,,4145366238,,,,,,,,,,,,,,,,,Adult Day Care,,,,4930 N 58TH ST,,,MILWAUKEE,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53218,,43.1072,-87.984682,Hampton Heights
ANOTHER CHANCE 2 ADULT DAY CARE LLC,NICOLE,HAMPTON,,,,,3916 N 24TH PLACE,,MILWAUKEE,GWEN,SANIFORD,,,,53206,WI,,4147360462,,,,,,,,,,,,,,,,,Adult Day Care,,,,3916 N 24TH PLACE,,,MILWAUKEE,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53206,,43.08842509999999,-87.9432597,Franklin Heights
APTITUDES,CHRISTINE,KLITZKIE,,,,,PO BOX 84                     ,,FORT ATKINSON       ,CHRISTINE,KLITZKIE,,,,53538,WI,,9205638554,,,,,,,,,,,,,,,,,Adult Day Care,,,,426 MC MILLEN ST              ,,,FORT ATKINSON       ,JEFFERSON           ,SOUTHERN REGION          ,WI,,53538,,42.93394199999999,-88.8267225,
ASPIRUS LANGLADE ADULT DAY CENTER,DAVE,SCHNEIDER,,,,,112 E 5TH AVE,,ANTIGO,KERRI,MATZ,,,,54409,WI,,7156270657,,,,,,,,,,,,,,,,,Adult Day Care,,,,519 FLIGHT RD,,,ANTIGO,LANGLADE            ,WESTERN REGION           ,WI,,54409,,45.1473484,-89.134464,
ASPIRUS PLEASANT VIEW REGENCY ADULT DAY CTR,RHONDA,KOZIK,,,,,595 PETERSON DRIVE,,PHILLIPS,RHONDA,KOZIK,,,,54555,WI,,7153396285,,,,,,,,,,,,,,,,,Adult Day Care,,,,615 PETERSON AVENUE           ,,,PHILLIPS            ,PRICE               ,WESTERN REGION           ,WI,,54555,,45.682094,-90.3882167,
AURORA MEDICAL CENTER ADULT DAY SERVICES,KAREN,BIALAS,,,,,1032 E SUMNER ST              ,,HARTFORD            ,KAREN,BIALAS,,,,53027,WI,,2626705105,,,,,,,,,,,,,,,,,Adult Day Care,,,,1022 E SELL DR                ,,,HARTFORD            ,WASHINGTON          ,NORTHEASTERN REGION      ,WI,,53027,,43.3195823,-88.3603526,
BEKUS ADULT DAY PROGRAM LLC,ETTA,ROBERTSON,,,,,4425 N 63RD ST,,MILWAUKEE,ETTA,ROBERTSON,,,,53218,WI,,4143667309,,,,,,,,,,,,,,,,,Adult Day Care,,,,4425 N 63RD ST,,,MILWAUKEE,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53218,,43.09789789999999,-87.9908933,Capitol Heights
BENEVOLENCE ADULT DAY CARE,HAL,BROWN,,,,,914 LAURIE DR,,MADISON,MELVIS,TAZIFUA,,,,53711,WI,,6084420253,,,,,,,,,,,,,,,,,Adult Day Care,,,,914 LAURIE DR,,,MADISON,DANE                ,SOUTHERN REGION          ,WI,,53711,,43.0453279,-89.492992,Greentree
BETHESDA SENIOR CENTER,HOSEA,BATES,,,,,2845 W FOND DU LAC AVE,,MILWAUKEE,HOSEA,BATES,,,,53210,WI,,4144453019,,,,,,,,,,,,,,,,,Adult Day Care,,,,2845 W FOND DU LAC AVE,,,MILWAUKEE,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53210,,43.0688466,-87.94956719999999,Park West
BLOOMER ADULT DAY SERVICES                        ,BETH,PETERSON,,,,,917 15TH AVENUE               ,,BLOOMER             ,BETH,PETERSON,,,,54724,WI,,7155681000,,,,,,,,,,,,,,,,,Adult Day Care,,,,917 15TH AVENUE               ,,,BLOOMER             ,CHIPPEWA            ,WESTERN REGION           ,WI,,54724,,45.1014604,-91.483609,
CAHOOTS 2 ADULT DAY SERVICE,LAURIE,HAAS JAKUSZ,,,,,PO BOX 313,,AMHERST,LAURIE,HAAS JAKUSZ,,,,54406,WI,,7158244341,,,,,,,,,,,,,,,,,Adult Day Care,,,,1035 10351/2 ROYALTON ST,,,WAUPACA,WAUPACA             ,NORTHEASTERN REGION      ,WI,,54981,,44.3514394,-89.0731776,
CAHOOTS ADULT DAY SERVICE,LAURIE,HAAS JAKUSZ,,,,,PO BOX 313                    ,,AMHERST             ,LAURIE,HAAS JAKUSZ,,,,54406,WI,,7158244341,,,,,,,,,,,,,,,,,Adult Day Care,,,,137-147 N MAIN ST             ,,,AMHERST             ,PORTAGE             ,NORTHEASTERN REGION      ,WI,,54406,,44.4510736,-89.2847522,
CAPABILITIES,TROY,HANSEN,,,,,PO BOX 84                     ,,FORT ATKINSON       ,CHRISTINE,KLITZKIE,,,,53538,WI,,9205689705,,,,,,,,,,,,,,,,,Adult Day Care,,,,N2489 WENHAM RD PO BOX 84     ,,,FORT ATKINSON       ,JEFFERSON           ,SOUTHERN REGION          ,WI,,53538,,42.93038300000001,-88.754881,
CARE COVE ADULT DAY CARE,DEBRA,STOUT TEWALT,,,,,614 SOUTH ROCK AVE            ,,VIROQUA             ,DEBRA,STOUT TEWALT,,,,54665,WI,,6086376369,,,,,,,,,,,,,,,,,Adult Day Care,,,,620 SOUTH GARFIELD AVE        ,,,VIROQUA             ,VERNON              ,WESTERN REGION           ,WI,,54665,,43.55041,-90.8927473,
CARING PLACE (THE)                                ,LORI,WETZEL,,,,,810 N EAST AVE                ,,WAUKESHA            ,LORI,WETZEL,,,,53186,WI,,2625426388,,,,,,,,,,,,,,,,,Adult Day Care,,0,0,810 N EAST AVE                ,,,WAUKESHA            ,WAUKESHA            ,SOUTHERN REGION          ,WI,,53186,,43.01110569999999,-88.2275181,
CARING TREE ADULT CENTER (THE),DEBBIE,ARNDT,,,,,855 SOUTH MAIN STREET         ,,OCONTO FALLS        ,DEBBIE,ARNDT,,,,54154,WI,,9208488885,,,,,,,,,,,,,,,,,Adult Day Care,,,,512 CALDWELL AVENUE           ,,,OCONTO FALLS        ,OCONTO              ,NORTHEASTERN REGION      ,WI,,54154,,44.87707229999999,-88.1402461,
CATHOLIC CHARITIES ADULT DAY CENTER,JACKSON,FONDER,,,,,5401 FEN OAK DR,,MADISON,CRICKET,HESSELBERG,,,,53718,WI,,6086637117,,,,,,,,,,,,,,,,,Adult Day Care,,,,5401 FEN OAK DR,,,MADISON,DANE                ,SOUTHERN REGION          ,WI,,53718,,43.05636020000001,-89.287767,
CATHOLIC CHARITIES ADULT DAY SERVICES,ANNETTE,JANKOWSKI,,,,,1919 N 60th Street,,Milwaukee,ANNETTE,JANKOWSKI,,,,53209,WI,,4147716063,,,,,,,,,,,,,,,,,Adult Day Care,,0,0,1919 N 60TH ST                ,,,MILWAUKEE           ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53208,,43.0559627,-87.98772149999999,Washington Highlands
CEDAR SHORES FAMILY ADULT DAY CARE,NANCY,HELMS,,,,,518 SCHOFIELD STREET ,,CHETEK              ,NANCY,HELMS,,,,54728,WI,,7157900491,,,,,,,,,,,,,,,,,Adult Day Care,,,,518 SCHOFIELD STREET,,,CHETEK              ,BARRON              ,WESTERN REGION           ,WI,,54728,,45.3228999,-91.6560928,
CENTER FOR HEALTHY AGING,AMANDA,BANDKOWSKI,,,,,2020 W WELLS ST               ,,MILWAUKEE           ,DR HOWARD,GARBER,,,,53233,WI,,4149372035,,,,,,,,,,,,,,,,,Adult Day Care,,,,2020 W WELLS ST               ,,,MILWAUKEE           ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53233,,43.04051569999999,-87.93857249999999,Avenues West
CHONG TOUS ELDERLY CENTER LLC,LEE,LO,,,,,10725 ROLLING MEADOWS LANE,,WAUSAU,LEE,LO,,,,54401,WI,,7155518762,,,,,,,,,,,,,,,,,Adult Day Care,,,,2221 GRAND AVENUE,,,WAUSAU,MARATHON            ,WESTERN REGION           ,WI,,54403,,44.9339238,-89.6149678,
CHURCH STREET COMMUNITY CLUB,ROSEMARIE,THESING,,,,,PO BOX 310                    ,,PIGEON FALLS        ,ROSEMARIE,THESING,,,,54760,WI,,7159832293,,,,,,,,,,,,,,,,,Adult Day Care,,,,13197 CHURCH STREET           ,,,PIGEON FALLS        ,TREMPEALEAU         ,WESTERN REGION           ,WI,,54760,,44.4240793,-91.20832510000001,
CLEMENT MANOR ADULT DAY SERVICES,DENNIS,FERGER,,,,,3939 S 92ND ST                ,,GREENFIELD          ,DENNIS,FERGER,,,,53228,WI,,4145467366,,,,,,,,,,,,,,,,,Adult Day Care,,,,3939 S 92ND ST                ,,,GREENFIELD          ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53228,,42.97211,-88.0296429,
COLONIAL CLUB SENIOR ACTIVITY CENTER INC          ,ROBERT,POWER,,,,,301 BLANKENHEIM LA            ,,SUN PRAIRIE         ,ROBERT,POWER,,,,53590,WI,,6088374611,,,,,,,,,,,,,,,,,Adult Day Care,,0,0,301 BLANKENHEIM LA            ,,,SUN PRAIRIE         ,DANE                ,SOUTHERN REGION          ,WI,,53590,,43.183155,-89.2053098,
COMMUNITY CARE ADULT DAY HEALTH,SIMONA,JOHNSON,,,,,1801 DOLPHIN DR   ,,WAUKESHA,JAMIE,AHLBORN,,,,53186,WI,,2629538500,,,,,,,,,,,,,,,,,Adult Day Care,,,,1801 DOLPHIN DR               ,,,WAUKESHA            ,WAUKESHA            ,SOUTHERN REGION          ,WI,,53186,,43.01912350000001,-88.1961267,
COMPANION DAY SERVICES,SHANNON,SOYK,,,,,905 TINY TIGERS COURT         ,,MARSHFIELD          ,SHANNON,SOYK,,,,54449,WI,,7153842115,,,,,,,,,,,,,,,,,Adult Day Care,,,,905 TINY TIGERS COURT         ,,,MARSHFIELD          ,WOOD                ,NORTHEASTERN REGION      ,WI,,54449,,44.671587,-90.158221,
COULEE REGION ADULT DAY CENTER,KRISTY,JORDAN,,,,,1062 OAK FOREST DR  STE 160   ,,ONALASKA            ,AMY,KEPLER,,,,54650,WI,,6085192306,,,,,,,,,,,,,,,,,Adult Day Care,,,,1062 OAK FOREST DR SUITE 160  ,,,ONALASKA            ,LACROSSE            ,WESTERN REGION           ,WI,,54650,,43.87078830000001,-91.22022489999999,
