row_id,Facility ID,Facility Name,Street,City,State,Zip,Phone,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,MailingStreet,MailingCity,MailingState,MailingZip,LicenseePhone,Class,Gender,Capacity,LowRate,HighRate,DateProbationaryIssued,DateRegularIssued,reg_name,TRAUMATIC BRAIN INJURY,TERMINALLY ILL,PUBLIC FUNDING,PHYSICALLY DISABLED,IRREVERSIBLE DEMENTIA/ALZHEIMER'S,EMOTIONALLY DISTURBED/MENTAL ILLNESS,DEVELOPMENTALLY DISABLED,ALCOHOL/DRUG DEPENDENT,ADVANCED AGED,facility_type
USA-WI-48-Facilities-48-AdultDayCare-1,10452,ABUNDANT BLESSINGS DAY SERVICES INC,2308 RAYMOND AVE              ,FRANKSVILLE         ,WI,53126,2629305176,RACINE              ,SPARKS,RENEE,ABUNDANT BLESSINGS DAY SERVICES INC                         ,SPARKS,RENEE,SPARKS,RENEE,2308 RAYMOND AVE              ,FRANKSVILLE         ,WI,53126,2629305176,ADC                           ,B,8,,,,10-Feb-04,SOUTHEASTERN REGION      ,,,1,,,,1,,,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-2,600005,ADULT DAY CENTER OF PORTAGE COUNTY,1519 WATER STREET             ,STEVENS POINT       ,WI,54481,7153461401,PORTAGE             ,ANDERSON,SHARON,AGING & DISABILITY RESOURCE CTR PORTAGE CTY                 ,,,SIMMONS,TONIA,1519 WATER STREET             ,STEVENS POINT       ,WI,54481,7153461401,ADC                           ,B,40,0,0,,29-Nov-90,NORTHEASTERN REGION      ,,,,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-3,14456,ADULT DAY SERVICES OF WISCONSIN LLC,206 E LINCOLN AVE             ,MILWAUKEE           ,WI,53207,4144861171,MILWAUKEE           ,HINES,LATASHA,ADULT DAY SERVICES OF WISCONSIN LLC                         ,HINES,LATASHA,HINES,LATASHA,P O BOX 13701                 ,WAUWATOSA           ,WI,53213,4142411103,ADC                           ,B,68,,,,7-Jan-14,SOUTHEASTERN REGION      ,1,1,1,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-4,11164,ALEXIAN VILLAGE ADULT DAY CARE GRANDVIEW ROOM,9225 N 76TH ST                ,MILWAUKEE           ,WI,53223,4143575105,MILWAUKEE           ,HAYES,GREG,ALEXIAN VILLAGE OF MILWAUKEE INC                            ,,,VAN TASSEL,LAURA,9255 N 76TH ST                ,MILWAUKEE           ,WI,53223,4143559300,ADC                           ,B,86,,,,26-Jan-06,SOUTHEASTERN REGION      ,,,1,1,,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-5,16824,ALL DAY ADULT CARE LLC,N4901 DAM ROAD,DELAVAN,WI,53115,2627284548,WALWORTH            ,BOBBE,JAMIE,ALL DAY ADULT CARE LLC,ZWIEG,PHILIP,ZWIEG,PHILIP,N4901 DAM ROAD,DELAVAN,WI,53115,2627282171,ADC                           ,B,17,,,,9-Aug-17,SOUTHERN REGION          ,1,1,,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-6,600012,ALMOST HOME ADULT DAY CENTER                      ,1181 NORTH 4TH AVENUE         ,PARK FALLS          ,WI,54552,7157623200,PRICE               ,OSWALD-BALSAVICH,ANNE,ALMOST HOME ADULT DAY CENTER                                ,,,MORGAN,TERRI,PO BOX 450                    ,PARK FALLS          ,WI,54552,7157623200,ADC                           ,B,14,0,0,,20-Dec-90,WESTERN REGION           ,,,1,1,,1,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-7,11303,ALZHEIMERS ADULT DAY PROGRAM,1538 WESTERN AVE              ,GREEN BAY           ,WI,54303,9204943385,BROWN               ,MCCARTHY,STEVE,NEW CURATIVE REHABILITATION INC                             ,,,MCCARTHY,STEVE,2900 CURRY LANE               ,GREEN BAY           ,WI,54311,9204689129,ADC                           ,B,30,,,,28-Feb-06,NORTHEASTERN REGION      ,1,1,1,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-8,10161,ALZHEIMERS DAY RESPITE PROGRAM,1790 SCRIBNER STREET,SPOONER             ,WI,54801,7154162942,WASHBURN            ,MILLER,SUSAN,ALZHEIMERS DAY RESPITE PROGRAM                              ,,,ALZHEIMERS DAY,RESPITE PROG,P O BOX 453                   ,SPOONER             ,WI,54801,7156357788,ADC                           ,B,16,,,,1-Jun-04,WESTERN REGION           ,,,1,,1,,,,,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-9,16227,ANCHORAGE HOMES ADULT DAY CENTER,6435 W CAPITOL DR,MILWAUKEE,WI,53216,4145508098,MILWAUKEE           ,NELSON,RONNETTE L,,NELSON SLOCUM,LUREAN L,NELSON SLOCUM,LUREAN L,5340 W MELVINA ST,MILWAUKEE,WI,53216,4145508098,ADC                           ,B,50,,,,12-Sep-16,SOUTHEASTERN REGION      ,1,,,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-10,16484,ANNICES OPEN ARMS LLC,4930 N 58TH ST,MILWAUKEE,WI,53218,4145366238,MILWAUKEE           ,SOWERS,ANNICE,ANNICES OPEN ARMS LLC,SOWERS,ANNICE,SOWERS,ANNICE,4930 N 58TH ST,MILWAUKEE,WI,53218,4145366238,ADC                           ,B,4,,,,2-May-17,SOUTHEASTERN REGION      ,,,,,,,,,1,Adult Day Care
