row_id,Facility ID,Facility Name,Street,City,State,Zip,Phone,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,MailingStreet,MailingCity,MailingState,MailingZip,LicenseePhone,Class,Gender,Capacity,LowRate,HighRate,DateProbationaryIssued,DateRegularIssued,WAIVER CERTIFIED INDEPENDENT CBRF APTS,TRAUMATIC BRAIN INJURY,TERMINALLY ILL,PUBLIC FUNDING,PREGNANT WOMEN/COUNSELLING,PHYSICALLY DISABLED,IRREVERSIBLE DEMENTIA/ALZHEIMER'S,EMOTIONALLY DISTURBED/MENTAL ILLNESS,DEVELOPMENTALLY DISABLED,CORRECTIONAL CLIENTS,ALCOHOL/DRUG DEPENDENT,ADVANCED AGED,facility_type
USA-WI-48-Facilities-48-AdultFamilyHome-1,15708,1 HEAVENLY DIVINE ADULT FAMILY HOMES LLC,4637 N 24TH PL,MILWAUKEE,WI,53209,4143503558,MILWAUKEE           ,JONES,KATHY,1 HEAVENLY DIVINE ADULT FAMILY HOMES LLC,JONES,KATHY S,JONES,KATHY,PO BOX 16545,MILWAUKEE,WI,53216,4143503558,AFH,B,4,2485,5125,,1-Jul-15,,,,,,3,3,3,3,,,3,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-2,15824,1 STEP AWAY FROM HOME ASSISTED LIVING LLC,1566 W GRANGE AVE,MILWAUKEE,WI,53221,4148814057,MILWAUKEE           ,BOYD WEST,ULANDA,1 STEP AWAY FROM HOME ASSISTED LIVING LLC,BOYD WEST,ULANDA,BOYD WEST,ULANDA,2222 W BOLIVAR AVE UNIT 101,MILWAUKEE,WI,53221,4148396457,AFH,B,4,9486,10850,,10-Aug-16,,3,,3,,3,3,3,3,3,3,3,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-3,15825,1 STEP AWAY FROM HOME ASSISTED LIVING LLC II,2222 W BOLIVAR AVE UNIT 102,MILWAUKEE,WI,53221,4148814057,MILWAUKEE           ,BOYD WEST,ULANDA,1 STEP AWAY FROM HOME ASSISTED LIVING LLC,BOYD WEST,ULANDA,BOYD WEST,ULANDA,2222 W BOLIVAR AVE UNIT 101,MILWAUKEE,WI,53221,4148396457,NONAMBULATORY,B,4,9486,10850,,6-Oct-16,,3,,3,,3,3,,3,3,,3,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-4,16620,1 VILLARD STREET MANOR,5277 N 29TH STREET APARTMENT 1,MILWUAKEE,WI,53208,4148409060,MILWAUKEE           ,MCCLENDON  III,CORNELIUS,1 VILLARD STREET MANOR LLC,MCCLENDON III,CORNELIUS,MCCLENDON  III,CORNELIUS,1850 W FOND DU LAC AVE SUITE E,MILWAUKEE,WI,53205,4148409060,NONAMBULATORY,B,3,3000,6500,,26-Jun-17,,3,3,,,3,3,3,3,3,3,3,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-5,9829,107TH ST HOUSE,2149 S 107TH ST               ,WEST ALLIS          ,WI,53227,4144757801,MILWAUKEE           ,VECITIS,CHRISTINE,NEXT STEP IN COMMUNITY LIVING LLC                           ,VECITIS,CHRISTINE,VECITIS,CHRISTINE,5208 W BLUEMOUND RD           ,MILWAUKEE           ,WI,532083009,4144757801,AFH,M,4,4200,4500,,24-Sep-02,,,,,,,,,3,,,,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-6,12858,117TH STREET AFH LLC,1319 S 117TH ST               ,WEST ALLIS          ,WI,53214,4147713667,MILWAUKEE           ,RIEGLER,JEROLD,NEXT STEP IN RESIDENTIAL SERVICES                           ,RIEGLER,APRIL,RIEGLER,APRIL,P O  BOX 14185                ,WEST ALLIS          ,WI,53214,2627841840,AFH,M,4,3900,4865,,29-Jun-09,,,,3,,,,,3,,,,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-7,10229,118TH STREET HOUSE,1125 S 118TH ST               ,WEST ALLIS          ,WI,53214,4144763078,MILWAUKEE           ,RIEGLER,JEROLD,NEXT STEP IN RESIDENTIAL SERVICES LLC                       ,RIEGLER,APRIL,RIEGLER,APRIL,PO BOX 14185                  ,WEST ALLIS          ,WI,53214,2627841840,AFH,B,4,4800,5800,,23-Oct-03,,,,3,,3,,,3,,,,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-8,14387,15TH AVENUE ADULT FAMILY HOME,2903 15TH AVE                 ,SOUTH MILWAUKEE     ,WI,53172,2624176273,MILWAUKEE           ,HARRIS GRAYS,BRENDA,THE GRAYS GROUP LLC                                         ,GRAYS,JIMMIE,HARRIS GRAYS,BRENDA,5221 GALLANT FOX LN           ,RACINE              ,WI,53402,2624978448,AFH,B,4,4600,6000,,10-Dec-12,,,,3,,,3,3,3,,,3,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-9,390116,17TH AVENUE ADULT FAMILY HOME,233 S 17TH AVE                ,WEST BEND           ,WI,53095,2623381072,WASHINGTON          ,MCCARDELL,KATHY,BRIDGES OF WISCONSIN INC                                    ,MCCARDELL,KATHY,MCCARDELL,KATHY,1625 E WASHINGTON ST STE 111,WEST BEND           ,WI,53095,2623381072,AFH,M,4,6720,6720,,1-Feb-96,,,,3,,3,,,3,,,,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-10,15993,1ST CHOICE ADULT FAMILY,3341 HAMLIN,RACINE,WI,53403,2626769756,RACINE              ,GRIFFIN,RHONDA,1ST CHOICE ADULT FAMILY,GRIFFIN,RHONDA,GRIFFIN,RHONDA,1536 TAYLOR AVE,RACINE,WI,53403,2628221625,NONAMBULATORY,B,4,3000,5000,,28-Nov-16,,3,3,,,3,3,3,3,,,3,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-11,13986,20TH STREET HOUSE,1113 N 20TH STREET            ,SUPERIOR            ,WI,54880,7153920101,DOUGLAS             ,GLITSOS,PATRICIA,ENCOMPASS HEALTHCARE & ASSISTED LIVING INC            ,NYHUS,TYLER,NYHUS,TYLER,1225 TOWER AVE  SUITE 228     ,SUPERIOR            ,WI,54880,7153922780,AFH,B,4,4000,10000,,7-Dec-11,,,,3,,3,,3,3,,,,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-12,14611,28 PINES AFH,N 937 STATE HWY 28            ,ADELL               ,WI,53001,2626892523,SHEBOYGAN           ,PFRANG,CHARLES,TCG HOLDINGS 14 LLC                                         ,PFRANG,CHARLES,PFRANG,CHARLES,127 N FRANKLIN ST STE 206     ,PORT WASHINGTON     ,WI,53074,2622681036,AFH,B,4,4000,15000,,5-Jun-13,,,,3,,,,3,3,,,,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-13,13128,28TH STREET LLC,2323 N 28TH STREET            ,WAUSAU              ,WI,54403,7152980239,MARATHON            ,BAKER,ANGELA,28TH STREET LLC                                             ,,,MCDONALD,MARK,2323 N 28TH STREET            ,WAUSAU              ,WI,54403,7155513840,AFH,M,4,1500,26000,,11-Feb-10,,,,3,,3,,,3,,,,Adult Family Home
USA-WI-48-Facilities-48-AdultFamilyHome-14,14318,2ND STREET,3111 2ND ST S                 ,WISCONSIN RAPIDS    ,WI,54494,7157120828,WOOD                ,CRONKRITE,WHITNEY,CLARITY CARE INC                                            ,DETERT,SANDRA,NELSON,RAYNE,424 WASHINGTON AVE            ,OSHKOSH             ,WI,54901,9202366560,AFH,F,4,3130.79,3896.07,,4-Sep-12,,3,,3,,3,3,3,3,,,3,Adult Family Home
