name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
2ND CENTURY,ANTONIO,DESHAZOR,,,,,P O BOX 20007                 ,,GREENFIELD          ,KARL,RAJANI,,,,53220,WI,,4143215936,,,,,,,,,,,,,,,,,Residential Care,,2550,3565,2187 S 85TH ST                ,,,WEST ALLIS          ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53227,,43.00409639999999,-88.0188632,
A HOME IN THE NORTHWOODS LLC,MICHAEL,HERR,,,,,717 INDIANA STREET,,EAGLE RIVER         ,DIANNE,HERR,,,,54521,WI,,7153372035,,,,,,,,,,,,,,,,,Residential Care,,2800,4800,717 INDIANA STREET,,,EAGLE RIVER         ,VILAS               ,WESTERN REGION           ,WI,,54521,,45.9252715,-89.25230289999999,
A NURTURING HOME AWAY FROM HOME INC,LATONEY,WALKER ROBINSON,,,,,8504 W VILLARD AVE,,MILWAUKEE,MARY,MITCHELL,,,,53225,WI,,4148702207,,,,,,,,,,,,,,,,,Residential Care,,4000,5000,8225B N 107TH ST,,,MILWAUKEE,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53224,,43.16728769999999,-88.04524219999999,Granville Station
A PLACE FOR MIRACLES LIVING CENTER,TONI,HOWARD,,,,,5100 N 42ND ST                ,,MILWAUKEE           ,TONI,HOWARD,,,,53209,WI,,4144389433,,,,,,,,,,,,,,,,,Residential Care,,2400,5550,5100 N 42ND ST                ,,,MILWAUKEE           ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53209,,43.1100058,-87.9647715,Old North Milwaukee
A PLACE FOR MIRACLES LIVING CENTER II,TONI,HOWARD,,,,,5100 N 42ND ST                ,,MILWAUKEE           ,TONI,HOWARD,,,,53209,WI,,4144389433,,,,,,,,,,,,,,,,,Residential Care,,2415,3500,7022 N 43RD ST                ,,,MILWAUKEE           ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53209,,43.14552500000001,-87.965155,Town & Country Manor
A PLACE FOR MIRACLES LIVING CENTER III,TONI,HOWARD,,,,,5100 N 42ND ST,,MILWAUKEE,TONI,HOWARD,,,,53209,WI,,4144440234,,,,,,,,,,,,,,,,,Residential Care,,2700,3500,3927 W ROOSEVELT DR,,,MILWAUKEE,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53216,,43.08713230000001,-87.9628038,Roosevelt Grove
A TOUCH OF HOME 1,THOMAS,SHILTS,,,,,M225 TURTLE RIDGE RD,,MARSHFIELD,TOM,SHILTS,,,,54449,WI,,7153872080,,,,,,,,,,,,,,,,,Residential Care,,2400,3400,9787 W IVES ST,,,MARSHFIELD,WOOD                ,NORTHEASTERN REGION      ,WI,,54449,,44.67611899999999,-90.2026939,
A TOUCH OF HOME 2                                 ,THOMAS,SHILTS,,,,,M225 TURTLE RIDGE RD          ,,MARSHFIELD          ,CATHIE,SHILTS,,,,54449,WI,,7153844851,,,,,,,,,,,,,,,,,Residential Care,,2600,3600,720 CYPRESS AVE               ,,,MARSHFIELD          ,WOOD                ,NORTHEASTERN REGION      ,WI,,54449,,44.6630261,-90.20155790000001,
A TOUCH OF HOME 3                                 ,TOM,SHILTS,,,,,M225 TURTLE RIDGE RD          ,,MARSHFIELD          ,CATHIE,SHILTS,,,,54449,WI,,7152070153,,,,,,,,,,,,,,,,,Residential Care,,2800,3800,612 E 25TH ST                 ,,,MARSHFIELD          ,WOOD                ,NORTHEASTERN REGION      ,WI,,54449,,44.64453899999999,-90.17228779999999,
ABBYHAVEN                                         ,DAN,HOECHERL,,,,,4405 S DEERWOOD DR            ,,NEW BERLIN          ,DAN,HOECHERL,,,,53151,WI,,4144275432,,,,,,,,,,,,,,,,,Residential Care,,3278,3278,4865 S 95TH ST                ,,,GREENFIELD          ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53228,,42.9561852,-88.03213009999999,
