row_id,Facility ID,Facility Name,Street,City,State,Zip,Phone,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,MailingStreet,MailingCity,MailingState,MailingZip,LicenseePhone,Class,Gender,Capacity,LowRate,HighRate,DateProbationaryIssued,DateRegularIssued,Region,WAIVER CERTIFIED INDEPENDENT CBRF APTS,TRAUMATIC BRAIN INJURY,TERMINALLY ILL,PUBLIC FUNDING,PREGNANT WOMEN/COUNSELLING,PHYSICALLY DISABLED,IRREVERSIBLE DEMENTIA/ALZHEIMER'S,EMOTIONALLY DISTURBED/MENTAL ILLNESS,DEVELOPMENTALLY DISABLED,CORRECTIONAL CLIENTS,ALCOHOL/DRUG DEPENDENT,ADVANCED AGED,facility_type
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-1,13598,2ND CENTURY,2187 S 85TH ST                ,WEST ALLIS          ,WI,53227,4143215936,MILWAUKEE           ,DESHAZOR,ANTONIO,MATT TALBOT RECOVERY SERVICES INC                           ,RAJANI,KARL,RAJANI,KARL,P O BOX 20007                 ,GREENFIELD          ,WI,53220,4143425474,CLASS AA (AMBULATORY)         ,B,8,2550,3565,11-Feb-11,1-Mar-12,SOUTHEASTERN REGION      ,,,,6,,,,,,,6,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-2,14143,A HOME IN THE NORTHWOODS LLC,717 INDIANA STREET,EAGLE RIVER         ,WI,54521,7153372035,VILAS               ,HERR,MICHAEL,A HOME IN THE NORTHWOODS LLC      ,,,HERR,DIANNE,717 INDIANA STREET,EAGLE RIVER         ,WI,54521,7153372035,CLASS CNA (NONAMBULATORY)     ,B,15,2800,4800,2-Jul-12,1-Jul-13,WESTERN REGION           ,,,6,,,,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-3,15887,A NURTURING HOME AWAY FROM HOME INC,8225B N 107TH ST,MILWAUKEE,WI,53224,4148702207,MILWAUKEE           ,WALKER ROBINSON,LATONEY,,MITCHELL,MARY,MITCHELL,MARY,8504 W VILLARD AVE,MILWAUKEE,WI,53225,4148702207,CLASS ANA (NONAMBULATORY)     ,B,16,4000,5000,23-Jan-17,,SOUTHEASTERN REGION      ,,6,,,,6,6,6,6,,6,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-4,9870,A PLACE FOR MIRACLES LIVING CENTER,5100 N 42ND ST                ,MILWAUKEE           ,WI,53209,4144389433,MILWAUKEE           ,HOWARD,TONI,A PLACE FOR MIRACLES LIVING CENTER INC                      ,HOWARD,TONI,HOWARD,TONI,5100 N 42ND ST                ,MILWAUKEE           ,WI,53209,4147883068,CLASS CNA (NONAMBULATORY)     ,B,6,2400,5550,9-Jun-03,1-Jan-04,SOUTHEASTERN REGION      ,,,,6,,,6,6,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-5,11085,A PLACE FOR MIRACLES LIVING CENTER II,7022 N 43RD ST                ,MILWAUKEE           ,WI,53209,4144389433,MILWAUKEE           ,HOWARD,TONI,A PLACE FOR MIRACLES LIVING CENTER INC                      ,HOWARD,DAVID & TONI,HOWARD,TONI,5100 N 42ND ST                ,MILWAUKEE           ,WI,53209,4147883068,CLASS CA (AMBULATORY)         ,B,7,2415,3500,30-Mar-06,1-Oct-06,SOUTHEASTERN REGION      ,,,,6,,,,,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-6,11885,A PLACE FOR MIRACLES LIVING CENTER III,3927 W ROOSEVELT DR,MILWAUKEE,WI,53216,4144440234,MILWAUKEE           ,HOWARD,TONI,A PLACE FOR MIRACLES LIVING CENTER III LLC,HOWARD,DAVID & TONI,HOWARD,TONI,5100 N 42ND ST,MILWAUKEE,WI,53209,4147883068,CLASS CA (AMBULATORY)         ,B,6,2700,3500,1-May-07,1-Nov-07,SOUTHEASTERN REGION      ,,,,6,,,6,6,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-7,15266,A TOUCH OF HOME 1,9787 W IVES ST,MARSHFIELD,WI,54449,7153872080,WOOD                ,SHILTS,THOMAS,T & C ADULT HOMES,SHILTS,THOMAS,SHILTS,TOM,M225 TURTLE RIDGE RD,MARSHFIELD,WI,54449,7153162716,CLASS CNA (NONAMBULATORY)     ,B,8,2400,3400,6-Oct-14,,NORTHEASTERN REGION      ,,,6,6,,6,6,6,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-8,13696,A TOUCH OF HOME 2                                 ,720 CYPRESS AVE               ,MARSHFIELD          ,WI,54449,7153844851,WOOD                ,SHILTS,THOMAS,,SHILTS,THOMAS/CATHERIN,SHILTS,CATHIE,M225 TURTLE RIDGE RD          ,MARSHFIELD          ,WI,54449,7153872080,CLASS CNA (NONAMBULATORY)     ,B,8,2600,3600,22-Aug-11,1-Sep-12,NORTHEASTERN REGION      ,,,6,,,6,6,6,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-9,14266,A TOUCH OF HOME 3                                 ,612 E 25TH ST                 ,MARSHFIELD          ,WI,54449,7152070153,WOOD                ,SHILTS,TOM,T & C ADULT HOMES                                           ,,,SHILTS,CATHIE,M225 TURTLE RIDGE RD          ,MARSHFIELD          ,WI,54449,7153872080,CLASS CNA (NONAMBULATORY)     ,B,8,2800,3800,11-Jul-12,1-Jul-13,NORTHEASTERN REGION      ,,,6,,,6,6,,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-10,310658,ABBYHAVEN                                         ,4865 S 95TH ST                ,GREENFIELD          ,WI,53228,4144275432,MILWAUKEE           ,HOECHERL,DAN,GOLDEN CARE INC                                             ,HOECHERL,JOANNE,HOECHERL,DAN,4405 S DEERWOOD DR            ,NEW BERLIN          ,WI,53151,2627826068,CLASS CS (SEMIAMBULATORY)     ,B,8,3278,3278,9-Oct-97,1-May-98,SOUTHEASTERN REGION      ,,,,,,6,6,6,6,,,6,Residential Care
