row_id,LICENSE NUMBER,name,STREET,PO BOX,CITYSTZIP,BEDS,COUNTY,REGION,TELEPHONE,ADMINISTRATOR,CERTIFICATION,FAXPHONE,OWNCOMP,OWNEROFDESC,OWNCATDESC,OWNEND,MCARE,FAC_CITY,OWNER,LICISSUED,LICENSURE,facility_type
USA-WI-48-Facilities-48-NursingHomes-1,Lic. 940,CLEARVIEW HOME CORP,"935 MAIN STREET, PO BOX 180198",,"DELAFIELD, WI  53018",6 Beds,WAUKESHA,Southeastern,(262) 646-3361,Administrator: LINDA PATTISON,,FAX: (262) 646-3361,CLEARVIEW HOME CORPORATION, HEALTH CARE OP, NON PROFIT-COR,,,DELAFIELD,NONPROFIT CORPORATION,1-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-2,Lic. 5036,CLEARVIEW BEHAVIORAL HEALTH II,198 COUNTY DF,,"JUNEAU, WI  53039",10 Beds,DODGE,Southern,(920) 386-3400,Administrator: JANE HOOPER,,FAX: (920) 386-3405,DODGE COUNTY, HEALTH CARE OP, GOVERNMENT-COU,,,JUNEAU,GOVERNMENT COUNTY,30-Jul-12,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-3,Lic. 5025,RAVENWOOD BEHAVIORAL HEALTH,962 GARLAND STREET EAST,,"WEST SALEM, WI  54669",10 Beds,LA CROSSE,Southern,(608) 612-0651,Administrator: WANDA PLACHECKI,,FAX: (608) 786-1419,LA CROSSE COUNTY, HEALTH CARE OP, GOVERNMENT-COU,,,WEST SALEM,GOVERNMENT COUNTY,27-Apr-07,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-4,Lic. 5026,CLEARVIEW BEHAVIORAL HEALTH I,198 COUNTY  DF,,"JUNEAU, WI  53039",10 Beds,DODGE,Southern,(920) 386-3400,Administrator: JANE HOOPER,,FAX: (920) 386-3405,DODGE COUNTY, HEALTH CARE OP, GOVERNMENT-COU,,,JUNEAU,GOVERNMENT COUNTY,30-Jul-12,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-5,Lic. 5001,TREMPEALEAU COUNTY-IMD,W20410 STATE RD 121,,"WHITEHALL, WI  54773",112 Beds,TREMPEALEAU,Western,(715) 538-4312,Administrator: JERRY DEETZ,,FAX: (715) 538-2426,TREMPEALEAU COUNTY HEALTH CARE CENTER, HEALTH CARE OP, GOVERNMENT-COU,,,WHITEHALL,GOVERNMENT COUNTY,10-Nov-16,Skilled Care -  IMD,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-6,Lic. 2946,ZIMMERMAN NURSING HOME,617 FOURTH ST,,"REEDSBURG, WI  53959",8 Beds,SAUK,Southern,(608) 524-3664,Administrator: MARION ZIMMERMAN,,FAX: (608) 524-3828,ZIMMERMAN MARION K, HEALTH CARE OP, FOR PROFIT-IND,,,REEDSBURG,FOR PROFIT INDIVIDUAL,29-Jun-57,Intermediate Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-7,Lic. 235,HIGHLANDS AT NEWCASTLE PLACE,12600 N PORT WASHINGTON RD #300,,"MEQUON, WI  53092",47 Beds,OZAUKEE,Southeastern,(262) 387-8850,Administrator: TYLER GUDEX,525668,FAX: (262) 387-8894,"NEWCASTLE SENIOR CARE, LLC", HEALTH CARE OP,,,Title 18 SNF,MEQUON,LIMITED LIABILITY COMPANY,15-Apr-03,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-8,Lic. 2471,"CONGREGATIONAL HOME, INC",13900 W BURLEIGH RD,,"BROOKFIELD, WI  53005",66 Beds,WAUKESHA,Southeastern,(262) 781-0550,Administrator: KRIS SPRTEL,525700,FAX: (262) 781-0559,CONGREGATIONAL HOME INC, HEALTH CARE OP, NON PROFIT-CHU,,Title 18 SNF,BROOKFIELD,NONPROFIT CHURCH/CORP,29-Jul-74,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-9,Lic. 5007,MERCY MANOR TRANSITION CENTER,1000 MINERAL POINT AVE PO BOX 5003,,"JANESVILLE, WI  53547",28 Beds,ROCK,Southern,(608) 756-6050,Administrator: KATHERINE KUS,525666,FAX: (608) 755-3856,MERCY HEALTH SYSTEM CORPORATION, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF,JANESVILLE,NONPROFIT CORPORATION,30-Dec-02,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-10,Lic. 5048,GRACE LUTHERAN COMMUNITIES-PRAIRIE POINTE REHAB SUITES,286 N WILLSON DR,,"ALTOONA, WI  54720",40 Beds,EAU CLAIRE,Northern,(715) 598-7800,Administrator: RANDALL RENNOCK,525725,FAX: (715) 598-7998,GRACE LUTHERAN FOUNDATION INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF,ALTOONA,NONPROFIT CORPORATION,1-Nov-16,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-11,Lic. 5043,"THE RECOVERY INN, AN EDURO HEALTHCARE COMMUNITY",2015 E ENTERPRISE AVENUE,,"APPLETON, WI  54913",12 Beds,OUTAGAMIE,Northeastern,(920) 560-1060,Administrator: SHAENA VAN HANDEL,525720,FAX: (920) 560-1061,"FOX VALLEY TRANSITIONAL CARE, LLC", HEALTH CARE OP,,,Title 18 SNF,APPLETON,LIMITED LIABILITY COMPANY,1-Jul-15,Skilled Care,Nursing Home
