row_id,Facility ID,Facility Name,Street,City,State,Zip,Phone,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,MailingStreet,MailingCity,MailingState,MailingZip,LicenseePhone,Class,Gender,Capacity,LowRate,HighRate,DateProbationaryIssued,DateRegularIssued,Region,PUBLIC FUNDING,EMOTIONALLY DISTURBED/MENTAL ILLNESS,<>,facility_type
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-1,10271,A TOUCH OF HOME                                   ,1211 MARK AVENUE              ,TOMAH               ,WI,54660,6083725454,MONROE              ,DIETZMAN,ROBERTA,STEPHEN AND ROBERTA DIETZMAN                                ,DIETZMAN,ROBERTA,DIETZMAN,ROBERTA,1211 MARK AVENUE              ,TOMAH               ,WI,54660,7083742435,REGISTERED                    ,,24,2670,2670,,1-Jan-02,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-2,16344,ACORN HILL,430 ORBITING DR,MOSINEE,WI,54455,7156938844,MARATHON            ,BUDIMLIJA,MARGARET,WISTERIA ASSISTED LIVING LLC,BUDIMLIJA,MARGARET,BUDIMLIJA,MARGARET,430 ORBITING DR,MOSINEE,WI,54455,,CERTIFIED                     ,B,29,,,,7-Dec-16,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-3,14683,AGE WELL CENTRE FOR LIFE ENRICHMENT,246 BERGER ST                 ,GREEN BAY           ,WI,54302,9204689174,BROWN               ,ALLEN,LORI,246 BERGER LLC                                              ,,,OLIVA,MARIA,333 W WACKER DR STE 1010,CHICAGO,IL,606061284,3128370701,CERTIFIED                     ,B,59,2176,2409,,2-Jul-13,NORTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-4,10359,ALEXANDRITE MANOR VNA APARTMENTS,1537 LYON DRIVE               ,NEENAH              ,WI,54956,9207275544,WINNEBAGO           ,PICHELMEYER,THERESA,VNA APARTMENTS INC                                          ,,,PICHELMEYER,THERESA,1537 LYON DRIVE               ,NEENAH              ,WI,54956,9207275555,REGISTERED                    ,,32,2200,3000,,2-Oct-02,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-5,15109,ALLOUEZ SUNRISE VILLAGE RESIDENTIAL CARE APT,279 E ST JOSEPH ST            ,GREEN BAY           ,WI,54301,9205911822,BROWN               ,VANELZEN,AMY,ALLOUEZ SUNRISE SENIOR CARE LLC                             ,,,DOOLITTLE,AMY,W4647 CO RD KK                ,KAUKAUNA            ,WI,54130,9203372450,REGISTERED                    ,B,50,,,,30-Sep-14,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-6,10330,AMERICAN HOUSE OF BERLIN,123 S PEARL ST                ,BERLIN              ,WI,54923,9203613111,GREEN LAKE          ,MAZUR,NATHAN,SENIOR AMERICAN HOUSING INC                                 ,MAZUR,NATHAN,MAZUR,NATHAN,123 S PEARL ST,BERLIN,WI,54923,9203613111,CERTIFIED                     ,B,26,1919.68,4255.65,,28-Apr-97,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-7,11001,AMERY ASSTD LIV -RIVER BEND                       ,475 GOLF VIEW LANE            ,AMERY               ,WI,54001,7152689949,POLK                ,OLSON,DENISE,AMERY ASSISTED LIVING LLC                                   ,,,DUCKLOW,CONNIE,400 DERONDA ST                ,AMERY               ,WI,54001,7152688171,REGISTERED                    ,B,26,1990,3025,,9-May-05,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-8,12474,APARTMENTS AT ELIZABETH RESIDENCE (THE),9279 N PORT WASHINGTON RD     ,BAYSIDE             ,WI,53217,4145404141,MILWAUKEE           ,COURY,MARK,RJJG LLC                                                    ,COURY,RICHARD F,COURY,MARK,9279 N PORT WASHINGTO         ,BAYSIDE            ,WI,53217,4145404141,REGISTERED                    ,B,40,,,,21-Oct-08,SOUTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-9,15605,APPLEGATE TERRACE,3001 WESTHILL DRIVE,WAUSAU,WI,54401,4149088058,MARATHON            ,KEATING,DAVID,FMG 3001 WESTHILL DRIVE WISCONSIN LLC,,,KUNZE,KRYSTENA,3001 WESTHILL DRIVE,WAUSAU,WI,54401,4149088058,REGISTERED                    ,B,53,1537,2551,,1-Jul-15,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-10,13149,APPLETON RETIREMENT COMMUNITY,200 W PACKARD ST              ,APPLETON            ,WI,54911,9209549990,OUTAGAMIE           ,MISCHLER,AMIE,MIDWEST SENIOR LIVING LLC                                   ,,,BARMISH,JOAN,5900 MONONA DR STE 200        ,MADISON             ,WI,53716,6083161291,CERTIFIED                     ,B,104,3105,4730,,9-Mar-10,NORTHEASTERN REGION      ,2,,,Residential Care
