name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
MEMORY LANE ADULT DAY SERVICES,,,MILLIE ROUNSVILLE,,,,,,,,,,,,,,,(715) 292-6400,,,,,,,,,,,,,,,,ADC,Adult Day Care,,,,623 E 2ND AVE,,,ASHLAND, ASHLAND,,WI,,54806,USA,46.58783529999999,-90.8784455,
DAYBREAK II,,,SHELLIE LYSTE,,,,,,,,,,,,,,,(715) 537-3229,,,,,,,,,,,,,,,,ADC,Adult Day Care,0/0,,,154 MEMORIAL DRIVE,,,BARRON, BARRON,,WI,,54812,USA,45.3987862,-91.84210589999999,
CEDAR SHORES FAMILY ADULT DAY CARE,,,NANCY HELMS,,,,,,,,,,,,,,,(715) 790-0491,,,,,,,,,,,,,,,,ADC,Adult Day Care,,,,518 SCHOFIELD STREET,,,CHETEK, BARRON,,WI,,54728,USA,45.3228999,-91.6560928,
DAYBREAK I,,,SHELLIE LYSTE,,,,,,,,,,,,,,,(715) 234-7224,,,,,,,,,,,,,,,,ADC,Adult Day Care,0/0,,,12 WEST HUMBIRD STREET,,,RICE LAKE, BARRON,,WI,,54868,USA,45.5049944,-91.7343436,Historic Rice Lake
ALZHEIMERS ADULT DAY PROGRAM,,,STEVE MCCARTHY,,,,,,,,,,,,,,,(920) 494-3385,,,,,,,,,,,,,,,,ADC,Adult Day Care,,,,1538 WESTERN AVE,,,GREEN BAY, BROWN,,WI,,54303,USA,44.5262945,-88.060296,
OLDER AMERICANS PROG INHOUSE/INSIDERS,,,DENISE MISOVEC,,,,,,,,,,,,,,,(920) 468-1161,,,,,,,,,,,,,,,,ADC,Adult Day Care,0/0,,,2900 CURRY LN,,,GREEN BAY, BROWN,,WI,,54311,USA,44.52295050000001,-87.9339826,
BLOOMER ADULT DAY SERVICES,,,BETH PETERSON,,,,,,,,,,,,,,,(715) 568-1000,,,,,,,,,,,,,,,,ADC,Adult Day Care,,,,917 15TH AVENUE,,,BLOOMER, CHIPPEWA,,WI,,54724,USA,45.1014604,-91.483609,
GRACE ADULT DAY SERVICES- CHIPPEWA FALLS,,,MELANIE MILLER,,,,,P O BOX 287,,,,,,,,,,(715) 738-1925,,,,,,,,,,,,,,,,ADC,Adult Day Care,,,,2050 CTY TK I,,,CHIPPEWA FALLS, CHIPPEWA,,WI,,54729,USA,44.8669154,-91.45182640000002,
WILLOW RIDGE ADULT DAY CARE SITE III,,,JANE SCHMITZ,,,,,,,,,,,,,,,(715) 229-2172,,,,,,,,,,,,,,,,ADC,Adult Day Care,,,,237 W 6TH ST APT 1,,,NEILLSVILLE, CLARK,,WI,,54456,USA,44.56061179999999,-90.5977288,
WILLOW RIDGE ADULT DAY CARE I,,,JANICE KOMANEC,,,,,,,,,,,,,,,(715) 229-2626,,,,,,,,,,,,,,,,ADC,Adult Day Care,0/0,,,W4266 COUNTY HIGHWAY X,,,OWEN, CLARK,,WI,,54460,USA,44.945083,-90.52421799999999,
