row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,alzeimers_special_care_unit_provided,mailing_street_address,mailing_po_box,mailing_city,mailing_province,mailing_postal_code,mailing_country,street_address,po_box,city,province,postal_code,country
USA-WI-49-All-49-AdultDayCare-1,MEMORY LANE ADULT DAY SERVICES,0013827,,,,,,,,,,,MILLIE ROUNSVILLE,(715) 292-6400,,,,,,16,,, ASHLAND,,,,,,,,,,,,,,,,,,,,,,,M/F,9/1/2011,8/31/2019,,NORTHWEST WI COMMUNITY SERVICES AGENC,(715) 392-5127,MILLIE ROUNSVILLE,1118 TOWER AVENUE,SUPERIOR,WI,54880,,,ADC,IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PUBLIC FUNDING,,,,,,,,,,,,623 E 2ND AVE,,ASHLAND,WI,54806,USA
USA-WI-49-All-49-AdultDayCare-2,DAYBREAK II,500018,,,,,,,,,,,SHELLIE LYSTE,(715) 537-3229,,,,,,15,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,3/17/1997,3/31/2018,,BARRON COUNTY OFFICE ON AGING,(715) 537-6225,MARGARET SCHMIDT,335 E MONROE AVE RM 112,BARRON,WI,54812,,0/0,ADC,ADVANCED AGED; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PUBLIC FUNDING,,,,,,,,,,,,154 MEMORIAL DRIVE,,BARRON,WI,54812,USA
USA-WI-49-All-49-AdultDayCare-3,CEDAR SHORES FAMILY ADULT DAY CARE,0015103,,,,,,,,,,,NANCY HELMS,(715) 790-0491,,,,,,4,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,5/26/2014,5/31/2018,,,(715) 790-0491,NANCY HELMS,518 SCHOFIELD STREET,CHETEK,WI,54728,,,ADC,ADVANCED AGED; DEVELOPMENTALLY DISABLED,,,,,,,,,,,,518 SCHOFIELD STREET,,CHETEK,WI,54728,USA
USA-WI-49-All-49-AdultDayCare-4,DAYBREAK I,500017,,,,,,,,,,,SHELLIE LYSTE,(715) 234-7224,,,,,,15,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,3/17/1997,3/31/2018,,BARRON COUNTY OFFICE ON AGING,(715) 537-6225,MARGARET SCHMIDT,335 E MONROE AVE  RM 112,BARRON,WI,54812,,0/0,ADC,ADVANCED AGED; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PUBLIC FUNDING,,,,,,,,,,,,12 WEST HUMBIRD STREET,,RICE LAKE,WI,54868,USA
USA-WI-49-All-49-AdultDayCare-5,ALZHEIMERS ADULT DAY PROGRAM,0011303,,,,,,,,,,,STEVE MCCARTHY,(920) 494-3385,,,,,,30,,, BROWN,,,,,,,,,,,,,,,,,,,,,,,M/F,2/28/2006,2/28/2018,,NEW CURATIVE REHABILITATION INC,(920) 468-9129,STEVE MCCARTHY,EMOTIONALLY DISTURBED/MENTAL,GREEN BAY,WI,54311,,,ADC,ADVANCED AGED; DEVELOPMENTALLY DISABLED; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING; TERMINALLY ILL; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,1538 WESTERN AVE,,GREEN BAY,WI,54303,USA
USA-WI-49-All-49-AdultDayCare-6,OLDER AMERICANS PROG INHOUSE/INSIDERS,400003,,,,,,,,,,,DENISE MISOVEC,(920) 468-1161,,,,,,122,,, BROWN,,,,,,,,,,,,,,,,,,,,,,,M/F,4/5/1990,4/30/2018,,CURATIVE CONNECTIONS INC,(920) 468-1161,STEVE MCCARTHY,2900 CURRY LN,GREEN BAY,WI,54311,,0/0,ADC,ADVANCED AGED; DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,,,,,,,,2900 CURRY LN,,GREEN BAY,WI,54311,USA
USA-WI-49-All-49-AdultDayCare-7,BLOOMER ADULT DAY SERVICES,0015003,,,,,,,,,,,BETH PETERSON,(715) 568-1000,,,,,,12,,, CHIPPEWA,,,,,,,,,,,,,,,,,,,,,,,M/F,3/4/2014,2/28/2018,,BLOOMER ADULT DAY SERVICES,(715) 967-2697,BETH PETERSON,EMOTIONALLY DISTURBED/MENTAL,BLOOMER,WI,54724,,,ADC,ADVANCED AGED; DEVELOPMENTALLY DISABLED; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,917 15TH AVENUE,,BLOOMER,WI,54724,USA
USA-WI-49-All-49-AdultDayCare-8,GRACE ADULT DAY SERVICES- CHIPPEWA FALLS,,,,,,,,,,,,MELANIE MILLER,(715) 738-1925,,,,,,60,,, CHIPPEWA,,,,,,,,,,,,,,,,,,,,,,,M/F,5/1/2006,4/30/2018,,,(715) 832-3003,MIKE CHRISTENSEN,PUBLIC FUNDING,EAU CLAIRE,WI,54702,,,ADC,ADVANCED AGED; DEVELOPMENTALLY DISABLED,,,,,,,,,,,,2050 CTY TK I,P O BOX 287,CHIPPEWA FALLS,WI,54729,USA
USA-WI-49-All-49-AdultDayCare-9,WILLOW RIDGE ADULT DAY CARE SITE III,0016581,,,,,,,,,,,JANE SCHMITZ,(715) 229-2172,,,,,,10,,, CLARK,,,,,,,,,,,,,,,,,,,,,,,M/F,7/31/2017,7/31/2018,,CLARK COUNTY REHABILITATION AND LIVING C,(715) 229-2172,JANE SCHMITZ,EMOTIONALLY DISTURBED/MENTAL,OWEN,WI,54460,,,ADC,ADVANCED AGED; DEVELOPMENTALLY DISABLED; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING; TERMINALLY ILL; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,237 W 6TH ST APT 1,,NEILLSVILLE,WI,54456,USA
USA-WI-49-All-49-AdultDayCare-10,WILLOW RIDGE ADULT DAY CARE I,500004,,,,,,,,,,,JANICE KOMANEC,(715) 229-2626,,,,,,16,,, CLARK,,,,,,,,,,,,,,,,,,,,,,,M/F,12/21/1989,,12/31/2018,CLARK COUNTY HEALTH CARE CENTER,(715) 229-2172,JANE SCHMITZ,W4266 COUNTY HIGHWAY X,OWEN,WI,54460,,0/0,ADC,DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PUBLIC FUNDING,,,,,,,,,,,,W4266 COUNTY HIGHWAY X,,OWEN,WI,54460,USA
