name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
ADAMS COMFORT LIVING,,,JESSICA BAUMLER,,,,,PO BOX 220,,,,,,,,,,(608) 339-4831,,,,,,,,,,,,,,,,AFH,Adult Family Home,"1,500/6,000",,,211 E JUNE ST,,,ADAMS, ADAMS,,WI,,53910,USA,43.9543912,-89.8157911,
EDWARDS FAMILY CARE,,,BARBARA EDWARDS,,,,,PO BOX 1060,,,,,,,,,,(608) 339-3587,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,080/7,409",,,171 S WATTS ST PO BOX 1060,,,ADAMS, ADAMS,,WI,,53910,USA,43.956579,-89.8111716,
HOLLYHOME AFH,,,HOLLY MANTHEY,,,,,,,,,,,,,,,(608) 339-0941,,,,,,,,,,,,,,,,AFH,Adult Family Home,"2,100/3,000",,,149 SOUTH LINDEN ST,,,ADAMS, ADAMS,,WI,,53910,USA,43.95688579999999,-89.8152722,
OENS ADULT FAMILY HOME,,,DARLENE OENS,,,,,,,,,,,,,,,(608) 339-7831,,,,,,,,,,,,,,,,AFH,Adult Family Home,"2,700/5,000",,,171 SOUTH PIERCE ST,,,ADAMS, ADAMS,,WI,,53910,USA,43.9566879,-89.8124083,
RYKIEL'S AFH LLC,,,FLORA JEAN JOHNSON,,,,,,,,,,,,,,,(608) 339-9634,,,,,,,,,,,,,,,,AFH,Adult Family Home,"1,573/2,294",,,801 NORTH ST PO BOX 21,,,ADAMS, ADAMS,,WI,,53910,USA,43.9649595,-89.8071375,
SHERRY PESAVAS ADULT FAMILY HOME,,,SHERRY PESAVA,,,,,,,,,,,,,,,(608) 339-6071,,,,,,,,,,,,,,,,AFH,Adult Family Home,"1,700/4,000",,,173 S PIERCE ST,,,ADAMS, ADAMS,,WI,,53910,USA,43.9564463,-89.812445,
FOSNOW ADULT FAMILY HOME II,,,RITA FOSNOW,,,,,,,,,,,,,,,(608) 339-9421,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,600/10,000",,,2318 13TH LN,,,FRIENDSHIP, ADAMS,,WI,,53934,USA,43.9206497,-89.83114429999999,
FOSNOW ADULT FAMILY HOME III,,,RITA FOSNOW,,,,,,,,,,,,,,,(608) 547-1915,,,,,,,,,,,,,,,,AFH,Adult Family Home,"4,000/7,000",,,2319 13TH LN,,,FRIENDSHIP, ADAMS,,WI,,53934,USA,43.9206282,-89.8321553,
FOSNOW ADULT FAMILY HOME IV,,,RITA FOSNOW,,,,,,,,,,,,,,,(608) 339-2946,,,,,,,,,,,,,,,,AFH,Adult Family Home,"4,350/10,500",,,1155 S CZECH CT,,,FRIENDSHIP, ADAMS,,WI,,53934,USA,43.9903859,-89.8097057,
FOSNOW ADULT FAMILY HOME LLC,,,RITA FOSNOW,,,,,,,,,,,,,,,(608) 339-2946,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,000/6,000",,,2324 13TH LN,,,FRIENDSHIP, ADAMS,,WI,,53934,USA,43.9201798,-89.8308969,
LACEYS AFH,,,MILDRED LACEY,,,,,,,,,,,,,,,(608) 586-6068,,,,,,,,,,,,,,,,AFH,Adult Family Home,"2,960/2,960",,,3377 3RD LN,,,OXFORD, ADAMS,,WI,,53952,USA,43.76285000000001,-89.6548428,
CLARITY CARE DUNNING,,,CARLA BRUNN-ALFERI,,,,,,,,,,,,,,,(920) 469-5240,,,,,,,,,,,,,,,,AFH,Adult Family Home,,,,1464 DUNNING STREET,,,MENASHA, WINNEBAGO,,WI,,54952,USA,44.228955,-88.445738,
ROBINSON AFH,,,MARI ROBINSON,,,,,,,,,,,,,,,(920) 832-8727,,,,,,,,,,,,,,,,AFH,Adult Family Home,"1,500/3,000",,,1077 HAROLD DR,,,MENASHA, WINNEBAGO,,WI,,54952,USA,44.2189319,-88.4068077,
STEAD DRIVE,,,CARLA BRUNN-ATFERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,383/4,823",,,1350 STEAD DR,,,MENASHA, WINNEBAGO,,WI,,54952,USA,44.22624400000001,-88.412562,
BREWER HOUSE,,,JENNIFER BURGESS,,,,,,,,,,,,,,,(920) 558-4504,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,220/4,500",,,165 PLUMMER CT,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.1849032,-88.4813944,
CRYSTAL PLACE,,,JENNY MAYVILLE,,,,,,,,,,,,,,,(920) 725-1239,,,,,,,,,,,,,,,,AFH,Adult Family Home,"7,761/7,761",,,700 JACKSON STREET,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.1785593,-88.47546229999999,
DODGER HOUSE,,,KRISTIN BURGESS,,,,,PO BOX 585,,,,,,,,,,(920) 486-3113,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,050/3,300",,,1589 POND VIEW DR,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.148215,-88.5173451,
HARBOR HOPE,,,THOMAS J SMITH,,,,,,,,,,,,,,,(920) 969-9210,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,000/4,000",,,908 BALDWIN ST,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.17318849999999,-88.4804327,
PEARL HOUSE,,,JENNY MAYVILLE,,,,,,,,,,,,,,,(920) 720-9804,,,,,,,,,,,,,,,,AFH,Adult Family Home,"7,356/7,761",,,1218 - 1220 MEADOW LN,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.16251520000001,-88.4903897,
PHOENIX HOUSE,,,KRISTIN BURGESS,,,,,PO BOX 585,,,,,,,,,,(920) 277-2125,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,050/3,300",,,1591 POND VIEW DR,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.1487841,-88.51669640000001,
QUARRY LANE,,,CARLA BRUNN-ALFERI,,,,,,,,,,,,,,,(920) 729-6122,,,,,,,,,,,,,,,,AFH,Adult Family Home,"5,428/5,429",,,504 QUARRY LN,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.1704573,-88.4597687,
SHARK HOUSE,,,JENNIFER BURGESS,,,,,PO BOX 585,,,,,,,,,,,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,000/4,000",,,321 BELLIN ST,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.16488280000001,-88.4614051,
TITAN HOUSE,,,KRISTIN BURGESS,,,,,PO BOX 585,,,,,,,,,,(920) 215-3168,,,,,,,,,,,,,,,,AFH,Adult Family Home,"3,235/5,000",,,229 W BELL ST,,,NEENAH, WINNEBAGO,,WI,,54956,USA,44.15670910000001,-88.4697968,
