row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,alzeimers_special_care_unit_provided,mailing_street_address,mailing_po_box,mailing_city,mailing_province,mailing_postal_code,mailing_country,street_address,po_box,city,province,postal_code,country
USA-WI-49-All-49-AdultFamilyHome-1,ADAMS COMFORT LIVING,0014530,,,,,,,,,,,JESSICA BAUMLER,(608) 339-4831,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M/F,1/29/2013,1/31/2019,,,(563) 419-1509,JESSICA BAUMLER,Low/High rate:,ADAMS,WI,53910,,"1,500/6,000",AFH,ADVANCED AGED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; PHYSICALLY DISABLED,,,,,,,,,,,,211 E JUNE ST,PO BOX 220,ADAMS,WI,53910,USA
USA-WI-49-All-49-AdultFamilyHome-2,EDWARDS FAMILY CARE,0012154,,,,,,,,,,,BARBARA EDWARDS,(608) 339-3587,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M/F,1/1/2008,12/31/2017,,JAMES AND BARBARA EDWARDS,(608) 339-3587,BARBARA EDWARDS,Low/High rate:,ADAMS,WI,53910,,"3,080/7,409",AFH,DEVELOPMENTALLY DISABLED,,,,,,,,,,,,171 S WATTS ST PO BOX 1060,PO BOX 1060,ADAMS,WI,53910,USA
USA-WI-49-All-49-AdultFamilyHome-3,HOLLYHOME AFH,0009534,,,,,,,,,,,HOLLY MANTHEY,(608) 339-0941,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M,1/10/2002,1/31/2018,,HOLLY MANTHEY,(608) 339-0941,HOLLY MANTHEY,149 SOUTH LINDEN ST,ADAMS,WI,53910,,"2,100/3,000",AFH,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PUBLIC FUNDING,,,,,,,,,,,,149 SOUTH LINDEN ST,,ADAMS,WI,53910,USA
USA-WI-49-All-49-AdultFamilyHome-4,OENS ADULT FAMILY HOME,0008567,,,,,,,,,,,DARLENE OENS,(608) 339-7831,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,F,4/1/1999,6/30/2019,,DARLENE KRUSEL-OENS,(608) 339-7831,DARLENE OENS,Low/High rate:,ADAMS,WI,53910,,"2,700/5,000",AFH,ADVANCED AGED; DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,171 SOUTH PIERCE ST,,ADAMS,WI,53910,USA
USA-WI-49-All-49-AdultFamilyHome-5,RYKIEL'S AFH LLC,0014936,,,,,,,,,,,FLORA JEAN JOHNSON,(608) 339-9634,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M/F,1/14/2014,,12/31/2017,FLORA JEAN JOHNSON,(608) 339-9634,FLORA JEAN JOHNSON,801 NORTH ST PO BOX 21,ADAMS,WI,53910,,"1,573/2,294",AFH,ADVANCED AGED; DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,,,,,,,,801 NORTH ST PO BOX 21,,ADAMS,WI,53910,USA
USA-WI-49-All-49-AdultFamilyHome-6,SHERRY PESAVAS ADULT FAMILY HOME,0014204,,,,,,,,,,,SHERRY PESAVA,(608) 339-6071,,,,,,3,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M,5/21/2012,5/31/2018,,SHERRY PESAVA,(608) 339-6071,SHERRY PESAVA,173 S PIERCE ST,ADAMS,WI,53910,,"1,700/4,000",AFH,DEVELOPMENTALLY DISABLED; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PUBLIC FUNDING; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,173 S PIERCE ST,,ADAMS,WI,53910,USA
USA-WI-49-All-49-AdultFamilyHome-7,FOSNOW ADULT FAMILY HOME II,0013635,,,,,,,,,,,RITA FOSNOW,(608) 339-9421,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M/F,1/25/2011,1/31/2019,,FOSNOW ADULT FAMILY HOME LLC,(608) 339-2946,RITA FOSNOW,Low/High rate:,FRIENDSHIP,WI,53934,,"3,600/10,000",AFH,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,,,,,,,,2318 13TH LN,,FRIENDSHIP,WI,53934,USA
USA-WI-49-All-49-AdultFamilyHome-8,FOSNOW ADULT FAMILY HOME III,0013911,,,,,,,,,,,RITA FOSNOW,(608) 547-1915,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M/F,11/3/2011,10/31/2017,,FOSNOW ADULT FAMILY HOME LLC,(608) 547-1915,RITA FOSNOW,2324 13TH LN,FRIENDSHIP,WI,53934,,"4,000/7,000",AFH,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,,,,,,,,2319 13TH LN,,FRIENDSHIP,WI,53934,USA
USA-WI-49-All-49-AdultFamilyHome-9,FOSNOW ADULT FAMILY HOME IV,0015768,,,,,,,,,,,RITA FOSNOW,(608) 339-2946,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M/F,8/13/2015,7/31/2019,,FOSNOW ADULT FAMILY HOME LLC,(608) 339-2946,RITA FOSNOW,Low/High rate:,FRIENDSHIP,WI,53934,,"4,350/10,500",AFH,ADVANCED AGED; DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING; TERMINALLY ILL; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,1155 S CZECH CT,,FRIENDSHIP,WI,53934,USA
USA-WI-49-All-49-AdultFamilyHome-10,FOSNOW ADULT FAMILY HOME LLC,0013624,,,,,,,,,,,RITA FOSNOW,(608) 339-2946,,,,,,4,,, ADAMS,,,,,,,,,,,,,,,,,,,,,,,M/F,1/10/2011,1/31/2019,,FOSNOW ADULT FAMILY HOME LLC,(608) 339-2946,RITA FOSNOW,2324 13TH LN,FRIENDSHIP,WI,53934,,"3,000/6,000",AFH,DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,,,,,,,,2324 13TH LN,,FRIENDSHIP,WI,53934,USA
