row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,alzeimers_special_care_unit_provided,mailing_street_address,mailing_po_box,mailing_city,mailing_province,mailing_postal_code,mailing_country,street_address,po_box,city,province,postal_code,country
USA-WI-49-All-49-CommunityBasedResidentialFacility-1,LIBERTY VILLAGE OF ADAMS,0015835,,,,,,,,,,,CANDICE JOHNSON,(608) 339-9444,,,,,,44,,, ADAMS,,,,,,,,,,,,,,,CNA,,,,,,,,M/F,11/30/2015,11/30/2018,,COPPERLEAF MANAGEMENT GROUP INC,(715) 254-4357,KRISTA MENDYKE,1077 WILSHIRE AVENUE,STEVENS POINT,WI,54481,,"3,850/5,850",CBRF,ADVANCED AGED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; TERMINALLY ILL,,,,,,,,,,,,550 W LIBERTY STREET,,ADAMS,WI,53910,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-2,BIRCH HAVEN SENIOR LIVING BEARS HOLLOW,0015012,,,,,,,,,,,DALE KELM,(715) 682-2534,,,,,,17,,, ASHLAND,,,,,,,,,,,,,,,CNA,,,,,,,,M/F,7/1/2014,6/30/2019,,KELM ENTERPRISES INC,(715) 682-2414,DALE KELM,218 22ND AVE W,ASHLAND,WI,54806,,"3,390/5,828",CBRF,ADVANCED AGED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,1019 15TH AVE W,,ASHLAND,WI,54806,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-3,BIRCH HAVEN SENIOR LIVING EAGLES RIDGE,0015013,,,,,,,,,,,DALE KELM,(715) 682-1069,,,,,,8,,, ASHLAND,,,,,,,,,,,,,,,CNA,,,,,,,,M/F,7/1/2014,,6/30/2019,KELM ENTERPRISES INC,(715) 682-2414,DALE KELM,218 22ND AVE W,ASHLAND,WI,54806,,"3,390/5,828",CBRF,ADVANCED AGED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,224 22ND AVE W,,ASHLAND,WI,54806,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-4,BIRCH HAVEN SENIOR LIVING FALCONS CREST,0015014,,,,,,,,,,,DALE KELM,(715) 682-2775,,,,,,15,,, ASHLAND,,,,,,,,,,,,,,,CNA,,,,,,,,M/F,7/1/2014,6/30/2019,,,(715) 682-2414,DALE KELM,218 22ND AVE W,ASHLAND,WI,54806,,"3,390/5,828",CBRF,ADVANCED AGED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,218 22ND AVE W,,ASHLAND,WI,54806,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-5,BIRCH HAVEN SENIOR LIVING TIMBERS EDGE,0015011,,,,,,,,,,,DALE KELM,(715) 682-2506,,,,,,15,,, ASHLAND,,,,,,,,,,,,,,,CNA,,,,,,,,M/F,7/1/2014,6/30/2019,,KELM ENTERPRISES INC,(715) 682-2414,DALE KELM,218 22ND AVE W,ASHLAND,WI,54806,,"3,390/5,828",CBRF,ADVANCED AGED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S; PHYSICALLY DISABLED; PUBLIC FUNDING; TRAUMATIC BRAIN INJURY,,,,,,,,,,,,1500 10TH ST W,,ASHLAND,WI,54806,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-6,HANSENS GROUP HOME,510307,,,,,,,,,,,SUSAN & CARL HANSEN,(715) 537-5331,,,,,,7,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,2/12/1985,1/31/2019,,SUSAN HANSEN,(715) 537-5331,SUSAN HANSEN,1190 17TH ST,BARRON,WI,54812,,"1,500/4,000",CBRF,DEVELOPMENTALLY DISABLED; PUBLIC FUNDING,,,,,,,,,,,,1190 17TH ST,,BARRON,WI,54812,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-7,HUNTER HOME SERVICES INC,0012722,,,,,,,,,,,ELIZABETH HUNTER,(715) 537-1608,,,,,,8,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,4/24/2009,4/30/2018,,HUNTER HOME SERVICES INC,(651) 332-0010,ELIZABETH HUNTER,6087-27 ST N,OAKDALE,MN,55128,,"1,940/3,954",CBRF,DEVELOPMENTALLY DISABLED; PUBLIC FUNDING,,,,,,,,,,,,1222 - 13-1/2 AVENUE,,BARRON,WI,54812,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-8,MONROE MANOR,510311,,,,,,,,,,,JULIE MALONE,(715) 537-5700,,,,,,82,,, BARRON,,,,,,,,,,,,,,,CNA,,,,,,,,M/F,6/19/1984,2/28/2019,,VANYO INC,(507) 387-4628,VANYO MOODY,200 BELGRADE AVE APT 4,MANKATO,MN,56001,,"2,850/3,700",CBRF,ADVANCED AGED; IRREVERSIBLE; DEMENTIA/ALZHEIMER'S,,,,,,,,,,,,508 E MONROE AVE,,BARRON,WI,54812,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-9,LSS BARRON AREA RESIDENTIAL TREATMENT,0016453,,,,,,,,,,,SHELLEY HAMMES,(715) 214-9062,,,,,,8,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M,2/1/2017,1/31/2019,,LUTHERAN SOCIAL SERVICES OF WI AND UPPE,(715) 214-9062,BRITTANY NESSEL,306 S BARSTOW ST.,EAU CLAIRE,WI,54701,,,CBRF,ALCOHOL/DRUG DEPENDENT; CORRECTIONAL CLIENTS,,,,,,,,,,,,806 29 1/2 AVE,,BARRONETT,WI,54813,USA
USA-WI-49-All-49-CommunityBasedResidentialFacility-10,INTEGRICARE CAMERON,0013020,,,,,,,,,,,SUE HANSON,(715) 859-6309,,,,,,8,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,10/30/2009,,10/31/2018,INTEGRICARE INC,(715) 790-4727,SUE HANSON,1372-24-3/8 ST,CAMERON,WI,54822,,"2,700/4,200",CBRF,ADVANCED AGED; DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL; ILLNESS; PUBLIC FUNDING,,,,,,,,,,,,1372-24-3/8 ST,,CAMERON,WI,54822,USA
