name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country
ATRIUM POST ACUTE CARE OF CHILTON,,,GAIL JACOBSON,,,(920) 849-7392,,,,,,,,,,,,(920) 849-2308,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,810 MEMORIAL DR,,,CHILTON,CALUMET,Northeastern,WI,,53014,USA
ATRIUM POST ACUTE CARE OF NEW HOLSTEIN,,,JASON STRNAD,,,(920) 898-4931,,,,,,,,,,,,(920) 898-4296,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1712 MONROE ST,,,NEW HOLSTEIN,CALUMET,Northeastern,WI,,53061,USA
WILLOWDALE NURSING & REHABILITATION CENTER,,,ZACH ZIESEMER,,,(920) 898-5664,,,,,,,,,,,,(920) 898-5706,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1610 HOOVER ST,,,NEW HOLSTEIN,CALUMET,Northeastern,WI,,53061,USA
ATRIUM POST ACUTE CARE OF BLOOMER,,,CRYSTAL FRAZER,,,(715) 568-2518,,,,,,,,,,,,(715) 568-2503,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1840 PRIDDY ST,,,BLOOMER,CHIPPEWA,Western,WI,,54724,USA
DOVE HEALTHCARE - BLOOMER,,,JOSEPH MUENCH,,,(715) 568-9771,,,,,,,,,,,,(715) 568-9770,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2217 DUNCAN ROAD,,,BLOOMER,CHIPPEWA,Western,WI,,54724,USA
CHIPPEWA MANOR NURSING HOME,,,BRANDON THORSNESS,,,(715) 723-0524,,,,,,,,,,,,(715) 723-4437,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,222 CHAPMAN RD,,,CHIPPEWA FALLS,CHIPPEWA,Western,WI,,54729,USA
WI VETERANS HOME AT CHIPPEWA FALLS,,,MEGAN CORCORAN,,,(715) 720-6672,,,,,,,,,,,,(715) 720-6775,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2175 E PARK AVE,,,CHIPPEWA FALLS,CHIPPEWA,Western,WI,,54729,USA
WISSOTA HEALTH AND REGIONAL VENT CENTER,,,SARAH NORTH,,,(715) 723-3376,,,,,,,,,,,,(715) 723-9341,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2815 COUNTY HIGHWAY I,,,CHIPPEWA FALLS,CHIPPEWA,Western,WI,,54729,USA
CORNELL AREA CARE CENTER,,,JENNIFER BURKLUND,,,(715) 239-6608,,,,,,,,,,,,(715) 239-6288,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,320 N 7TH ST,,,CORNELL,CHIPPEWA,Western,WI,,54732,USA
COLONIAL CENTER,,,TRUDY ERICKSON,,,(715) 223-3972,,,,,,,,,,,,(715) 223-2352,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,702 W DOLF ST,,,COLBY,CLARK,Northern,WI,,54421,USA
NEILLSVILLE CARE AND REHABILITATION,,,LISA CERVEN,,,(715) 743-5448,,,,,,,,,,,,(715) 743-5444,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,316 SUNSET PLACE,,,NEILLSVILLE,CLARK,Northern,WI,,54456,USA
CLARK COUNTY REHABILITATION & LIVING CENTER,,,JANE SCHMITZ,,,(715) 229-4655,,,,,,,,,,,,(715) 229-2172,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,W4266 COUNTY HIGHWAY X,,,OWEN,CLARK,Northern,WI,,54460,USA
OAKBROOK HEALTH AND REHABILITATION,,,SHERRY GOODMAN,,,(715) 669-5223,,,,,,,,,,,,(715) 669-5321,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,206 W PROSPECT ST,,,THORP,CLARK,Northern,WI,,54771,USA
COLUMBUS HEALTH AND REHAB,,,ELAINE HERRON,,,(920) 623-0579,,,,,,,,,,,,(920) 623-2520,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,825 WESTERN AVE,,,COLUMBUS,COLUMBIA,Southern,WI,,53925,USA
GOOD SAMARITAN SOCIETY-LODI,,,JACOB KUBIK,,,(608) 592-3293,,,,,,,,,,,,(608) 592-3241,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,700 CLARK ST,,,LODI,COLUMBIA,Southern,WI,,53555,USA
TIVOLI AT DIVINE SAVIOR HEALTHCARE,,,JENNIFER BIENO,,,(608) 745-5997,,,,,,,,,,,,(608) 745-5900,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2805 HUNTERS TRAIL,,,PORTAGE,COLUMBIA,Southern,WI,,53901,USA
WISCONSIN DELLS HEALTH SERVICES,,,SCOTT ARNESON,,,(608) 253-7411,,,,,,,,,,,,(608) 254-2574,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,300 RACE ST,,,WISCONSIN DELLS,COLUMBIA,Southern,WI,,53965,USA
COLUMBIA HEALTH CARE CENTER,,,AMY YAMRISKA,,,(608) 429-2281,,,,,,,,,,,,(608) 429-2181,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,323 W MONROE ST PO BOX 895,,,WYOCENA,COLUMBIA,Southern,WI,,53969,USA
PRAIRIE MAISON,,,ALESHA ERDENBERGER,,,(608) 326-3205,,,,,,,,,,,,(608) 326-8471,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,700 SOUTH FREMONT,,,PRAIRIE DU CHIEN,CRAWFORD,Southern,WI,,53821,USA
SANNES SKOGDALEN HEIM,,,JAIME HOOVERSON,,,(608) 624-3478,,,,,,,,,,,,(608) 624-5244,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,101 SUNSHINE BLVD,,,SOLDIERS GROVE,CRAWFORD,Southern,WI,,54655,USA
HEARTLAND COUNTRY VILLAGE,,,CHERI MCCORMICK,,,(608) 767-2565,,,,,,,,,,,,(608) 767-2572,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,634 CENTER ST,,,BLACK EARTH,DANE,Southern,WI,,53515,USA
BELMONT NURSING AND REHABILITATION CENTER,,,MAR'QUE ANDERSON,,,(608) 249-7906,,,,,,,,,,,,(608) 249-7391,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,110 BELMONT RD,,,MADISON,DANE,Southern,WI,,53714,USA
CAPITOL LAKES HEALTH CENTER,,,KRISTIN VATER,,,(608) 283-2019,,,,,,,,,,,,(608) 283-2100,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,333 W MAIN ST,,,MADISON,DANE,Southern,WI,,53703,USA
KARMENTA CENTER,,,GLENN CARVINO,,,(608) 249-8122,,,,,,,,,,,,(608) 249-2137,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,4502 MILWAUKEE ST,,,MADISON,DANE,Southern,WI,,53714,USA
OAK PARK NURSING AND REHABILITATION CENTER,,,JIM RAAB,,,(608) 251-2868,,,,,,,,,,,,(608) 663-8600,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,718 JUPITER DRIVE,,,MADISON,DANE,Southern,WI,,53718,USA
OAKWOOD LUTHERAN HOMES ASSOCIATION,,,COLINDA NAPPA,,,(608) 230-4330,,,,,,,,,,,,(608) 230-4699,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,6201 MINERAL POINT RD,,,MADISON,DANE,Southern,WI,,53705,USA
OAKWOOD VILLAGE EAST HEALTH AND REHABILITATION CENTER,,,BRYAN BEE,,,(608) 230-4001,,,,,,,,,,,,(608) 230-4000,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,5833 AMERICAN PARKWAY,,,MADISON,DANE,Southern,WI,,53718,USA
SSM HEALTH ST MARY'S CARE CENTER,,,MARY MATTIX,,,(608) 845-1001,,,,,,,,,,,,(608) 845-1000,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,3401 MAPLE GROVE DR,,,MADISON,DANE,Southern,WI,,53719,USA
DYCORA TRANSITIONAL HEALTH - BEAVER DAM,,,JENNIFER SAUER,,,(920) 887-8699,,,,,,,,,,,,(920) 887-7191,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,410 ROEDL CT,,,BEAVER DAM,DODGE,Southern,WI,,53916,USA
HILLSIDE MANOR,,,TRICIA WEISNICHT,,,(920) 887-3040,,,,,,,,,,,,(920) 887-6295,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,803 S UNIVERSITY AVE,,,BEAVER DAM,DODGE,Southern,WI,,53916,USA
CLEARVIEW,,,JANE HOOPER,,,(920) 386-3405,,,,,,,,,,,,(920) 386-3400,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,198 COUNTY  DF,,,JUNEAU,DODGE,Southern,WI,,53039,USA
CLEARVIEW BEHAVIORAL HEALTH I,,,JANE HOOPER,,,(920) 386-3405,,,,,,,,,,,,(920) 386-3400,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,198 COUNTY  DF,,,JUNEAU,DODGE,Southern,WI,,53039,USA
CLEARVIEW BEHAVIORAL HEALTH II,,,JANE HOOPER,,,(920) 386-3405,,,,,,,,,,,,(920) 386-3400,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,198 COUNTY DF,,,JUNEAU,DODGE,Southern,WI,,53039,USA
CLEARVIEW BRAIN INJURY CENTER,,,JANE HOOPER,,,(920) 386-3405,,,,,,,,,,,,(920) 386-3400,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,198 COUNTY DF,,,JUNEAU,DODGE,Southern,WI,,53039,USA
HOPE HEALTH AND REHABILITATION,,,JULIA SCHRAMEK,,,(920) 269-4978,,,,,,,,,,,,(920) 269-4386,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,438 ASHFORD AVE  PO BOX 280,,,LOMIRA,DODGE,Southern,WI,,53048,USA
CROSSROADS CARE CENTER OF MAYVILLE,,,"JAMES TORGERSON, SR",,,(920) 387-5194,,,,,,,,,,,,(920) 387-0354,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,305 S CLARK ST,,,MAYVILLE,DODGE,Southern,WI,,53050,USA
RANDOLPH HEALTH SERVICES,,,JOANN EVANS,,,(920) 326-3239,,,,,,,,,,,,(920) 326-3171,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,502 S HIGH ST,,,RANDOLPH,DODGE,Southern,WI,,53956,USA
DYCORA TRANSITIONAL HEALTH - WATERTOWN,,,JAMEIE JOHNSON,,,(920) 261-9208,,,,,,,,,,,,(920) 261-9220,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,121 HOSPITAL DR,,,WATERTOWN,DODGE,Southern,WI,,53098,USA
MARQUARDT MEMORIAL MANOR,,,JENNIFER JOHNSON,,,(920) 261-4840,,,,,,,,,,,,(920) 261-0400,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1020 HILL ST,,,WATERTOWN,DODGE,Southern,WI,,53098,USA
CHRISTIAN HOME AND REHABILITATION CENTER,,,BARBARA WIRKUS,,,(920) 324-4724,,,,,,,,,,,,(920) 324-9051,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,331 BLY ST,,,WAUPUN,DODGE,Southern,WI,,53963,USA
GOOD SAMARITAN SOCIETY-SCANDIA VILLAGE,,,MICHELE NOTZ,,,(920) 854-9529,,,,,,,,,,,,(920) 854-2317,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,10560 APPLEWOOD RD,,,SISTER BAY,DOOR,Northeastern,WI,,54234,USA
DOOR COUNTY MEMORIAL HOSPITAL SNF,,,NANCY BOHRMAN,,,(920) 746-0492,,,,,,,,,,,,(920) 743-5566,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,323 S 18TH AVE,,,STURGEON BAY,DOOR,Northeastern,WI,,54235,USA
STURGEON BAY HEALTH SERVICES,,,DANIEL RICHMOND,,,(920) 743-5604,,,,,,,,,,,,(920) 743-6274,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,200 N SEVENTH AVE,,,STURGEON BAY,DOOR,Northeastern,WI,,54235,USA
MIDDLE RIVER HEALTH CARE CENTER,,,CHRISTY FRYE,,,(715) 374-2236,,,,,,,,,,,,(715) 398-3523,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,8274 E SAN RD,,,SOUTH RANGE,DOUGLAS,Northern,WI,,54874,USA
SUPERIOR REHABILITATION CENTER LLC,,,MELODY KRATTENMAKER,,,(715) 394-5098,,,,,,,,,,,,(715) 394-5591,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1800 NEW YORK AVE,,,SUPERIOR,DOUGLAS,Northern,WI,,54880,USA
