row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,alzeimers_special_care_unit_provided,mailing_street_address,mailing_po_box,mailing_city,mailing_province,mailing_postal_code,mailing_country,street_address,po_box,city,province,postal_code,country
USA-WI-49-All-49-NursingHomes-1,ATRIUM POST ACUTE CARE OF CHILTON,,,,CHILTON CARE CENTER LLC,,,,,,,,GAIL JACOBSON,(920) 849-2308,,(920) 849-7392,,,,60,,,,,,,,,,,,,,,,,,,CALUMET,Northeastern,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525336,,,,,,,,,,,,,,NH,,,,,,,,,,,,,810 MEMORIAL DR,,CHILTON,WI,53014,USA
USA-WI-49-All-49-NursingHomes-2,ATRIUM POST ACUTE CARE OF NEW HOLSTEIN,,,,"HOMESTEAD CARE CENTER, LLC",,,,,,,,JASON STRNAD,(920) 898-4296,,(920) 898-4931,,,,60,,,,,,,,,,,,,,,,,,,CALUMET,Northeastern,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525546,,,,,,,,,,,,,,NH,,,,,,,,,,,,,1712 MONROE ST,,NEW HOLSTEIN,WI,53061,USA
USA-WI-49-All-49-NursingHomes-3,WILLOWDALE NURSING & REHABILITATION CENTER,,,,FMG HOOVER STREET WISCONSIN LLC,,,,,,,,ZACH ZIESEMER,(920) 898-5706,,(920) 898-5664,,,,49,,,,,,,,,,,,,,,,,,,CALUMET,Northeastern,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525411,,,,,,,,,,,,,,NH,,,,,,,,,,,,,1610 HOOVER ST,,NEW HOLSTEIN,WI,53061,USA
USA-WI-49-All-49-NursingHomes-4,ATRIUM POST ACUTE CARE OF BLOOMER,,,,"1840 PRIDDY STREET OPERATING COMPANY, LLC",,,,,,,,CRYSTAL FRAZER,(715) 568-2503,,(715) 568-2518,,,,31,,,,,,,,,,,,,,,,,,,CHIPPEWA,Western,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525580,,,,,,,,,,,,,,NH,,,,,,,,,,,,,1840 PRIDDY ST,,BLOOMER,WI,54724,USA
USA-WI-49-All-49-NursingHomes-5,DOVE HEALTHCARE - BLOOMER,,,,"BLOOMER HEALTHCARE, LLC",,,,,,,,JOSEPH MUENCH,(715) 568-9770,,(715) 568-9771,,,,40,,,,,,,,,,,,,,,,,,,CHIPPEWA,Western,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525479,,,,,,,,,,,,,,NH,,,,,,,,,,,,,2217 DUNCAN ROAD,,BLOOMER,WI,54724,USA
USA-WI-49-All-49-NursingHomes-6,CHIPPEWA MANOR NURSING HOME,,,,CHIPPEWA MANOR NURSING HOME CORPORATION,,,,,,,,BRANDON THORSNESS,(715) 723-4437,,(715) 723-0524,,,,60,,,,,,,,,,,,,,,,,,,CHIPPEWA,Western,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525419,,,,,,,,,,,,,,NH,,,,,,,,,,,,,222 CHAPMAN RD,,CHIPPEWA FALLS,WI,54729,USA
USA-WI-49-All-49-NursingHomes-7,WI VETERANS HOME AT CHIPPEWA FALLS,,,,STATE OF WI DEPT OF VETERANS AFFAIRS,,,,,,,,MEGAN CORCORAN,(715) 720-6775,,(715) 720-6672,,,,72,,,,,,,,,,,,,,,,,,,CHIPPEWA,Western,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525708,,,,,,,,,,,,,,NH,,,,,,,,,,,,,2175 E PARK AVE,,CHIPPEWA FALLS,WI,54729,USA
USA-WI-49-All-49-NursingHomes-8,WISSOTA HEALTH AND REGIONAL VENT CENTER,,,,SNOWHILL HEALTHCARE LLC,,,,,,,,SARAH NORTH,(715) 723-9341,,(715) 723-3376,,,,87,,,,,,,,,,,,,,,,,,,CHIPPEWA,Western,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525379,,,,,,,,,,,,,,NH,,,,,,,,,,,,,2815 COUNTY HIGHWAY I,,CHIPPEWA FALLS,WI,54729,USA
USA-WI-49-All-49-NursingHomes-9,CORNELL AREA CARE CENTER,,,,FMG NORTH 7TH STREET WISCONSIN LLC,,,,,,,,JENNIFER BURKLUND,(715) 239-6288,,(715) 239-6608,,,,50,,,,,,,,,,,,,,,,,,,CHIPPEWA,Western,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525637,,,,,,,,,,,,,,NH,,,,,,,,,,,,,320 N 7TH ST,,CORNELL,WI,54732,USA
USA-WI-49-All-49-NursingHomes-10,COLONIAL CENTER,,,,AMERICAN EAGLE NURSING HOME ,,,,,,,,TRUDY ERICKSON,(715) 223-2352,,(715) 223-3972,,,,95,,,,,,,,,,,,,,,,,,,CLARK,Northern,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525350,,,,,,,,,,,,,,NH,,,,,,,,,,,,,702 W DOLF ST,,COLBY,WI,54421,USA
USA-WI-49-All-49-NursingHomes-11,NEILLSVILLE CARE AND REHABILITATION,,,,"SENIOR MANAGEMENT, INC.",,,,,,,,LISA CERVEN,(715) 743-5444,,(715) 743-5448,,,,50,,,,,,,,,,,,,,,,,,,CLARK,Northern,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525629,,,,,,,,,,,,,,NH,,,,,,,,,,,,,316 SUNSET PLACE,,NEILLSVILLE,WI,54456,USA
USA-WI-49-All-49-NursingHomes-12,CLARK COUNTY REHABILITATION & LIVING CENTER,,,,WOODLAND ENHANCED HEALTH ,,,,,,,,JANE SCHMITZ,(715) 229-2172,,(715) 229-4655,,,,172,,,,,,,,,,,,,,,,,,,CLARK,Northern,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525403,,,,,,,,,,,,,,NH,,,,,,,,,,,,,W4266 COUNTY HIGHWAY X,,OWEN,WI,54460,USA
USA-WI-49-All-49-NursingHomes-13,OAKBROOK HEALTH AND REHABILITATION,,,,THORP NURSING HOME INC,,,,,,,,SHERRY GOODMAN,(715) 669-5321,,(715) 669-5223,,,,58,,,,,,,,,,,,,,,,,,,CLARK,Northern,Skilled Care,,Administrator,Title 18 SNF; Title 19 NF,525472,,,,,,,,,,,,,,NH,,,,,,,,,,,,,206 W PROSPECT ST,,THORP,WI,54771,USA
