row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,alzeimers_special_care_unit_provided,mailing_street_address,mailing_po_box,mailing_city,mailing_province,mailing_postal_code,mailing_country,street_address,po_box,city,province,postal_code,country
USA-WI-49-All-49-ResidentialCareApartmentComplex-1,DOVE HEALTHCARE BARRON ASSISTED LIVING,0015804,,,,,,,,,,,TOMMY DAVIDSON,(423) 227-5957,,,,,,40,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,10/1/2015,9/30/2017,,For Residential Care Apartment Complexes,(423) 227-5957,JEREMY KILEY,2815 CO HWY I,CHIPPEWA FALLS,WI,54729,,"572/1,467",RCAC,PUBLIC FUNDING,,,,,,,,,,,,1333 MEMORIAL DRIVE,,BARRON,WI,54812,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-2,ATRIUM SENIOR LIVING OF CHETEK,0016139,,,,,,,,,,,DYLAN FAULKNER,(715) 924-4891,,,,,,14,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,4/4/2016,3/31/2018,,,(973) 339-8892,DYLAN FAULKNER,708 TAINTER STREET,CHETEK,WI,54728,,"1,500/3,600",RCAC,,,,,,,,,,,,,708 TAINTER ST,,CHETEK,WI,54728,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-3,BRENTWOOD SENIOR LIVING INC,0011336,,,,,,,,,,,KEVIN RUNDHAUG,(715) 736-7400,,,,,,28,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,3/3/2006,2/28/2018,,,(715) 537-3393,DAVID BARTA,Low/High rate:,BARRON,WI,54812,,"2,595/3,945",RCAC,,,,,,,,,,,,,633 CAMERON RD,P O BOX 155,RICE LAKE,WI,54868,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-4,WOODSTONE SENIOR LIVING RCAC,0012946,,,,,,,,,,,JACOB WORK,(715) 736-6060,,,,,,43,,, BARRON,,,,,,,,,,,,,,,,,,,,,,,M/F,9/1/2009,8/31/2017,,WELCOME HOME HEALTH CARE INC,(320) 587-0005,ROMAN BLOEMKE,Low/High rate:,HUTCHINSON,MN,55350,,"2,277/3,085",RCAC,,,,,,,,,,,,,950 BEAR PAW AVENUE,PO BOX 172,RICE LAKE,WI,54868,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-5,BIRCH HAVEN NORTH RCAC,0014850,,,,,,,,,,,DALE KELM,(715) 373-0078,,,,,,13,,, BAYFIELD,,,,,,,,,,,,,,,,,,,,,,,M/F,12/23/2013,12/31/2017,,,(715) 331-9148,DALE KELM,218 22ND AVE W,ASHLAND,WI,54806,,"2,400/4,800",RCAC,PUBLIC FUNDING,,,,,,,,,,,,320 SUPERIOR AVENUE,,WASHBURN,WI,54891,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-6,CHEQUAMEGON AREA ASSISTED LIVING,0014557,,,,,,,,,,,RICH CARBON,(715) 292-4550,,,,,,12,,, BAYFIELD,,,,,,,,,,,,,,,,,,,,,,,M/F,2/28/2013,2/28/2013,,MARTINSEN INVESTMENTS,(715) 682-8811,RICH CARBON,320 SUPERIOR AVE,WASHBURN,WI,54891,,"2,226/2,650",RCAC,,,,,,,,,,,,,320 SUPERIOR AVE,,WASHBURN,WI,54891,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-7,RENAISSANCE DE PERE,0014532,,,,,,,,,,,MICHAEL MILLER,(920) 983-5100,,,,,,71,,, BROWN,,,,,,,,,,,,,,,,,,,,,,,M/F,5/14/2013,4/30/2018,,RENNES ASSISTED LIVING INC,(715) 582-2200,MICHAEL MILLER,250 SOUTH 9TH ST,DE PERE,WI,54115,,"2,725/3,950",RCAC,PUBLIC FUNDING,,,,,,,,,,,,250 SOUTH 9TH ST,,DE PERE,WI,54115,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-8,AGE WELL CENTRE FOR LIFE ENRICHMENT,0014683,,,,,,,,,,,LORI ALLEN,(920) 468-9174,,,,,,59,,, BROWN,,,,,,,,,,,,,,,,,,,,,,,M/F,7/2/2013,6/30/2018,,,(312) 837-0701,MARIA OLIVA,333 W WACKER DR STE 1010,CHICAGO,IL,60606,,"2,176/2,409",RCAC,PUBLIC FUNDING,,,,,,,,,,,,246 BERGER ST,,GREEN BAY,WI,54302,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-9,ALLOUEZ SUNRISE VILLAGE RESIDENTIAL CARE APT,,,,,,,,,,,,AMY VANELZEN,(920) 591-1822,,,,,,50,,, BROWN,,,,,,,,,,,,,,,,,,,,,,,M/F,9/30/2014,9/30/2014,,,(920) 337-2450,AMY DOOLITTLE,W4647 CO RD KK,KAUKAUNA,WI,54130,,,RCAC,,,,,,,,,,,,,279 E ST JOSEPH ST,,GREEN BAY,WI,54301,USA
USA-WI-49-All-49-ResidentialCareApartmentComplex-10,BELLEVUE,0014671,,,,,,,,,,,MARY ROGALA,(920) 337-0771,,,,,,126,,, BROWN,,,,,,,,,,,,,,,,,,,,,,,M/F,7/10/2013,7/10/2013,,SL BELLEVUE LLC,(312) 673-4333,MARY ROGALA,1660 HOFFMAN RD,GREEN BAY,WI,54311,,"3,295/4,370",RCAC,,,,,,,,,,,,,1660 HOFFMAN RD,,GREEN BAY,WI,54311,USA
