row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,address_line_1,address_line_2,city,province,postal_code,country,latitude,longitude,neighborhood,addr_valid
USA-WI-50-All-50-All-1,NORTH STAR SERVICES INC,,REGULAR,,NORTH STAR SERVICES INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4525810&keyb=-1,LISA WEST,(608) 339-7600,,,,,Corporation - Business,20,,Adult Day Care,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; TERMINALLY ILL; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS; TRAUMATIC BRAIN INJURY; PUBLIC FUNDING,,,,,450 E STATE ST,,ADAMS,WI,53910,USA,43.9598542,-89.8131146,,True
USA-WI-50-All-50-All-2,FOSNOW ADULT FAMILY HOME IV,,REGULAR,,FOSNOW ADULT FAMILY HOME LLC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4519668&keyb=-1,RITA FOSNOW,(608) 339-2946,,,,,Limited Liability Company,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; TERMINALLY ILL; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS; TRAUMATIC BRAIN INJURY; PUBLIC FUNDING,,,,,1155 S CZECH CT,,FRIENDSHIP,WI,53934,USA,43.9903859,-89.8097057,,True
USA-WI-50-All-50-All-3,LACEYS AFH,,REGULAR,,MILDRED LACEY,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4519368&keyb=-1,MILDRED LACEY,(608) 586-6068,,,,,Government-State,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; TERMINALLY ILL; TRAUMATIC BRAIN INJURY; PUBLIC FUNDING,,,,,3377 3RD LN,,OXFORD,WI,53952,USA,43.76285,-89.6548428,,True
USA-WI-50-All-50-All-4,ADAMS COMFORT LIVING,,REGULAR,,JESSICA BAUMLER,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4523226&keyb=-1,JESSICA BAUMLER,(608) 339-4831,,,,,Limited Liability Company,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; PHYSICALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL ILLNESS,,,,,211 E JUNE ST,,ADAMS,WI,53910,USA,43.9543912,-89.8157911,,True
USA-WI-50-All-50-All-5,FOSNOW ADULT FAMILY HOME III,,REGULAR,,FOSNOW ADULT FAMILY HOME LLC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4525470&keyb=-1,RITA FOSNOW,(608) 547-1915,,,,,Limited Liability Company,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,2319 13TH LN,,FRIENDSHIP,WI,53934,USA,43.9206282,-89.8321553,,True
USA-WI-50-All-50-All-6,HOLLYHOME AFH,,REGULAR,,HOLLY MANTHEY,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4520158&keyb=-1,HOLLY MANTHEY,(608) 339-0941,,,,,Proprietorship,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PUBLIC FUNDING,,,,,149 SOUTH LINDEN ST,,ADAMS,WI,53910,USA,43.9568858,-89.8152722,,True
USA-WI-50-All-50-All-7,OENS ADULT FAMILY HOME,,REGULAR,,DARLENE KRUSEL-OENS,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4522942&keyb=-1,DARLENE OENS,(608) 339-7831,,,,,Proprietorship,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL ILLNESS; TRAUMATIC BRAIN INJURY,,,,,171 SOUTH PIERCE ST,,ADAMS,WI,53910,USA,43.9566879,-89.8124083,,True
USA-WI-50-All-50-All-8,SHERRY PESAVAS ADULT FAMILY HOME,,REGULAR,,SHERRY PESAVA,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4523832&keyb=-1,SHERRY PESAVA,(608) 339-6071,,,,,Corporation - Business,3,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; TRAUMATIC BRAIN INJURY; PUBLIC FUNDING,,,,,173 S PIERCE ST,,ADAMS,WI,53910,USA,43.9564463,-89.812445,,True
USA-WI-50-All-50-All-9,FOSNOW ADULT FAMILY HOME LLC,,REGULAR,,FOSNOW ADULT FAMILY HOME LLC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4523951&keyb=-1,RITA FOSNOW,(608) 339-2946,,,,,Limited Liability Company,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,2324 13TH LN,,FRIENDSHIP,WI,53934,USA,43.9201798,-89.8308969,,True
USA-WI-50-All-50-All-10,FOSNOW ADULT FAMILY HOME II,,REGULAR,,FOSNOW ADULT FAMILY HOME LLC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4523968&keyb=-1,RITA FOSNOW,(608) 339-9421,,,,,Limited Liability Company,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,2318 13TH LN,,FRIENDSHIP,WI,53934,USA,43.9206497,-89.8311443,,True
USA-WI-50-All-50-All-11,EDWARDS FAMILY CARE,,REGULAR,,JAMES AND BARBARA EDWARDS,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524324&keyb=-1,BARBARA EDWARDS,(608) 339-3587,,,,,Partnership,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED,,,,,171 S WATTS ST,PO BOX 1060,ADAMS,WI,53910,USA,43.956579,-89.8111716,,True
USA-WI-50-All-50-All-12,RYKIEL'S AFH LLC,,REGULAR,,FLORA JEAN JOHNSON,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524430&keyb=-1,FLORA JEAN JOHNSON,(608) 339-9634,,,,,Limited Liability Company,4,,Adult Family Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL ILLNESS; PUBLIC FUNDING,,,,,801 NORTH ST,PO BOX 21,ADAMS,WI,53910,USA,43.9649595,-89.8071375,,True
USA-WI-50-All-50-All-13,LIBERTY VILLAGE OF ADAMS,,REGULAR,,COPPERLEAF MANAGEMENT GROUP INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4519672&keyb=-1,CANDICE JOHNSON,(608) 339-9444,,,,,Corporation - Business,44,,Community Based Residential Facility,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; PHYSICALLY DISABLED; TERMINALLY ILL; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS,,,,,550 W LIBERTY STREET,,ADAMS,WI,53910,USA,43.96146,-89.823419,,True
USA-WI-50-All-50-All-14,VILLA PINES LIVING CENTER,,REGULAR,,LLC Profit,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4510733&keyb=-1,LAURIE CARLSON,(608) 339-3361,,,,,T18/T19 Medicare/Medicaid,VILLA PINES FACILITIES LLC,,Nursing Home,Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,201 PARK ST,PO BOX 130,FRIENDSHIP,WI,53934,USA,43.9740941,-89.8275019,,True
USA-WI-50-All-50-All-15,MEMORY LANE ADULT DAY SERVICES,,REGULAR,,NORTHWEST WI COMMUNITY SERVICES AGENCY INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4525290&keyb=-1,MILLIE ROUNSVILLE,(715) 292-6400,,,,,Other,16,,Adult Day Care,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRREVERSIBLE DEMENTIA/ALZHEIMER'S; PUBLIC FUNDING,,,,,623 E 2ND AVE,,ASHLAND,WI,54806,USA,46.5878353,-90.8784455,,True
USA-WI-50-All-50-All-16,HASANI REM WISCONSIN III INC,,REGULAR,,REM WISCONSIN III INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4526226&keyb=-1,SHELLEY HANSEN BLAKE,(715) 292-6333,,,,,Corporation - Business,4,,Adult Family Home,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS,,,,,1610 W 10TH AVE,,ASHLAND,WI,54806,USA,46.5747898,-90.8828951,,True
USA-WI-50-All-50-All-17,DECLARATION REM WISCONSIN III INC,,REGULAR,,REM WISCONSIN III INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4526227&keyb=-1,SHELLEY HANSEN BLAKE,(715) 682-0438,,,,,Corporation - Business,4,,Adult Family Home,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS,,,,,61148 HILLSIDE LN,,ASHLAND,WI,54806,USA,46.50482,-90.902715,,True
USA-WI-50-All-50-All-18,BIRCH HAVEN SENIOR LIVING TIMBERS EDGE,,REGULAR,,KELM ENTERPRISES INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524823&keyb=-1,DALE KELM,(715) 682-2506,,,,,Corporation - Non profit,15,,Community Based Residential Facility,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; PHYSICALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS; TRAUMATIC BRAIN INJURY; PUBLIC FUNDING,,,,,1500 10TH ST W,,ASHLAND,WI,54806,USA,46.576674,-90.89442,,True
USA-WI-50-All-50-All-19,BIRCH HAVEN SENIOR LIVING BEARS HOLLOW,,REGULAR,,KELM ENTERPRISES INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524824&keyb=-1,DALE KELM,(715) 682-2534,,,,,Corporation - Business,17,,Community Based Residential Facility,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; PHYSICALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS; TRAUMATIC BRAIN INJURY; PUBLIC FUNDING,,,,,1019 15TH AVE W,,ASHLAND,WI,54806,USA,46.576312,-90.894585,,True
USA-WI-50-All-50-All-20,BIRCH HAVEN SENIOR LIVING FALCONS CREST,,REGULAR,,KELM ENTERPRISES INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524826&keyb=-1,DALE KELM,(715) 682-2775,,,,,Corporation - Business,15,,Community Based Residential Facility,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; PHYSICALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS; TRAUMATIC BRAIN INJURY; PUBLIC FUNDING,,,,,218 22ND AVE W,,ASHLAND,WI,54806,USA,46.5810102,-90.9089311,,True
USA-WI-50-All-50-All-21,BIRCH HAVEN SENIOR LIVING EAGLES RIDGE,,REGULAR,,KELM ENTERPRISES INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524825&keyb=-1,DALE KELM,(715) 682-1069,,,,,Corporation - Business,8,,Community Based Residential Facility,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; PHYSICALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS; TRAUMATIC BRAIN INJURY; PUBLIC FUNDING,,,,,224 22ND AVE W,,ASHLAND,WI,54806,USA,46.580649,-90.908724,,True
USA-WI-50-All-50-All-22,COURT MANOR HEALTH SERVICES,,PROBATIONARY,,LLC Profit,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4510169&keyb=-1,MELISSA ESTAIN,(715) 682-8172,,,,,T18/T19 Medicare/Medicaid,NSH COURT MANOR LLC,,Nursing Home,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,911 3RD ST WEST,,ASHLAND,WI,54806,USA,46.586355,-90.893195,,True
USA-WI-50-All-50-All-23,ASHLAND HEALTH AND REHABILITATION CENTER,,REGULAR,,LLC Profit,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4510199&keyb=-1,BRIDGET STABERG,(715) 682-3468,,,,,T18/T19 Medicare/Medicaid,SSC ASHLAND OPERATING COMPANY LLC,,Nursing Home,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,1319 BEASER AVE,,ASHLAND,WI,54806,USA,46.5747681,-90.8901924,,True
USA-WI-50-All-50-All-24,MELLEN MANOR,,REGULAR,,For-Profit Partnership,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4510993&keyb=-1,JILL PREISLER-HERSPERGER,(715) 274-5706,,,,,T18/T19 Medicare/Medicaid,PREISLER - LYNN LLP,,Nursing Home,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,450 LAKE DR,,MELLEN,WI,54546,USA,46.321521,-90.655434,,True
USA-WI-50-All-50-All-25,DAYBREAK II,,REGULAR,,BARRON COUNTY OFFICE ON AGING,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4519928&keyb=-1,SHELLIE LYSTE,(715) 537-3229,,,,,Government-County,15,,Adult Day Care,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; PUBLIC FUNDING,,,,,154 MEMORIAL DRIVE,,BARRON,WI,54812,USA,45.3987862,-91.8421059,,True
USA-WI-50-All-50-All-26,CEDAR SHORES FAMILY ADULT DAY CARE,,REGULAR,,NANCY HELMS,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4526420&keyb=-1,NANCY HELMS,(715) 790-0491,,,,,Proprietorship,4,,Adult Day Care,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED,,,,,518 SCHOFIELD STREET,,CHETEK,WI,54728,USA,45.3228999,-91.6560928,,True
