name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Urszula Wawrzynowicz's Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBO,,,,14 Centre St,,,Dartmouth,,,NS,,B2Y 3K8,Canada,44.6772259,-63.5442115,,True
Precision Health - Washill Lake Drive Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,599 Washill Lake,,,Halifax,,,NS,,B3S 0G8,Canada,44.6500242,-63.6536919,,False
Precision Health - 21 Kincardine Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,21 Kincardine St,,,Halifax,,,NS,,B2X 1H7,Canada,44.6907923,-63.5361309,Tam O'Shanter Ridge,True
Precision Health - 24 Kincardine Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,24 Kincardine St,,,Halifax,,,NS,,B2X 1H9,Canada,44.6914288,-63.5370806,Tam O'Shanter Ridge,True
Precision Health - 16 Rannoch Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,16 Rannoch Rd,,,Dartmouth,,,NS,,B2X 1J6,Canada,44.6906579,-63.5356092,Tam O'Shanter Ridge,True
PJD Rehab Housing Incorporated (Peter's Place Halifax),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,12 Swan Cr,,,Halifax,,,NS,,B3M 1T6,Canada,44.669059,-63.6583872,,True
Annapolis Royal Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,9745 Highway 8,RR #2,,Annapolis Royal,,,NS,,B4S 1A0,Canada,44.7357467,-65.4995435,,True
Celtic Court ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,16 St Anthony Dr,,,Sydney,,,NS,,B1A 2R5,Canada,46.1219424,-60.1946536,,True
Bissett Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,74 Chameau Cr,,,Cole Harbour,,,NS,,B2W 0H5,Canada,44.677899,-63.4903147,,True
Elk Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,91 Carter Rd,,,Brookfield,,,NS,,B0N 1C0,Canada,45.259264,-63.273847,,True
Harbour View Haven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,25 Blockhouse Hill Rd,,,Lunenburg,,,NS,,B0J 2C0,Canada,44.377074,-64.302473,,True
Hillside Pines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,77 Exhibition Dr,,,Bridgewater,,,NS,,B4V 3K6,Canada,44.3686575,-64.5211396,,True
Mahone Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,640 Main St,,,Mahone Bay,,,NS,,B0J 2E0,Canada,44.4479108,-64.376723,,True
North Queens Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,,9565 Keji Dr,,,Caledonia,,,NS,,B0T 1B0,Canada,44.374791`,-65.031043,,True
