name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
"Hometown Manor of Lawrenceburg, LLC",,,,,,,,,,,,,,,,,,(502) 229-5914,,,,,,,,,,,,,,,,,Assisted Living,,,,101 Hawkins St,,,Lawrenceburg,,,KY,,40342,US,38.031836,-84.8933288,,True
New Haven Assisted Living-Kevil,,,,,,,,,,,,,,,,,,(270) 462-2400,,,,,,,,,,,,,,,,,Assisted Living,,,,859 Veterans Ave,,,Kevil,,,KY,,42053,US,37.07872870000001,-88.8826201,,True
Highland Ridge Assisted Living,,,,,,,,,,,,,,,,,,(270) 659-2548,,,,,,,,,,,,,,,,,Assisted Living,,,,180 Scottie Drive,,,Glasgow,,,KY,,42141,US,37.0130212,-85.892775,,True
Hometown Manor of Glasgow,,,,,,,,,,,,,,,,,,(859) 229-5914,,,,,,,,,,,,,,,,,Assisted Living,,,,201 Trista Lane,,,Glasgow,,,KY,,42141,US,37.00830210000001,-85.90013499999999,,True
Owingsville Manor ALC,,,,,,,,,,,,,,,,,,(606) 674-2200,,,,,,,,,,,,,,,,,Assisted Living,,,,201 Williams Lane,,,Owingsville,,,KY,,40360,US,38.12686219999999,-83.7543494,,True
Elmcroft of Florence,,,,,,,,,,,,,,,,,,(859) 795-0302,,,,,,,,,,,,,,,,,Assisted Living,,,,212 Main St,,,Florence,,,KY,,41042,US,39.004399,-84.62362739999999,,True
Magnolia Springs Florence Senior Living,,,,,,,,,,,,,,,,,,(859) 282-1328,,,,,,,,,,,,,,,,,Assisted Living,,,,7665 Ewing Blvd,,,Florence,,,KY,,41042,US,38.9920699,-84.6387297,,True
Charleston Assisted Living,,,,,,,,,,,,,,,,,,(859) 236-8906,,,,,,,,,,,,,,,,,Assisted Living,,,,203 Bruce Court,,,Danville,,,KY,,40422,US,37.64366609999999,-84.75859229999999,,True
McDowell Place Of Danville,,,,,,,,,,,,,,,,,,(859) 239-4663,,,,,,,,,,,,,,,,,Assisted Living,,,,1181 Ben Ali Drive,,,Danville,,,KY,,40422,US,37.6533463,-84.80512379999999,,True
"Parkview Manor Assisted Living Community, LLC",,,,,,,,,,,,,,,,,,(859) 236-1557,,,,,,,,,,,,,,,,,Assisted Living,,,,1004 Argyll Woods Drive,,,Danville,,,KY,,40422,US,37.6603292,-84.7850101,,True
Elmcroft of Mount Washington,,,,,,,,,,,,,,,,,,(502) 753-6004,,,,,,,,,,,,,,,,,Assisted Living,,,,520 Woodlake Drive,,,Mount Washington,,,KY,,40047,US,38.04552899999999,-85.5583163,,True
New Haven Assisted Living of Princeton,,,,,,,,,,,,,,,,,,(270) 365-0092,,,,,,,,,,,,,,,,,Assisted Living,,,,803 Maple St,,,Princeton,,,KY,,42445,US,37.1078026,-87.89306510000002,,True
Brookdale Murray,,,,,,,,,,,,,,,,,,(270) 759-1555,,,,,,,,,,,,,,,,,Assisted Living,,,,905 Glendale Road,,,Murray,,,KY,,42701,US,36.5949158,-88.311607,,True
Hickory Woods Retirement Center,,,,,,,,,,,,,,,,,,(270) 759-8700,,,,,,,,,,,,,,,,,Assisted Living,,,,84 Utterback Road,,,Murray,,,KY,,42701,US,36.6397898,-88.3115213,,True
Barrington at Fort Thomas,,,,,,,,,,,,,,,,,,(859) 572-0667,,,,,,,,,,,,,,,,,Assisted Living,,,,940 Highland Ave,,,Fort Thomas,,,KY,,41075,US,39.071486,-84.46464139999999,,True
Fairview Place,,,,,,,,,,,,,,,,,,(502) 732-7677,,,,,,,,,,,,,,,,,Assisted Living,,,,433 Floyd Drive,,,Carrollton,,,KY,,41008,US,38.6619118,-85.1281477,,True
"River Reed Assisted Living Community, LLC",,,,,,,,,,,,,,,,,,(502) 732-0129,,,,,,,,,,,,,,,,,Assisted Living,,,,601 Hawkins St,,,Carrollton,,,KY,,41008,US,38.6735564,-85.1768349,,True
Carriage Hall Assisted Living,,,,,,,,,,,,,,,,,,(270) 707-3400,,,,,,,,,,,,,,,,,Assisted Living,,,,313 Cool Water Court,,,Hopkinsville,,,KY,,42240,US,36.8254577,-87.50538809999999,,True
Morningside Assisted Living of Hopkinsville,,,,,,,,,,,,,,,,,,(270) 885-0220,,,,,,,,,,,,,,,,,Assisted Living,,,,4190 Lafayette Road,,,Hopkinsville,,,KY,,42240,US,36.822276,-87.5034057,,True
Rose Mary C. Brooks Place,,,,,,,,,,,,,,,,,,(859) 745-4904,,,,,,,,,,,,,,,,,Assisted Living,,,,200 Rose Mary Drive,,,Winchester,,,KY,,40391,US,37.991618,-84.210972,,True
