name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
ALTENHEIM HEALTH & LIVING COMMUNITY,,,,,,(317)781-4512,,,,,,,,,,,,(317)788-4261,,,,,,,,,,,,,,,,,Nursing Home,,,,3525 E HANNA AVE,,,INDIANAPOLIS,,,IN,,46237,US,39.7073473,-86.1056385,Perry Township,False
AMBER MANOR CARE CENTER,,,,,,(812)354-3008,,,,,,,,,,,,(812)354-3001,,,,,,,,,,,,,,,,,Nursing Home,,,,801 E ILLINOIS ST,,,PETERSBURG,,,IN,,47567,US,38.4848058,-87.27444469999999,,False
AMERICAN VILLAGE,,,,,,(317)254-6681,,,,,,,,,,,,(317)253-6950,,,,,,,,,,,,,,,,,Nursing Home,,,,2026 E 54TH ST,,,INDIANAPOLIS,,,IN,,46220,US,39.8521518,-86.12812919999999,,False
APERION CARE DEMOTTE,,,,,,(219)345-4949,,,,,,,,,,,,(219)345-5211,,,,,,,,,,,,,,,,,Nursing Home,,,,10352 N 600 E COUNTY LINE RD,,,DEMOTTE,,,IN,,46310,US,41.14950700000001,-87.27655,,False
ARBOR TRACE HEALTH & LIVING COMMUNITY,,,,,,(765)965-3895,,,,,,,,,,,,(765)939-3701,,,,,,,,,,,,,,,,,Nursing Home,,,,3701 HODGIN RD,,,RICHMOND,,,IN,,47374,US,39.81177599999999,-84.850674,,False
ARLINGTON PLACE HEALTH CAMPUS,,,,,,(317)353-6002,,,,,,,,,,,,(317)353-6000,,,,,,,,,,,,,,,,,Nursing Home,,,,1635 N ARLINGTON AVE,,,INDIANAPOLIS,,,IN,,46218,US,39.789958,-86.06301189999999,,False
ASBURY TOWERS HEALTH CARE CENTER,,,,,,(765)653-5587,,,,,,,,,,,,(765)653-5148,,,,,,,,,,,,,,,,,Nursing Home,,,,102 W POPLAR ST,,,GREENCASTLE,,,IN,,46135,US,39.642154,-86.8659421,,False
ASHFORD PLACE HEALTH CAMPUS,,,,,,(317)398-8425,,,,,,,,,,,,(317)398-8422,,,,,,,,,,,,,,,,,Nursing Home,,,,2200 N RILEY HWY,,,SHELBYVILLE,,,IN,,46176,US,39.5572127,-85.7743713,,False
ASPEN PLACE HEALTH CAMPUS,,,,,,(812)527-2074,,,,,,,,,,,,(812)527-2222,,,,,,,,,,,,,,,,,Nursing Home,,,,2320 N MONTGOMERY Rd,,,GREENSBURG,,,IN,,47240,US,39.358609,-85.470145,,True
ASPEN TRACE HEALTH & LIVING COMMUNITY,,,,,,(317)736-3589,,,,,,,,,,,,(317)535-3344,,,,,,,,,,,,,,,,,Nursing Home,,,,3154 SOUTH STATE ROAD 135,,,GREENWOOD,,,IN,,46143,US,39.5710449,-86.15969249999999,,True
