name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Atlantic Shores Rehabilitation & Health Center,,,,,,,,,,,,,,,,,,302-934-7300,,,,,,,,,,,,,,,,,Nursing Home,,,,231 South Washington St,,,Millsboro,,,DE,,19966-1236,US,38.5869188,-75.29535729999999,,True
Brackenville Center,,,,,,,,,,,,,,,,,,302-234-5420,,,,,,,,,,,,,,,,,Nursing Home,,,,100 Saint Claire Dr,,,Hockessin,,,DE,,19707-8906,US,39.76762199999999,-75.70316629999999,,True
Brandywine Nursing and Rehabilitation Center,,,,,,,,,,,,,,,,,,302-998-0101,,,,,,,,,,,,,,,,,Nursing Home,,,,505 Greenbank Rd,,,Wilmington,,,DE,,19808-3164,US,39.7416279,-75.6335639,,True
Cadbury at Lewes Nursing Home,,,,,,,,,,,,,,,,,,302-645-6400,,,,,,,,,,,,,,,,,Nursing Home,,,,17028 Cadbury Cir,,,Lewes,,,DE,,19958-7028,US,38.7557439,-75.14100859999999,,True
Cadia Rehabilitation Broadmeadow,,,,,,,,,,,,,,,,,,302-449-3400,,,,,,,,,,,,,,,,,Nursing Home,,,,500 South Broad St,,,Middletown,,,DE,,19709-1443,US,39.4440258,-75.71789489999999,,True
Cadia Rehabilitation Capitol,,,,,,,,,,,,,,,,,,302-734-1199,,,,,,,,,,,,,,,,,Nursing Home,,,,1225 Walker Rd,,,Dover,,,DE,,19904-6541,US,39.1686222,-75.5547507,,True
Cadia Rehabilitation Pike Creek,,,,,,,,,,,,,,,,,,302-455-0808,,,,,,,,,,,,,,,,,Nursing Home,,,,3540 Three Little Bakers Blvd,,,Wilmington,,,DE,,19808-1754,US,39.73513899999999,-75.6982609,,True
Cadia Rehabilitation Renaissance,,,,,,,,,,,,,,,,,,302-947-4200,,,,,,,,,,,,,,,,,Nursing Home,,,,26002 John J Williams Hwy,,,Millsboro,,,DE,,19966-4948,US,38.6308588,-75.1967409,,True
Cadia Rehabilitation Silverside,,,,,,,,,,,,,,,,,,302-478-8889,,,,,,,,,,,,,,,,,Nursing Home,,,,3322 Silverside Rd,,,Wilmington,,,DE,,19810-3307,US,39.8075398,-75.5397263,,True
Churchman Village,,,,,,,,,,,,,,,,,,302-998-6900,,,,,,,,,,,,,,,,,Nursing Home,,,,4949 Ogletown-Stanton Rd,,,Newark,,,DE,,19713-2908,US,39.6971116,-75.6610836,,True
