name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
HÔPITAL MARIE-CLARAC,,,,,,(514) 321-9626,,,,,,,,,,,,(514) 321-8800,,,,,,,,,,,,,,,,,Assisted Living,,,,3530 boulevard Gouin Est,,,,Montréal (66023),,QC,,H1H 1B7,Canada,45.59065989999999,-73.6488515,,True
CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES,,,,,,(514) 937-3492,,,,,,,,,,,,(514) 937-9251,,,,,,,,,,,,,,,,,Assisted Living,,,,500 avenue Ash,,,,Montréal (66023),,QC,,H3K 2R4,Canada,45.4783377,-73.5566876,,True
CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES,,,,,,(514) 937-3492,,,,,,,,,,,,(514) 937-9251,,,,,,,,,,,,,,,,,Assisted Living,,,,1955 rue Centre,,,,Montréal (66023),,QC,,H3K 1J1,Canada,45.4822829,-73.5633391,,True
ATELIER DU HAUT-SAINT-FRANÇOIS,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 832-2222,,,,,,,,,,,,,,,,,Assisted Living,,,,53 rue Angus Sud,,,,East Angus (41060),,QC,,J0B 1R0,Canada,45.4796709,-71.6642777,,True
ATELIER DU VAL-SAINT-FRANÇOIS,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 845-7200,,,,,,,,,,,,,,,,,Assisted Living,,,,5 rue des Sources,bureau 104,,,Windsor (42088),,QC,,J1S 2X3,Canada,45.4975661,-75.7509486,District de Limbour,True
ATELIER ET CENTRE D'ACT. DE JOUR SHERBROOKE - PROSPECT,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 346-8471,,,,,,,,,,,,,,,,,Assisted Living,,,,1621 rue Prospect,,,,Sherbrooke (43027),,QC,,J1J 1K4,Canada,45.410114,-71.915194,,True
ATELIER ET CENTRE D'ACTIVITÉS DE JOUR D'ASBESTOS,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 879-7749,,,,,,,,,,,,,,,,,Assisted Living,,,,200 rue Letendre,,,,Asbestos (40043),,QC,,J1T 1E3,Canada,45.77787179999999,-71.96675119999999,,True
CENTRE D'ACTIVITÉS DE JOUR DE DIXVILLE,,,,,,(819) 849-6673,,,,,,,,,,,,(000) 000-0000,,,,,,,,,,,,,,,,,Assisted Living,,,,350 rue Saint-Alexandre,,,,Dixville (44023),,QC,,J0B 1P0,Canada,45.5373229,-73.5062429,,True
CENTRE D'ACTIVITÉS DE JOUR DE MAGOG,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 843-0796,,,,,,,,,,,,,,,,,Assisted Living,,,,1525 rue Principale Est,,,,Magog (45072),,QC,,J1X 1Z8,Canada,45.262694,-72.1240859,,True
CENTRE D'ACTIVITÉS DE JOUR DE MANSONVILLE,,,,,,(819) 849-6673,,,,,,,,,,,,(450) 292-4886,,,,,,,,,,,,,,,,,Assisted Living,,,,282 rue Principale,,,,Potton (45030),,QC,,J0E 1X0,Canada,45.8929277,-74.1580149,,True
CENTRE D'ACTIVITES DE JOUR DE SHERBROOKE - FAIRMOUNT,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 346-8471,,,,,,,,,,,,,,,,,Assisted Living,,,,1010 rue Fairmount,,,,Sherbrooke (43027),,QC,,J1H 3N3,Canada,45.39088700000001,-71.90231899999999,,True
CENTRE D'ACTIVITÉS DE JOUR DE SHERBROOKE - QUEEN,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 564-0303,,,,,,,,,,,,,,,,,Assisted Living,,,,36 rue Queen,,,,Sherbrooke (43027),,QC,,J1M 1H9,Canada,45.49689009999999,-73.55379649999999,,True
CENTRE D'ACTIVITÉS DE JOUR DU GRANIT,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 583-0407,,,,,,,,,,,,,,,,,Assisted Living,,,,6435 rue Notre-Dame,,,,Lac-Mégantic (30030),,QC,,G6B 2M9,Canada,45.5726799,-73.5192497,,True
CENTRE D'ACTIVITÉS DE JOUR DU HAUT-SAINT-FRANÇOIS,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 832-4212,,,,,,,,,,,,,,,,,Assisted Living,,,,109 rue Saint-Jacques Est,,,,East Angus (41060),,QC,,J0B 1R0,Canada,46.75930200000001,-71.2333189,,True
CENTRE D'ACTIVITÉS DE JOUR DU VAL-SAINT-FRANÇOIS,,,,,,(819) 849-6673,,,,,,,,,,,,(819) 845-1033,,,,,,,,,,,,,,,,,Assisted Living,,,,56 rue Saint-Georges,,,,Windsor (42088),,QC,,J1S 1J5,Canada,45.5701611,-72.0028152,,True
MAISON ELIZABETH,,,,,,(514) 482-9467,,,,,,,,,,,,(514) 482-2488,,,,,,,,,,,,,,,,,Assisted Living,,,,2131 avenue de Marlowe,,,,Montréal (66023),,QC,,H4A 3L4,Canada,45.4752161,-73.6068745,,True
CENTRE MIRIAM,,,,,,(514) 345-8965,,,,,,,,,,,,(514) 681-9256,,,,,,,,,,,,,,,,,Assisted Living,,,,8160 chemin Royden,,,,Mont-Royal (66072),,QC,,H4P 2T2,Canada,45.49649040000001,-73.6616329,,True
CENTRE D'HÉBERGEMENT CAMILLE-LEFEBVRE,,,,,,(514) 284-5086,,,,,,,,,,,,(514) 637-2351,,,,,,,,,,,,,,,,,Assisted Living,,,,637 13e Avenue,,,,Montréal (66023),,QC,,H8S 4K4,Canada,45.4410304,-73.6770293,,True
CENTRE SERV. AMB. DE MAISONNEUVE,,,,,,(514) 284-5086,,,,,,,,,,,,(514) 934-1934,,,,,,,,,,,,,,,,,Assisted Living,,,,5252 boulevard de Maisonneuve,,,,Montréal (66023),,QC,,H4A 3S9,Canada,45.473358,-73.60462969999999,,True
HÔPITAL DE LACHINE,,,,,,(514) 284-5086,,,,,,,,,,,,(514) 637-2351,,,,,,,,,,,,,,,,,Assisted Living,,,,650 16e Avenue,,,,Montréal (66023),,QC,,H8S 3N5,Canada,45.4409294,-73.6773359,,True
HOPITAL GENERAL DE MONTREAL,,,,,,(514) 284-5086,,,,,,,,,,,,(514) 937-6011,,,,,,,,,,,,,,,,,Assisted Living,,,,1650 avenue Cedar,,,,Montréal (66023),,QC,,H3G 1A4,Canada,45.4969778,-73.58906809999999,,True
HOPITAL NEUROLOGIQUE DE MONTREAL,,,,,,(514) 284-5086,,,,,,,,,,,,(514) 398-6644,,,,,,,,,,,,,,,,,Assisted Living,,,,3801 rue University,,,,Montréal (66023),,QC,,H3A 2B4,Canada,45.50907489999999,-73.58148010000001,,True
HOPITAL ROYAL VICTORIA,,,,,,(514) 284-5086,,,,,,,,,,,,(514) 934-1934,,,,,,,,,,,,,,,,,Assisted Living,,,,687 avenue des Pins Ouest,,,,Montréal (66023),,QC,,H3A 1A1,Canada,45.506541,-73.5823336,,True
L'HOPITAL DE MONTREAL POUR ENFANTS,,,,,,(514) 284-5086,,,,,,,,,,,,(514) 412-4400,,,,,,,,,,,,,,,,,Assisted Living,,,,2300 rue Tupper,,,,Montréal (66023),,QC,,H3H 1P3,Canada,45.4889331,-73.5825993,,True
SITE GLEN,,,,,,(514) 284-5086,,,,,,,,,,,,(514) 934-1934,,,,,,,,,,,,,,,,,Assisted Living,,,,1001 rue Décarie,,,,Montréal (66023),,QC,,H4A 3J1,Canada,45.5977514,-73.35246719999999,,True
RÉSIDENCE DES FILLES ET/OU GARÇONS (HAVRE-JEUNESSE),,,,,,(514) 769-3510,,,,,,,,,,,,(514) 769-2122,,,,,,,,,,,,,,,,,Assisted Living,,,,1019 avenue Moffat,,,,Montréal (66023),,QC,,H4H 1Z1,Canada,45.4505391,-73.5781101,,True
RÉSIDENCE DES GARÇONS ET/OU FILLES (HAVRE-JEUNESSE),,,,,,(514) 769-3510,,,,,,,,,,,,(514) 769-5050,,,,,,,,,,,,,,,,,Assisted Living,,,,4360 boulevard Lasalle,,,,Montréal (66023),,QC,,H4G 2A8,Canada,45.4602112,-73.5629257,,True
CHSLD HEATHER I,,,,,,(450) 834-5805,,,,,,,,,,,,(450) 834-3070,,,,,,,,,,,,,,,,,Assisted Living,,,,3931 Lakeshore Drive,,,,Rawdon (62037),,QC,,J0K 1S0,Canada,46.0508386,-73.70166189999999,,True
HÔPITAL GÉNÉRAL JUIF,,,,,,(514) 340-7510,,,,,,,,,,,,(514) 340-8222,,,,,,,,,,,,,,,,,Assisted Living,,,,3755 chemin de la Côte-Sainte-Catherine,,,,Montréal (66023),,QC,,H3T 1E2,Canada,45.4977149,-73.62867159999999,,True
HÔPITAL GÉNÉRAL JUIF,,,,,,(514) 340-7510,,,,,,,,,,,,(514) 340-8222,,,,,,,,,,,,,,,,,Assisted Living,,,,4335 chemin de la Côte-Sainte-Catherine,,,,Montréal (66023),,QC,,H3T 1E4,Canada,45.49572739999999,-73.6304208,,True
CENTRE DE READAPTATION MARIE ENFANT,,,,,,(514) 345-4808,,,,,,,,,,,,(514) 374-1710,,,,,,,,,,,,,,,,,Assisted Living,,,,5200 rue Bélanger,,,,Montréal (66023),,QC,,H1T 1C9,Canada,45.5753164,-73.5771354,,True
CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,,,,,,(514) 345-4808,,,,,,,,,,,,(514) 345-4931,,,,,,,,,,,,,,,,,Assisted Living,,,,5757 avenue Decelles,,,,Montréal (66023),,QC,,H3S 2C3,Canada,45.5011543,-73.6261384,,True
CHU SAINTE-JUSTINE,,,,,,(514) 345-4808,,,,,,,,,,,,(514) 345-4931,,,,,,,,,,,,,,,,,Assisted Living,,,,3175 chemin de la Côte-Sainte-Catherine,,,,Montréal (66023),,QC,,H3T 1C5,Canada,45.5032186,-73.6239156,,True
LA RESIDENCE DE LACHUTE,,,,,,(450) 562-4156,,,,,,,,,,,,(450) 562-5203,,,,,,,,,,,,,,,,,Assisted Living,,,,377 rue Principale,,,,Lachute (76020),,QC,,J8H 1Y1,Canada,45.8911137,-74.16239300000001,,True
CENTRE DE READAPTATION SAPUMMIVIK,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 255-1188,,,,,,,,,,,,,,,,,Assisted Living,,,,Case postale 39,,,,Salluit (99135),,QC,,J0M 1S0,Canada,ERROR,ERROR,ERROR,False
CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,,,,,,(819) 964-2653,,case postale 149,,,,,,,,,,(819) 964-2905,,,,,,,,,,,,,,,,,Assisted Living,,,,Kuujjuaq,,,,Kuujjuaq (99095),,QC,,J0M 1C0,Canada,58.102996,-68.41883899999999,,False
DISPENSAIRE D'AUPALUK,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 491-7077,,,,,,,,,,,,,,,,,Assisted Living,,,,Aupaluk,,,,Aupaluk (99105),,QC,,J0M 1X0,Canada,59.30574,-69.597489,,False
DISPENSAIRE DE KANGIQSUALUJJUAQ,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 337-5312,,,,,,,,,,,,,,,,,Assisted Living,,,,Kangiqsualujjuaq,,,,Kangiqsualujjuaq (99090),,QC,,J0M 1N0,Canada,58.71015479999999,-65.995116,,False
DISPENSAIRE DE KANGIQSUJUAQ,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 338-3303,,,,,,,,,,,,,,,,,Assisted Living,,,,Kangiqsujuaq,,,,Kangiqsujuaq (99130),,QC,,J0M 1K0,Canada,61.59625999999999,-71.9538859,,False
DISPENSAIRE DE KANGIRSUK,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 935-4255,,,,,,,,,,,,,,,,,Assisted Living,,,,Kangirsuk,,,,Kangirsuk (99110),,QC,,J0M 1A0,Canada,60.023415,-70.026235,,False
DISPENSAIRE DE QUAQTAQ,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 492-9977,,,,,,,,,,,,,,,,,Assisted Living,,,,Quaqtaq,,,,Quaqtaq (99115),,QC,,J0M 1J0,Canada,61.04172399999999,-69.639923,,False
DISPENSAIRE DE TASIUJAQ,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 633-9977,,,,,,,,,,,,,,,,,Assisted Living,,,,Tasiujaq,,,,Tasiujaq (99100),,QC,,J0M 1T0,Canada,58.697407,-69.937393,,False
FOYER DE GROUPE (CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 964-2919,,,,,,,,,,,,,,,,,Assisted Living,,,,Kuujjuaq,,,,Kuujjuaq (99095),,QC,,J0M 1C0,Canada,58.102996,-68.41883899999999,,False
FOYER DE GROUPE DE KUUJJUAQ,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 964-0308,,,,,,,,,,,,,,,,,Assisted Living,,,,House 2030,,,,Kuujjuaq (99095),,QC,,J0M 1C0,Canada,38.8954895,-77.10917289999999,Cherrydale,False
FOYER DE GROUPE DE KUUJJUARAAPIK,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 929-3223,,,,,,,,,,,,,,,,,Assisted Living,,,,House 669 Kuujjuaraapik Road,,,,Kuujjuarapik (99075),,QC,,J0M 1G0,Canada,55.274981,-77.76622480000002,,False
MAISON DE TRANSIT (CENTRE DE SANTÉ TULATTAVIK DE L'UNGA,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 964-2905,,,,,,,,,,,,,,,,,Assisted Living,,,,Kuujuuaq,,,,Kuujjuaq (99095),,QC,,J0M 1C0,Canada,58.102996,-68.41883899999999,,False
ULLURIAQ,,,,,,(819) 964-2653,,,,,,,,,,,,(819) 964-2905,,,,,,,,,,,,,,,,,Assisted Living,,,,Building 780,,,,Inukjuak (99085),,QC,,J0M 1M0,Canada,39.7289334,-104.9031462,East,False
CENTRE HOSPITALIER DE ST. MARY,,,,,,(514) 734-2636,,,,,,,,,,,,(514) 345-3511,,,,,,,,,,,,,,,,,Assisted Living,,,,3830 avenue Lacombe,,,,Montréal (66023),,QC,,H3T 1M5,Canada,45.4948958,-73.6238376,,True
GMFU ET CENTRE SERV. AMB. DE ST. MARY,,,,,,(514) 734-2636,,,,,,,,,,,,(000) 000-0000,,,,,,,,,,,,,,,,,Assisted Living,,,,3777 rue Jean-Brillant,,,,Montréal (66023),,QC,,H3T 1M5,Canada,45.4954615,-73.6229051,,True
CENTRE DE PSYCHIATRIE LEGALE DE MONTREAL,,,,,,(514) 494-4406,,,,,,,,,,,,(514) 328-7800,,,,,,,,,,,,,,,,,Assisted Living,,,,6555 boulevard Métropolitain Est burea,,,,Montréal (66023),,QC,,H1P 3H3,Canada,45.5950526,-73.5780231,,True
INSTITUT PHILIPPE-PINEL DE MONTREAL,,,,,,(514) 494-4406,,,,,,,,,,,,(514) 648-8461,,,,,,,,,,,,,,,,,Assisted Living,,,,10905 boulevard Henri-Bourassa Est,,,,Montréal (66023),,QC,,H1C 1H1,Canada,45.6545547,-73.53275719999999,,True
RÉSIDENCE RIVIERA,,,,,,(450) 682-0154,,,,,,,,,,,,(450) 682-0111,,,,,,,,,,,,,,,,,Assisted Living,,,,2999 boulevard Notre-Dame,,,,Laval (65005),,QC,,H7V 4C4,Canada,45.5487003,-73.7346293,,True
L'HOPITAL CHINOIS DE MONTREAL (1963),,,,,,(514) 871-0966,,,,,,,,,,,,(514) 871-0961,,,,,,,,,,,,,,,,,Assisted Living,,,,189 avenue Viger Est,,,,Montréal (66023),,QC,,H2X 3Y9,Canada,45.50948770000001,-73.5581314,,True
PAVILLON STE-MARIE,,,,,,(450) 438-7481,,,,,,,,,,,,(450) 438-3583,,,,,,,,,,,,,,,,,Assisted Living,,,,45 rue du Pavillon,,,,Saint-Jérôme (75017),,QC,,J7Y 3R6,Canada,45.8082331,-74.00875529999999,Lafontaine,True
LES CEDRES-CENTRE D'ACCUEIL POUR PERSONNES AGEES,,,,,,(514) 389-0581,,suite 200,,,,,,,,,,(514) 389-1023,,,,,,,,,,,,,,,,,Assisted Living,,,,1275 boulevard de la Côte-Vertu,,,,Montréal (66023),,QC,,H4L 4V2,Canada,45.5168684,-73.6797867,,True
CENTRE D'HÉBERGEMENT DU BOISÉ,,,,,,(418) 781-0330,,,,,,,,,,,,(418) 781-0471,,,,,,,,,,,,,,,,,Assisted Living,,,,3690 boulevard Neilson,,,,Québec (23027),,QC,,G1W 0A9,Canada,46.7539156,-71.32145109999999,,True
CENTRE HOSPITALIER GERIATRIQUE MAIMONIDES,,,,,,(514) 483-1561,,,,,,,,,,,,(514) 483-2121,,,,,,,,,,,,,,,,,Assisted Living,,,,5795 avenue Caldwell,,,,Côte-Saint-Luc (66058),,QC,,H4W 1W3,Canada,45.4718923,-73.6685435,,True
PAVILLON BELLEVUE,,,,,,(418) 833-6874,,,,,,,,,,,,(418) 833-3490,,,,,,,,,,,,,,,,,Assisted Living,,,,99 rue Monseigneur-Bourget,,,,Lévis (25213),,QC,,G6V 9V2,Canada,46.8186614,-71.1565396,,True
CENTRE METROPOLITAIN DE CHIRURGIE PLASTIQUE,,,,,,(514) 332-7095,,,,,,,,,,,,(514) 332-7091,,,,,,,,,,,,,,,,,Assisted Living,,,,999 rue de Salaberry,,,,Montréal (66023),,QC,,H3L 1L2,Canada,45.5453784,-73.6928602,,True
CENTRE MÉTROPOLITAIN DE CHIRURGIE PLASTIQUE,,,,,,(514) 332-7095,,,,,,,,,,,,(000) 000-0000,,,,,,,,,,,,,,,,,Assisted Living,,,,1487 boulevard des Laurentides,,,,Laval (65005),,QC,,H7M 2Y3,Canada,45.58996999999999,-73.7140285,Vimont,True
HOPITAL MONT-SINAI,,,,,,(514) 369-2225,,,,,,,,,,,,(514) 369-2222,,,,,,,,,,,,,,,,,Assisted Living,,,,5690 boulevard Cavendish,,,,Côte-Saint-Luc (66058),,QC,,H4W 1S7,Canada,45.47377929999999,-73.6574481,,True
HÔPITAL SHRINERS POUR ENFANTS (QUÉBEC),,,,,,(514) 842-7553,,,,,,,,,,,,(418) 842-4464,,,,,,,,,,,,,,,,,Assisted Living,,,,1003 boulevard Décarie,,,,Montréal (66023),,QC,,H4A 0A9,Canada,45.4718994,-73.601834,,True
ACCUEIL DU RIVAGE,,,,,,(450) 787-1156,,case postale 60,,,,,,,,,,(450) 787-3163,,,,,,,,,,,,,,,,,Assisted Living,,,,1008 rue du Rivage,,,,Saint-Antoine-sur-Richelieu (57075),,QC,,J0L 1R0,Canada,45.7780922,-73.1733227,,True
