name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
A & D LOVE AND CARE  INC,,,,,,,5931 NW 173RD DR UNIT 3,,HIALEAH,,,,,Miami-Dade,33015-5107,FL,,(305) 510-5745,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,5931 NW 173RD DR,UNIT 3,,HIALEAH,Miami-Dade,,FL,,33015-5107,,25.9311445,-80.2989498,,False
A BETTER LIFE ADULT DAY CARE  INC,,,,,,,8313 W HILLSBOROUGH AVE BLDG 400,,TAMPA,,,,,Hillsborough,33615,FL,,(813) 892-4214,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,8313 W HILLSBOROUGH AVE,BLDG 400,,TAMPA,Hillsborough,,FL,,33615,,27.998136,-82.57631599999999,Town N Country Alliance,False
A JOYFUL HEART SENIOR SERVICES,,,,,,,12201 PEMBROKE RD,,PEMBROKE PINES,,,,,Broward,33025,FL,,,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,12201 PEMBROKE RD,,,PEMBROKE PINES,Broward,,FL,,33025,,25.99543989999999,-80.3086312,,False
A MI MANERA ADULT DAY CARE,,,,,,,7397 SW 8TH ST,,MIAMI,,,,,Miami-Dade,33144,FL,,(305) 588-0570,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,7397 SW 8TH ST,,,MIAMI,Miami-Dade,,FL,,33144,,25.7629636,-80.3154156,Flagami,False
A PLACE FOR YOU ADULT DAY CARE AND REHAB CENTER CORP,,,,,,,4996 10TH AVE N HAVERHILL RD STE 5,,GREENACRES,,,,,Palm Beach,33463,FL,,(561) 965-6980,,,www.aplaceforyouadultdaycare.com,,,,,,,,,,,,,,Adult Day Care Center,,,,4996 10TH RD N HAVERHILL,STE 5,,GREENACRES,Palm Beach,,FL,,33463,,26.6302409,-80.12008569999999,,False
ABC ADULT DAY CARE LLC,,,,,,,11150 SW 211TH ST  NO 100,,CUTLER BAY,,,,,Miami-Dade,33189,FL,,(786) 478-6860,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,11150 SW 211TH St,NO 100,,CUTLER BAY,Miami-Dade,,FL,,33189,,25.5706113,-80.3708489,,True
ABC-ALSY ADULT DAY CARE CENTERS LLC,,,,,,,248 NW 9TH AVE,,HOMESTEAD,,,,,Miami-Dade,33030,FL,,(305) 242-5333,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,248 NW 9TH AVE,,,HOMESTEAD,Miami-Dade,,FL,,33030,,25.4725457,-80.48884749999999,,False
ABIS 'ADULT DAY CARE INC,,,,,,,10910 W FLAGLER ST STE 109-110,,MIAMI,,,,,Miami-Dade,33174,FL,,(305) 225-2550,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,10910 W FLAGLER ST,STE 109-110,,MIAMI,Miami-Dade,,FL,,33174,,25.7677496,-80.37411259999999,,False
ABUELO'S DAY CARE CORP,,,,,,,15435 SW 137TH AVE,,MIAMI,,,,,Miami-Dade,33177-1279,FL,,(305) 232-6230,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,15435 SW 137TH AVE,,,MIAMI,Miami-Dade,,FL,,33177-1279,,25.6239904,-80.41320549999999,,False
ABUELOS ADULT CARE  LLC,,,,,,,3383 NW 7TH ST 101,,MIAMI,,,,,Miami-Dade,33125,FL,,(786) 486-9878,,,,,,,,,,,,,,,,,Adult Day Care Center,,,,3383 NW 7TH ST,101,,MIAMI,Miami-Dade,,FL,,33125,,25.7794074,-80.250664,Little Havana,False
