name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Allisonville Meadows Assisted Living,,,,info@americansrcommunities,,,,,,,,,,,,,,317-436-6400,,,ASCSeniorCare.Com,,,,,,,,,,,,,,Assisted Living,,,,10410 Allisonville Rd,,,Fishers,,,IN,,46038,US,39.93885099999999,-86.0535183,,True
Atria Newburgh,,,,,,,,,,,,,,,,,,812-479-5585,,,http://www.atriaseniorliving.com/,,,,,,,,,,,,,,Assisted Living,,,,5311 Rosebud Lane,,,Newburgh,,,IN,,47630,US,37.9580449,-87.44955759999999,,True
Bethany Village Assisted Living,,,,info@americanSRcommunities.com,,,,,,,,,,,,,,317-784-3066,,,ASCSeniorCare.com,,,,,,,,,,,,,,Assisted Living,,,,3530 Shelby Street,,,Indianapolis,,,IN,,46227-3299,US,39.714808,-86.1405643,,True
Brentwood at Hobart,,,,,,,,,,,,,,,,,,219-945-1968,,,http://www.hobartalc.com/,,,,,,,,,,,,,,Assisted Living,,,,1420 St Mary's Circle,,,Hobart,,,IN,,46342,US,41.513932,-87.26577139999999,,True
Brentwood at La Porte,,,,administrator@laportealc.com,,,,,,,,,,,,,,(219) 325-1599,,,Laportealc.com,,,,,,,,,,,,,,Assisted Living,,,,2002 Andrew Ave La,,,Porte,,,IN,,46350,US,41.5883042,-86.7355375,,True
Brookdale Bloomington,,,,myoder@brookdale.com,,,,,,,,,,,,,,812-330-0885,,,www.brookdale.com,,,,,,,,,,,,,,Assisted Living,,,,3802 S Sare Rd,,,Bloomington,,,IN,,47401,US,39.1266743,-86.5052973,,True
Brookdale Carmel,,,,jpegues@brookdale.com,,,,,,,,,,,,,,317-580-0389,,,www.brookdale.com/carmel,,,,,,,,,,,,,,Assisted Living,,,,301 Executive Dr,,,Carmel,,,IN,,46032,US,39.9633148,-86.1219665,,True
Brookdale Castleton,,,,tcollins@brookdale.com,,,,,,,,,,,,,,317-842-6564,,,Brookdale.com,,,,,,,,,,,,,,Assisted Living,,,,8480 Craig St,,,Indianapolis,,,IN,,46250,US,39.9103951,-86.05450739999999,Castleton,True
Brookdale Evansville,,,,djolly@brookdale.com,,,,,,,,,,,,,,812-867-7900,,,Brookdale.com,,,,,,,,,,,,,,Assisted Living,,,,6521 Greendale Drive,,,Evansville,,,IN,,47711,US,38.03806,-87.5545951,,True
Brookdale Fall Creek,,,,angela.martinez@brookdale.com,,,,,,,,,,,,,,317-251-1300,,,www.brookdale.com/communities/brookdale-place-at-fall-creek,,,,,,,,,,,,,,Assisted Living,,,,5011 Kessler Blvd.,East Drive,,Indianapolis,,,IN,,46220,US,39.85713459999999,-86.0858439,Lake Kesslerwood,True
Brookdale Fort Wayne,,,,,,,,,,,,,,,,,,260-484-0308,,,http://www.brookdale.com/,,,,,,,,,,,,,,Assisted Living,,,,4730 E State Blvd,,,Fort Wayne,,,IN,,46815,US,41.0972301,-85.08018709999999,,True
Brookdale Granger,,,,,,,,,,,,,,,,,,574-243-9020,,,http://www.brookdale.com/,,,,,,,,,,,,,,Assisted Living,,,,430 E Cleveland Rd,,,Granger,,,IN,,46530,US,41.72471489999999,-86.1735975,,True
Brookdale Kokomo,,,,shkokomo@brookdale.com,,,,,,,,,,,,,,(765) 456-1490,,,https://www.brookdale.com/communities/sterling-house-of-kokomo,,,,,,,,,,,,,,Assisted Living,,,,3025 W Sycamore St,,,Kokomo,,,IN,,46901,US,40.4870282,-86.1738579,,True
Brookdale Marion,,,,,,,,,,,,,,,,,,765-384-4500,,,http://www.brookdale.com/,,,,,,,,,,,,,,Assisted Living,,,,2452 W Kem Rd,,,Marion,,,IN,,46952,US,40.5750712,-85.6950652,,True
Brookdale Merrillville,,,,sales01300@brookdale.com,,,,,,,,,,,,,,219-736-9383,,,www.brookdale.com,,,,,,,,,,,,,,Assisted Living,,,,8253 Virginia Street,,,Merrillville,,,IN,,46410,US,41.4680233,-87.3284177,,True
Brookdale Michigan City Memory Care,,,,,,,,,,,,,,,,,,219-872-1935,,,http://www.brookdale.com/,,,,,,,,,,,,,,Assisted Living,,,,1300 E Coolspring Avenue,,,Michigan City,,,IN,,46360,US,41.6951427,-86.8768637,,True
Brookdale Portage,,,,,,,,,,,,,,,,,,219-763-4867,,,http://www.brookdale.com/,,,,,,,,,,,,,,Assisted Living,,,,3444 Swanson Rd,,,Portage,,,IN,,46368,US,41.552268,-87.197982,,True
Brookdale South Bend,,,,Jkimbrell@brookdale.com,,,,,,,,,,,,,,(574) 273-2233,,,Brookdale.com,,,,,,,,,,,,,,Assisted Living,,,,17441 State Road,23,,South Bend,,,IN,,46635,US,41.70854620000001,-86.20592719999999,,True
Brookdale Valparaiso Memory Care,,,,,,,,,,,,,,,,,,219-548-2770,,,http://www.brookdale.com/,,,,,,,,,,,,,,Assisted Living,,,,2501 Valparaiso St,,,Valparaiso,,,IN,,46383,US,41.4907,-87.0555532,,True
Brookdale Valparaiso,,,,,,,,,,,,,,,,,,219-548-2230,,,http://www.brookdale.com/,,,,,,,,,,,,,,Assisted Living,,,,2601 Valparaiso St,,,Valparaiso,,,IN,,46383,US,41.492219,-87.0571567,,True
Brookdale Willow Lake,,,,Cbeeson1@brookdale.com,,,,,,,,,,,,,,317-334-9400,,,https://www.brookdale.com/communities/brookdale-place-at-willow-lake/,,,,,,,,,,,,,,Assisted Living,,,,2725 Lake Circle Drive,,,Indianapolis,,,IN,,46268,US,39.9127449,-86.2083265,,True
Brownsburg Meadows Assisted Living,,,,,,,,,,,,,,,,,,317-852-1977,,,,,,,,,,,,,,,,,Assisted Living,,,,7133 Meadow Trail,,,Brownsburg,,,IN,,46112,US,39.8375651,-86.3982497,,True
Cameron Woods,,,,,,,,,,,,,,,,,,800-942-9583,,,http://www.cameronwoods.net/,,,,,,,,,,,,,,Assisted Living,,,,701 W Harcourt Road,,,Angola,,,IN,,46703,US,41.6546114,-85.00828399999999,,True
