name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
ARBOR TERRACE AT CRABAPPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,12200 CRABAPPLE ROAD,,,ALPHARETTA,,,GA,,30004,US,34.0786458,-84.3604416,,True
ARBOR TERRACE OF ATHENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,170 MARILYN FARMER WAY,,,ATHENS,,,GA,,30606,US,33.94470499999999,-83.471566,,True
AUTUMN LEAVES OF SUGARLOAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1475 SATELLITE BLVD,,,SUWANEE,,,GA,,30024,US,34.0043879,-84.08043649999999,,True
BICKFORD OF MARIETTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,840 LECROY DRIVE,,,MARIETTA,,,GA,,30068,US,33.97180339999999,-84.4864767,,True
BRANDON WILDE ALC / WINDSOR HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4275 OWENS ROAD,,,EVANS,,,GA,,30809,US,33.5277048,-82.1248003,,True
BRIGHTON GARDENS OF BUCKHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,3088 LENOX ROAD,,,ATLANTA,,,GA,,30324,US,33.8400623,-84.3588298,Buckhead,True
BRIGHTON GARDENS OF DUNWOODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1240 ASHFORD CENTER PARKWAY,,,DUNWOODY,,,GA,,30338,US,33.9400224,-84.3366149,,True
COBBLESTONE AT PARK SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,600 SPRINGHOUSE CIRCLE,,,STONE MOUNTAIN,,,GA,,30087,US,33.81252190000001,-84.1216557,,True
"COTTAGES ON WESLEYAN AL, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,1633 WESLEYAN DR,,,MACON,,,GA,,31210,US,32.9166506,-83.72041779999999,,True
DELMAR GARDENS OF GWINNETT PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,3100 CLUB DRIVE,,,LAWRENCEVILLE,,,GA,,30044,US,33.9378166,-84.1001139,,True
FELLOWSHIP HOME AT BROOKSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,470 FELLOWSHIP HOME LANE,,,VALDOSTA,,,GA,,31602,US,30.8780286,-83.4121759,,True
"GABLES AT COBB VILLAGE, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,12 COBB VILLAGE DRIVE,,,ROYSTON,,,GA,,30662,US,34.2815745,-83.12044759999999,,True
"GARDENS AT CALVARY ALC, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,7595 MOON ROAD,,,COLUMBUS,,,GA,,31909,US,32.56096350000001,-84.93500619999999,,True
GRACEMONT ASSISTED LIVING & MEMORY CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4940 JOT-EM-DOWN ROAD,,,CUMMING,,,GA,,30041,US,34.3289568,-84.05060189999999,,True
GRACEMONT ASSISTED LIVING & MEMORY CARE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4960 JOT-EM-DOWN RD,,,CUMMING,,,GA,,30041,US,34.3280113,-84.0504505,,True
GRACEMONT ASSISTED LIVING & MEMORY CARE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4960 JOT EM DOWN ROAD,,,CUMMING,,,GA,,30041,US,34.3280113,-84.0504505,,True
GRACEMONT ASSISTED LIVING AND MEMORY CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,4940 JOT EM DOWN ROAD,,,CUMMING,,,GA,,30041,US,34.3289568,-84.05060189999999,,True
GREAT OAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,920 HWY 138 NW,,,MONROE,,,GA,,30655,US,33.78572679999999,-83.75877,,True
GREENWOOD PLACE RETIREMENT COMMUNITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living Community,,,,,949 W ELM STREET,,,WRIGHTSVILLE,,,GA,,31096,US,32.7252634,-82.74132080000001,,True
