name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Admirals' Coast Retirement Centre,,,,,,,,,,,,,,,,,,(709) 744 7075,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,Canada,47.4958119,-53.0221247,Kelligrews,FALSE
Alderwood Estates,,,,,,,,,,,,,,,,,,(709) 334 2183,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Witless Bay,,,NL,,,Canada,47.2826676,-52.8325042,,FALSE
"Allison,s Manor",,,,,,,,,,,,,,,,,,(709) 834 8541,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Long Pond,,,NL,,,Canada,47.5782618,-52.7320477,Pippy Park,FALSE
Canning's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 834 4013,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Long Pond,,,NL,,,Canada,47.5782618,-52.7320477,Pippy Park,FALSE
Bayview Heights Manor,,,,,,,,,,,,,,,,,,(709) 834 5792,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,Canada,47.4958119,-53.0221247,Kelligrews,FALSE
Cambridge Estates,,,,,,,,,,,,,,,,,,(709) 576 4663,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,Canada,47.5615096,-52.7125768,,FALSE
MJ PCH,,,,,,,,,,,,,,,,,,(709) 834 2349,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Manuels,,,NL,,,Canada,47.520634,-52.944857,Manuels,FALSE
Cradea Manor,,,,,,,,,,,,,,,,,,(709) 364 5265,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mt. Pearl,,,NL,,,Canada,47.5206407,-52.8076818,,FALSE
"Fahey,s Personal Care Home",,,,,,,,,,,,,,,,,,(709) 363 2250,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Fermeuse,,,NL,,,Canada,46.9755469,-52.9599494,,FALSE
Karwood Retirement Retreat,,,,,,,,,,,,,,,,,,(709) 782 5300,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Paradise,,,NL,,,Canada,47.5306597,-52.8873992,,FALSE
Hillcrest Estate,,,,,,,,,,,,,,,,,,(709) 364 7077,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,Canada,47.5206407,-52.8076818,,FALSE
Katherine House,,,,,,,,,,,,,,,,,,(709) 754 3864,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,Canada,47.5615096,-52.7125768,,FALSE
Kelly's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 5343,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,Canada,47.4465263,-52.7716876,,FALSE
Linda's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 1956,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,Canada,47.4465263,-52.7716876,,FALSE
Barton's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 745 4986,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Goulds,,,NL,,,Canada,47.4465263,-52.7716876,,FALSE
Bonaventure Retirement Home,,,,,,,,,,,,,,,,,,(709) 722 4040,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. John's,,,NL,,,Canada,47.5615096,-52.7125768,,FALSE
Meadow Creek Retirement Centre,,,,,,,,,,,,,,,,,,(709) 782 4242,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Paradise,,,NL,,,Canada,47.5306597,-52.8873992,,FALSE
North Pond Manor,,,,,,,,,,,,,,,,,,(709) 437 1415,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Torbay,,,NL,,,Canada,47.6580777,-52.7355238,,FALSE
Ocean View Guest Home,,,,,,,,,,,,,,,,,,(709) 834 2532,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Kelligrews,,,NL,,,Canada,47.4958119,-53.0221247,Kelligrews,FALSE
Pearl House,,,,,,,,,,,,,,,,,,(709) 368 3850,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,Canada,47.5206407,-52.8076818,,FALSE
Ruby Manor,,,,,,,,,,,,,,,,,,(709) 364 4943,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Mount Pearl,,,NL,,,Canada,47.5206407,-52.8076818,,FALSE
Murphy's Shade Rest Lodge Bay Robert's Retirement Centre,,,,,,,,,,,,,,,,,,(709) 786 6665,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,895  Paradise 8960/8956 Bay Roberts,,,NL,,,Canada,47.5381135,-52.8607615,,FALSE
Callingwood Downs,,,,,,,,,,,,,,,,,,(709) 786 1850,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Clarke's Beach,,,NL,,,Canada,47.5469092,-53.2835215,,FALSE
Woodford's Comfort Manor,,,,,,,,,,,,,,,,,,(709) 229 3213,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Holyrood,,,NL,,,Canada,47.3849646,-53.1246537,,FALSE
Beachside Manor,,,,,,,,,,,,,,,,,,(709) 227 1110,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Placentia,,,NL,,,Canada,47.242147,-53.9633078,,FALSE
Eason's Personal Care Home,,,,,,,,,,,,,,,,,,(709) 229 4072,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Holyrood,,,NL,,,Canada,47.3849646,-53.1246537,,FALSE
Gateway Residence,,,,,,,,,,,,,,,,,,(709) 227 3814,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Dunville,,,NL,,,Canada,47.268576,-53.885991,,FALSE
Lewis' Personal Care Home,,,,,,,,,,,,,,,,,,(709) 525 2244,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Riverhead,,,NL,,,Canada,46.9805424,-53.5099199,,FALSE
Luxury Estates,,,,,,,,,,,,,,,,,,(709) 596 1244,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Carbonear,,,NL,,,Canada,47.7375216,-53.2294868,,FALSE
Baccalieu Retirement Living,,,,,,,,,,,,,,,,,,(709) 587 2651,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Old Perlican,,,NL,,,Canada,48.0958101,-52.9930961,,FALSE
Shag Rock Manor,,,,,,,,,,,,,,,,,,(709) 588 2884,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Whiteway,,,NL,,,Canada,47.686461,-53.484056,,FALSE
Tobin's Guest Home,,,,,,,,,,,,,,,,,,(709) 229 7464,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Holyrood,,,NL,,,Canada,47.3849646,-53.1246537,,FALSE
Winter Holme Manor,,,,,,,,,,,,,,,,,,(709) 583 2658,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Winterton,,,NL,,,Canada,47.9542488,-53.3306932,,FALSE
Miraquinn Hilltop Manor,,,,,,,,,,,,,,,,,,(709) 547 2450,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Hickman's Harbour,,,NL,,,Canada,48.102308,-53.730813,,FALSE
Bonavista Retirement Centre,,,,,,,,,,,,,,,,,,(709) 468 5900,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Bonavista,,,NL,,,Canada,48.6533449,-53.1118249,,FALSE
Cozy Quarters Personal Care Home,,,,,,,,,,,,,,,,,,(709) 466 2447,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Clarenville,,,NL,,,Canada,48.168225,-53.9645533,,FALSE
Clarenville Retirement Home,,,,,,,,,,,,,,,,,,(709) 466 6459,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Clarenville,,,NL,,,Canada,48.168225,-53.9645533,,FALSE
Greenwood Rest Home,,,,,,,,,,,,,,,,,,(709) 467 5243,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Musgravetown,,,NL,,,Canada,48.3987349,-53.8941378,,FALSE
Hilltop Manor,,,,,,,,,,,,,,,,,,(709) 463 5000,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Arnold's Cove,,,NL,,,Canada,47.7574448,-53.9887436,,FALSE
Marystown Retirement Centre,,,,,,,,,,,,,,,,,,(709) 279 2554,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,Marystown,,,NL,,,Canada,47.1650754,-55.1555299,,FALSE
Mount Margaret Manor,,,,,,,,,,,,,,,,,,(709) 873 3232,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,St. Lawrence,,,NL,,,Canada,46.925167,-55.395229,,FALSE
