row_id,AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
USA-FL-62-All-62-NursingHomes-1,95051,1201096,07/09/2016,07/08/2018,Nursing Home,ABBEY DELRAY,2105 SW 11TH COURT,,DELRAY BEACH,FL,33445,Palm Beach,(561) 454-1300,2105 SW 11TH COURT,,DELRAY BEACH,FL,33445,Palm Beach,LICENSED,LIFESPACE COMMUNITIES INC,07/01/1992,VICKI BROWN,100,Not-For-Profit,
USA-FL-62-All-62-NursingHomes-2,95052,1199096,07/09/2016,07/08/2018,Nursing Home,ABBEY DELRAY SOUTH,1717 HOMEWOOD BLVD,,DELRAY BEACH,FL,33445,Palm Beach,(561) 272-9600,1717 HOMEWOOD BLVD,,DELRAY BEACH,FL,33445,Palm Beach,LICENSED,LIFESPACE COMMUNITIES INC,04/12/2010,JAMES C RANSONE,90,Not-For-Profit,www.lifespacecommunities.com
USA-FL-62-All-62-NursingHomes-3,55201,10010961,07/01/2016,06/30/2018,Nursing Home,ABBEY REHABILITATION AND NURSING CENTER,7101 DR MARTIN LUTHER KING JR ST N,,SAINT PETERSBURG,FL,33702,Pinellas,(727) 527-7231,7101 DR MARTIN LUTHER KING JR ST N,,SAINT PETERSBURG,FL,33702,Pinellas,LICENSED,FI THE ABBEY LLC,07/01/2003,KIMBERLY DEVONNE CLOUD,152,Not-For-Profit,Abbeyhealthand rehab.com
USA-FL-62-All-62-NursingHomes-4,95601,10020961,05/01/2016,04/30/2018,Nursing Home,ABBIEJEAN RUSSELL CARE CENTER LLC,700 S 29TH STREET,,FORT PIERCE,FL,34947,St. Lucie,(772) 465-7560,700 S 29TH STREET,,FORT PIERCE,FL,34947,St. Lucie,LICENSED,ABBIEJEAN RUSSELL CARE CENTER  LLC,02/03/2006,MARTIN HOPEK,79,For-Profit,
USA-FL-62-All-62-NursingHomes-5,55219,11290961,07/01/2017,06/30/2019,Nursing Home,ADVANCED CARE CENTER,401 FAIRWOOD AVE,,CLEARWATER,FL,33759,Pinellas,(727) 797-6480,401 FAIRWOOD AVE,,CLEARWATER,FL,33759,Pinellas,LICENSED,ADVANCED FACILITY INC,07/01/2015,TIMOTHY JAMES SELLECK,120,For-Profit,http://www.advanced-cc.com/
USA-FL-62-All-62-NursingHomes-6,35960956,130471014,01/01/2017,12/31/2018,Nursing Home,ADVENTIST CARE CENTERS-COURTLAND  INC,730 COURTLAND STREET,,ORLANDO,FL,32804,Orange,(407) 975-3800,730 COURTLAND STREET,,ORLANDO,FL,32804,Orange,LICENSED,ADVENTIST CARE CENTERS - COURTLAND  INC,01/01/2007,KIMBELLA LANE,120,Not-For-Profit,www.acccourtland.com
USA-FL-62-All-62-NursingHomes-7,35960961,130471019,06/11/2016,06/10/2018,Nursing Home,"ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME",8401 W CYPRESS DR,,PEMBROKE PINES,FL,33025,Broward,(954) 985-4824,8401 W CYPRESS DR,,PEMBROKE PINES,FL,33025,Broward,LICENSED,FLORIDA DEPARTMENT OF VETERAN'S AFFAIRS,02/21/2006,LAWRENCE P. MILITELLO,120,Not-For-Profit,www.floridavets.org
USA-FL-62-All-62-NursingHomes-8,55202,1006096,06/27/2016,06/26/2018,Nursing Home,ALHAMBRA HEALTH AND REHABILITATION CENTER,7501 38TH AVE N,,SAINT PETERSBURG,FL,33710,Pinellas,(727) 345-9307,7501 38TH AVE N,,SAINT PETERSBURG,FL,33710,Pinellas,LICENSED,ALHAMBRA NH  L.L.C.,06/27/2003,SYDNEY RABIN,60,For-Profit,www.greystonehealth.com
USA-FL-62-All-62-NursingHomes-9,46429,10080961,07/01/2016,06/30/2018,Nursing Home,ALLIANCE HEALTH AND REHABILITATION CENTER,130 W ARMSTRONG AVENUE,,DELAND,FL,32720,Volusia,(386) 734-6401,130 W ARMSTRONG AVENUE,,DELAND,FL,32720,Volusia,LICENSED,THE ALLIANCE COMMUNITY FOR RETIREMENT LIVING  INC.,06/01/1994,KEVIN J SMAAGE,130,Not-For-Profit,www.alliancecommunity.org
USA-FL-62-All-62-NursingHomes-10,55203,10090951,05/15/2017,12/31/2017,Nursing Home,ALPINE HEALTH AND REHABILITATION CENTER,3456 21ST AVE S,,SAINT PETERSBURG,FL,33711,Pinellas,(727) 327-1988,3456 21ST AVE S,,SAINT PETERSBURG,FL,33711,Pinellas,LICENSED,SENIOR HEALTH ALPINE LLC,01/01/2001,REBECCA CLAIRE ROWELL,57,Not-For-Profit,www.alpinehealthandrehab.com
