name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Aarenbrooke Place - Cory Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,9327 Cory Lane,,,Boise,,,Ada,,83704,US,43.627472,-116.2982272,West Valley,True
Ace Elder Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,6646 + 6652 Chippewa Drive,,,Bonners Ferry,,,Boundary,,83805,US,48.70594529999999,-116.3218496,,True
Advanced Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,601 West Blaine Avenue,,,Nampa,,,Canyon,,83651,US,43.5723844,-116.583125,,True
"Aging Gracefully Assisted Living, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3989 East Winterberry Drive,,,Nampa,,,Canyon,,83687,US,43.563561,-116.5223726,,True
Alpine Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1135 Imperial Street,,,Twin Falls,,,Twin Falls,,83301,US,42.581434,-114.480828,,True
Alpine Manor II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,100 Polk Street East,,,Kimberly,,,Twin Falls,,83341,US,42.541187,-114.364382,,True
"Alpine Meadows Assisted Living, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1695 South Locust Grove Road,,,Meridian,,,Ada,,83642,US,43.5899356,-116.3750695,,True
"Amber Lane Residence - Amber Lane, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1819 West Bannock Street,,,Boise,,,Ada,,83702,US,43.6235164,-116.2145912,West Downtown,True
Antelope Creek Living Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3668 West 3700 North,,,Darlington,,,Butte,,83255,US,43.8135032,-113.4312311,,True
Apple Valley Residential Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,715 North Butte Avenue,,,Emmett,,,Gem,,83617,US,43.8814145,-116.4869443,,True
Applegate Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1541 East 4250 North,,,Buhl,,,Twin Falls,,83316,US,42.6144919,-114.7478139,,True
Applewood Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,779 Tennyson Way,,,Boise,,,Ada,,83709,US,43.5982645,-116.333425,,True
Ashley Manor - Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3123 South Arlington Avenue,,,Caldwell,,,Canyon,,83605,US,43.6414338,-116.6956489,,True
Ashley Manor - Beverly Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,861 Beverly Hills Drive,,,Payette,,,Payette,,83661,US,44.0648353,-116.9146445,,True
Ashley Manor - Buttercup Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1210 Buttercup Trail,,,Kimberly,,,Twin Falls,,83341,US,42.5438363,-114.3631821,,True
Ashley Manor - Cedar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1525 East Cedar Street,,,Pocatello,,,Bannock,,83201,US,42.887478,-112.43276,,True
Ashley Manor - Cloverdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3749 North Cloverdale Road,,,Boise,,,Ada,,83713,US,43.6389836,-116.3347916,West Cloverdale,True
Ashley Manor - Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,421 Crescent Drive,,,Caldwell,,,Canyon,,83605,US,43.65138719999999,-116.6948449,,True
Ashley Manor - Harmony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,2703 Harmony Avenue,,,Boise,,,Ada,,83703,US,43.5777619,-116.1669196,Southeast Boise,True
Ashley Manor - Hawthorne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,4826 Hawthorne Road,,,Chubbuck,,,Bannock,,83202,US,42.9213189,-112.475532,,True
Ashley Manor - Hill Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3424 West Hill Road,,,Boise,,,Ada,,83702,US,43.6542006,-116.2309386,,True
Ashley Manor - Hyde Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1908 North 13th Street,,,Boise,,,Ada,,83702,US,43.6331287,-116.203352,North End,True
Ashley Manor - Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,2604 Iowa Avenue,,,Caldwell,,,Canyon,,83605,US,43.6468853,-116.6794262,,True
Ashley Manor - Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,101 East 15TH,,,Jerome,,,Jerome,,83338,US,42.73720279999999,-114.5195116,,True
Ashley Manor - Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,620 West 9th Street North,,,Middleton,,,Canyon,,83644,US,43.7155789,-116.6319704,,True
Ashley Manor - Midland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,67 South Midland Boulevard,,,Nampa,,,Canyon,,83651,US,43.5711136,-116.5938972,,True
Ashley Manor - Mountain Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,940 West 8th South,,,Mountain Home,,,Elmore,,83647,US,43.1242322,-115.7022879,,True
Ashley Manor - Parkview Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,1818 Parkview Drive,,,Twin Falls,,,Twin Falls,,83301,US,42.593556,-114.487013,,True
Ashley Manor - Storybook Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,126 North Storybook Way,,,Eagle,,,Ada,,83616,US,43.69611099999999,-116.358548,,True
Ashley Manor Care Centers Inc - Elgin Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,3961 Elgin Way,,,Boise,,,Ada,,83713,US,43.6408377,-116.3190245,West Valley,True
Ashley Manor Care Centers Inc - Highmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,11099 Highmont Drive,,,Boise,,,Ada,,83713,US,43.6020443,-116.3204478,,True
Ashley Manor Care Centers Inc - Orchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,2150 South Orchard,,,Boise,,,Ada,,83705,US,43.583393,-116.243201,Hillcrest,True
