name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Grundy Care Center,,,,,,,,,,,,,,,,,,(319) 824-5436,,,,,,,,,,,,,,,,,Nursing Facility,,,,102 East J Ave,,,Grundy Center,Grundy,,IA,,50638,US,42.3582528,-92.7625678,,True
Countryside Nursing and Rehabilitation Center,,,,,,,,,,,,,,,,,,(712) 276-3000,,,,,,,,,,,,,,,,,Nursing Facility,,,,6120 Morningside Ave,,,Sioux City,Woodbury,,IA,,51106,US,42.4602938,-96.3277306,,True
Mercy Living Center South,,,,,,,,,,,,,,,,,,(563) 244-5555,,,,,,,,,,,,,,,,,Nursing Facility,,,,638 South Bluff Blvd,,,Clinton,Clinton,,IA,,52732,US,41.8403641,-90.213194,,True
Good Samaritan Society - LeMars,,,,,,,,,,,,,,,,,,(712) 546-4101,,,,,,,,,,,,,,,,,Nursing Facility,,,,1140 Lincoln St NE,,,LeMars,Plymouth,,IA,,51031,US,42.7998144,-96.1492768,,True
Brooklyn Community Estates,,,,,,,,,,,,,,,,,,(641) 522-9263,,,,,,,,,,,,,,,,,Nursing Facility,,,,406 North St,,,Brooklyn,Poweshiek,,IA,,52211,US,41.7395477,-92.4418239,,True
Crest Haven Care Centre,,,,,,,,,,,,,,,,,,(641) 782-5012,,,,,,,,,,,,,,,,,Nursing Facility,,,,1000 East Howard St,,,Creston,Union,,IA,,50801,US,41.0609025,-94.34983249999999,,True
Regency Park Nursing and Rehabilitation Center of Carroll,,,,,,,,,,,,,,,,,,(712) 792-9281,,,,,,,,,,,,,,,,,Nursing Facility,,,,500 East Valley Dr,PO 821,,Carroll,Carroll,,IA,,51401,US,42.052779,-94.863832,,True
Living Center East,,,,,,,,,,,,,,,,,,(319) 366-8701,,,,,,,,,,,,,,,,,Nursing Facility,,,,1220 5th Ave SE,,,Cedar Rapids,Linn,,IA,,52403,US,41.982272,-91.6536871,Wellington Heights,True
Centerville Specialty Care,,,,,,,,,,,,,,,,,,(641) 856-8651,,,,,,,,,,,,,,,,,Nursing Facility,,,,1208 East Cross St,,,Centerville,Appanoose,,IA,,52544,US,40.74047700000001,-92.86251399999999,,True
Chautauqua Guest Home #3,,,,,,,,,,,,,,,,,,(641) 228-5351,,,,,,,,,,,,,,,,,Nursing Facility,,,,302 9th St,,,Charles City,Floyd,,IA,,50616,US,43.0551141,-92.6757153,,True
Chautauqua Guest Home #2,,,,,,,,,,,,,,,,,,(641) 228-2353,,,,,,,,,,,,,,,,,Nursing Facility,,,,602 11th St,,,Charles City,Floyd,,IA,,50616,US,43.05198600000001,-92.67837829999999,,True
Colonial Manor of Amana,,,,,,,,,,,,,,,,,,(319) 622-3131,,,,,,,,,,,,,,,,,Nursing Facility,,,,3207 220th Trl,,,Amana,Iowa,,IA,,52203,US,41.799113,-91.89469000000001,,True
Colonial Manor of Columbus Community,,,,,,,,,,,,,,,,,,(319) 728-2276,,,,,,,,,,,,,,,,,Nursing Facility,,,,814 Springer Ave,,,Columbus Junction,Louisa,,IA,,52738-0266,US,41.27165309999999,-91.3711471,,True
Correctionville Specialty Care,,,,,,,,,,,,,,,,,,(712) 372-4466,,,,,,,,,,,,,,,,,Nursing Facility,,,,1115 E Hwy 20 H,PO Box,,Correctionville,Woodbury,,IA,,51016,US,42.4821322,-95.7768717,,False
Kingsley Specialty Care,,,,,,,,,,,,,,,,,,(712) 378-2400,,,,,,,,,,,,,,,,,Nursing Facility,,,,305 West 3rd St,PO Box 407,,Kingsley,Plymouth,,IA,,51028,US,42.590798,-95.972529,,True
"Zearing Health Care, LLC",,,,,,,,,,,,,,,,,,(641) 487-7631,,,,,,,,,,,,,,,,,Nursing Facility,,,,404 East Garfield,,,Zearing,Story,,IA,,50278,US,42.162653,-93.29178399999999,,False
Genesis Senior Living Center,,,,,,,,,,,,,,,,,,(515) 285-3070,,,,,,,,,,,,,,,,,Nursing Facility,,,,5608 SW 9th,,,Des Moines,Polk,,IA,,50315,US,41.5330862,-93.6264147,Greater South Side,False
"Community Care Center, Inc.",,,,,,,,,,,,,,,,,,(515) 523-2815,,,,,,,,,,,,,,,,,Nursing Facility,,,,325 SW 7th St,,,Stuart,Adair,,IA,,50250,US,41.49741270000001,-94.32233810000001,,True
Corydon Specialty Care,,,,,,,,,,,,,,,,,,(641) 872-1590,,,,,,,,,,,,,,,,,Nursing Facility,,,,745 East South St,,,Corydon,Wayne,,IA,,50060,US,40.754318,-93.309196,,True
Country View Manor Inc.,,,,,,,,,,,,,,,,,,(712) 754-2568,,,,,,,,,,,,,,,,,Nursing Facility,,,,100 Cedar Ln,,,Sibley,Osceola,,IA,,51249,US,43.4095922,-95.744474,,True
Panora Specialty Care,,,,,,,,,,,,,,,,,,(641) 755-2700,,,,,,,,,,,,,,,,,Nursing Facility,,,,805 East Main,PO Box 69,,Panora,Guthrie,,IA,,50216,US,41.69291279999999,-94.3535787,,False
Union Park Health Services,,,,,,,,,,,,,,,,,,(515) 262-9303,,,,,,,,,,,,,,,,,Nursing Facility,,,,2401 East Eighth St,,,Des Moines,Polk,,IA,,50316,US,41.6167317,-93.60718039999999,Union Park,True
Dunlap Specialty Care,,,,,,,,,,,,,,,,,,(712) 643-2121,,,,,,,,,,,,,,,,,Nursing Facility,,,,1403 Harrison Rd,,,Dunlap,Harrison,,IA,,51529,US,41.8486412,-95.58867219999999,,True
